team,year,week,home_or_away,team_num,game_id,opponent,date,time,wl,pf,pa,overall_performance,offense,pass,pass_blocking,receiving,rushing,run_blocking,defense,rush_defense,tackling,pass_rush,coverage,special_teams
arizona-cardinals,2022,1,,1,23109,Kansas City Chiefs,09/11,4:25pm,L,21,44,50.3,61.2,56.2,57.4,64.8,67.7,53.5,39.6,47.0,59.6,59.0,36.8,59.5
arizona-cardinals,2022,2,@,1,23125,Las Vegas Raiders,09/18,4:25pm,W,29,23,67.9,71.1,73.9,79.4,59.8,87.4,57.0,56.5,65.5,58.9,64.3,48.7,73.6
arizona-cardinals,2022,3,,1,23144,Los Angeles Rams,09/25,4:25pm,L,12,20,56.8,63.4,62.6,73.1,61.4,72.1,45.7,41.1,58.0,65.7,55.2,30.2,65.3
atlanta-falcons,2022,1,,2,23107,New Orleans Saints,09/11,1:00pm,L,26,27,66.1,65.2,59.8,78.3,63.7,63.3,62.3,59.0,56.6,63.4,58.0,62.4,65.8
atlanta-falcons,2022,2,@,2,23122,Los Angeles Rams,09/18,4:05pm,L,27,31,67.0,61.3,61.3,40.4,70.3,65.1,46.1,69.9,64.1,64.6,63.3,71.3,76.4
atlanta-falcons,2022,3,@,2,23142,Seattle Seahawks,09/25,4:25pm,W,27,23,82.2,86.0,66.7,66.6,84.1,76.5,83.0,69.8,68.2,54.6,60.2,68.8,57.7
baltimore-ravens,2022,1,@,3,23106,New York Jets,09/11,1:00pm,W,24,9,69.4,65.3,72.0,71.6,63.2,57.1,57.4,68.3,42.9,51.7,78.3,65.6,57.9
baltimore-ravens,2022,2,,3,23118,Miami Dolphins,09/18,1:00pm,L,38,42,70.5,71.9,68.8,69.0,78.1,53.0,57.7,57.9,64.4,39.5,71.3,47.8,72.7
baltimore-ravens,2022,3,@,3,23138,New England Patriots,09/25,1:00pm,W,37,26,82.8,77.6,74.5,58.2,72.5,78.6,69.8,75.9,59.1,46.6,61.8,83.2,78.1
buffalo-bills,2022,1,@,4,23098,Los Angeles Rams,09/08,8:20pm,W,31,10,80.2,72.8,90.3,56.2,71.9,52.1,61.7,77.7,60.3,68.6,87.5,68.9,73.7
buffalo-bills,2022,2,,4,23129,Tennessee Titans,09/19,7:15pm,W,41,7,74.4,70.2,72.7,63.5,75.4,71.6,42.6,72.3,45.7,72.6,84.3,86.2,51.4
buffalo-bills,2022,3,@,4,23133,Miami Dolphins,09/25,1:00pm,L,19,21,60.7,61.2,47.0,53.8,70.8,84.5,31.6,61.1,72.1,70.9,87.7,44.8,65.8
carolina-panthers,2022,1,,5,23101,Cleveland Browns,09/11,1:00pm,L,24,26,57.5,58.9,53.8,44.9,63.6,61.6,58.2,53.5,41.8,30.2,61.0,64.0,74.0
carolina-panthers,2022,2,@,5,23120,New York Giants,09/18,1:00pm,L,16,19,70.9,60.9,48.6,73.4,51.2,75.9,72.7,76.0,81.6,75.7,66.1,68.7,71.3
carolina-panthers,2022,3,,5,23139,New Orleans Saints,09/25,1:00pm,W,22,14,64.6,61.6,45.9,67.0,61.3,81.4,51.9,62.5,75.8,68.1,59.5,53.9,68.4
chicago-bears,2022,1,,6,23099,San Francisco 49ers,09/11,1:00pm,W,19,10,49.8,57.7,34.6,73.4,62.6,51.7,64.9,49.9,32.0,49.4,59.3,64.8,73.2
chicago-bears,2022,2,@,6,23127,Green Bay Packers,09/18,8:20pm,L,10,27,54.3,60.6,50.6,43.0,57.1,67.8,68.5,46.3,52.9,37.0,62.3,39.9,74.8
chicago-bears,2022,3,,6,23140,Houston Texans,09/25,1:00pm,W,23,20,76.0,69.6,48.4,59.5,58.1,82.5,74.4,73.2,82.7,68.6,55.6,66.9,62.6
cincinnati-bengals,2022,1,,7,23108,Pittsburgh Steelers,09/11,1:00pm,L,20,23,69.4,61.8,51.5,63.2,65.5,60.9,60.8,81.4,82.3,65.5,62.8,79.7,51.5
cincinnati-bengals,2022,2,@,7,23124,Dallas Cowboys,09/18,4:25pm,L,17,20,61.0,64.6,66.5,50.8,66.4,55.1,68.5,53.2,55.3,81.3,55.7,55.0,55.4
cincinnati-bengals,2022,3,@,7,23132,New York Jets,09/25,1:00pm,W,27,12,73.7,64.2,75.5,54.1,68.6,69.3,39.0,79.1,59.3,62.5,90.5,69.5,66.6
cleveland-browns,2022,1,@,8,23101,Carolina Panthers,09/11,1:00pm,W,26,24,68.6,62.3,48.1,71.9,55.9,79.0,61.4,71.0,63.2,46.6,88.0,58.4,69.1
cleveland-browns,2022,2,,8,23119,New York Jets,09/18,1:00pm,L,30,31,74.7,79.6,79.1,51.8,76.3,78.8,67.1,65.5,69.3,59.2,67.2,61.0,54.9
cleveland-browns,2022,3,,8,23131,Pittsburgh Steelers,09/22,8:15pm,W,29,17,68.9,81.7,90.4,74.2,68.3,77.3,70.4,46.6,29.9,35.9,57.0,58.7,62.5
dallas-cowboys,2022,1,,9,23113,Tampa Bay Buccaneers,09/11,8:20pm,L,3,19,60.8,55.3,40.5,64.7,57.5,75.7,60.4,64.4,50.6,74.8,68.9,69.9,73.0
dallas-cowboys,2022,2,,9,23124,Cincinnati Bengals,09/18,4:25pm,W,20,17,71.6,65.1,53.8,73.2,68.3,58.5,61.3,70.9,64.0,82.2,83.5,64.0,65.5
dallas-cowboys,2022,3,@,9,23146,New York Giants,09/26,8:15pm,W,23,16,71.4,75.6,82.1,68.6,69.4,84.3,55.6,58.4,44.9,41.7,83.7,50.2,82.1
denver-broncos,2022,1,@,10,23100,Seattle Seahawks,09/12,8:15pm,L,16,17,66.7,62.5,57.6,71.6,63.7,57.8,68.0,70.9,59.3,52.8,86.2,67.9,52.6
denver-broncos,2022,2,,10,23126,Houston Texans,09/18,4:25pm,W,16,9,72.3,73.0,62.2,84.0,65.3,77.6,74.7,64.9,40.2,59.1,67.0,74.6,57.3
denver-broncos,2022,3,,10,23145,San Francisco 49ers,09/25,8:20pm,W,11,10,62.1,52.7,63.1,59.8,49.8,51.7,55.4,74.2,70.8,70.7,71.7,69.0,67.2
detroit-lions,2022,1,,11,23104,Philadelphia Eagles,09/11,1:00pm,L,35,38,56.4,59.8,47.6,37.0,60.2,83.3,63.8,52.4,52.5,51.7,54.5,55.8,61.8
detroit-lions,2022,2,,11,23117,Washington Commanders,09/18,1:00pm,W,36,27,73.5,67.0,60.8,64.0,69.7,61.5,61.2,69.7,73.4,49.0,65.7,63.0,62.6
detroit-lions,2022,3,@,11,23136,Minnesota Vikings,09/25,1:00pm,L,24,28,54.8,67.4,64.8,57.7,68.2,70.9,56.4,39.7,29.3,46.1,64.9,40.7,71.1
