p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception,week,year,plyr_number
nickbellore_sea_2022_6,sea_2022_6,nickbellore_sea_2022,sea_2022,nickbellore,6515,lb,sea,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
loganryan_tb_2022_6,tb_2022_6,loganryan_tb_2022,tb_2022,loganryan,7864,s,tb,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jordanpoyer_buf_2022_6,buf_2022_6,jordanpoyer_buf_2022,buf_2022,jordanpoyer,8000,s,buf,1,0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
davidmayo_was_2022_6,was_2022_6,davidmayo_was_2022,was_2022,davidmayo,9602,lb,was,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
xavienhoward_mia_2022_6,mia_2022_6,xavienhoward_mia_2022,mia_2022,xavienhoward,10672,cb,mia,1,0,12.8,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
ericmurray_hou_2022_6,hou_2022_6,ericmurray_hou_2022,hou_2022,ericmurray,10740,cb,hou,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
sidneyjones_sea_2022_6,sea_2022_6,sidneyjones_sea_2022,sea_2022,sidneyjones,11798,cb,sea,1,0,10.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jayonbrown_lv_2022_6,lv_2022_6,jayonbrown_lv_2022,lv_2022,jayonbrown,11910,lb,lv,1,0,6.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
xavierwoods_car_2022_6,car_2022_6,xavierwoods_car_2022,car_2022,xavierwoods,11946,s,car,1,0,21.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
rudyford_gb_2022_6,gb_2022_6,rudyford_gb_2022,gb_2022,rudyford,11963,s,gb,1,0,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
sameguavoen_mia_2022_6,mia_2022_6,sameguavoen_mia_2022,mia_2022,sameguavoen,15301,lb,mia,1,0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
troydye_min_2022_6,min_2022_6,troydye_min_2022,min_2022,troydye,28251,lb,min,1,1,3.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
chrisboard_det_2022_6,det_2022_6,chrisboard_det_2022,det_2022,chrisboard,29456,lb,det,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
krisboyd_min_2022_6,min_2022_6,krisboyd_min_2022,min_2022,krisboyd,34222,cb,min,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
zackbaun_no_2022_6,no_2022_6,zackbaun_no_2022,no_2022,zackbaun,34632,lb,no,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
blakecashman_hou_2022_6,hou_2022_6,blakecashman_hou_2022,hou_2022,blakecashman,35413,lb,hou,1,0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
andrewdowell_no_2022_6,no_2022_6,andrewdowell_no_2022,no_2022,andrewdowell,38956,lb,no,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
trayvonmullen_ari_2022_6,ari_2022_6,trayvonmullen_ari_2022,ari_2022,trayvonmullen,41968,cb,ari,1,0,3.5,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
shemarjeancharles_gb_2022_6,gb_2022_6,shemarjeancharles_gb_2022,gb_2022,shemarjeancharles,42496,s,gb,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
damarcusfields_no_2022_6,no_2022_6,damarcusfields_no_2022,no_2022,damarcusfields,43347,cb,no,1,0,13.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
joshmetellus_min_2022_6,min_2022_6,joshmetellus_min_2022,min_2022,joshmetellus,43395,s,min,1,0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
zechmcphearson_phi_2022_6,phi_2022_6,zechmcphearson_phi_2022,phi_2022,zechmcphearson,45464,cb,phi,1,0,21.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
elijahcampbell_mia_2022_6,mia_2022_6,elijahcampbell_mia_2022,mia_2022,elijahcampbell,49190,s,mia,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
keioncrossen_mia_2022_6,mia_2022_6,keioncrossen_mia_2022,mia_2022,keioncrossen,49454,cb,mia,1,1,18.3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
shaquilleleonard_ind_2022_6,ind_2022_6,shaquilleleonard_ind_2022,ind_2022,shaquilleleonard,49684,lb,ind,1,0,4.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
xaviercrawford_sea_2022_6,sea_2022_6,xaviercrawford_sea_2022,sea_2022,xaviercrawford,50326,cb,sea,1,0,6.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
amanioruwariye_det_2022_6,det_2022_6,amanioruwariye_det_2022,det_2022,amanioruwariye,50533,cb,det,1,0,14.9,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tremaineedmunds_buf_2022_6,buf_2022_6,tremaineedmunds_buf_2022,buf_2022,tremaineedmunds,50905,lb,buf,1,1,4.2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
frankieluvu_car_2022_6,car_2022_6,frankieluvu_car_2022,car_2022,frankieluvu,51028,lb,car,1,0,2.7,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
taylorrapp_lar_2022_6,lar_2022_6,taylorrapp_lar_2022,lar_2022,taylorrapp,51172,s,lar,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
terrelledmunds_pit_2022_6,pit_2022_6,terrelledmunds_pit_2022,pit_2022,terrelledmunds,51334,s,pit,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
marcellharris_nyj_2022_6,nyj_2022_6,marcellharris_nyj_2022,nyj_2022,marcellharris,51408,lb,nyj,1,0,4.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
isaiahdunn_sea_2022_6,sea_2022_6,isaiahdunn_sea_2022,sea_2022,isaiahdunn,52129,cb,sea,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
keiseannixon_gb_2022_6,gb_2022_6,keiseannixon_gb_2022,gb_2022,keiseannixon,56167,cb,gb,1,0,3.0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
javelinguidry_lv_2022_6,lv_2022_6,javelinguidry_lv_2022,lv_2022,javelinguidry,56262,cb,lv,1,0,9.5,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
akaylebevans_min_2022_6,min_2022_6,akaylebevans_min_2022,min_2022,akaylebevans,65033,cb,min,1,0,17.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
israelmukuamu_dal_2022_6,dal_2022_6,israelmukuamu_dal_2022,dal_2022,israelmukuamu,83377,s,dal,1,0,3.0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
kareemjackson_den_2022_6,den_2022_6,kareemjackson_den_2022,den_2022,kareemjackson,5545,s,den,1,0,9.5,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
