p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,week,year,plyr_number
nickbellore_sea_2022_6,sea_2022_6,nickbellore_sea_2022,sea_2022,nickbellore,6515,lb,sea,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
harrisonsmith_min_2022_6,min_2022_6,harrisonsmith_min_2022,min_2022,harrisonsmith,7641,s,min,1,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
johnathanhankins_lv_2022_6,lv_2022_6,johnathanhankins_lv_2022,lv_2022,johnathanhankins,7830,di,lv,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jordanpoyer_buf_2022_6,buf_2022_6,jordanpoyer_buf_2022,buf_2022,jordanpoyer,8000,s,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
christiankirksey_hou_2022_6,hou_2022_6,christiankirksey_hou_2022,hou_2022,christiankirksey,8706,lb,hou,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
joethomas_chi_2022_6,chi_2022_6,joethomas_chi_2022,chi_2022,joethomas,9272,lb,chi,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
arikarmstead_sf_2022_6,sf_2022_6,arikarmstead_sf_2022,sf_2022,arikarmstead,9450,di,sf,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
buddupree_ten_2022_6,ten_2022_6,buddupree_ten_2022,ten_2022,buddupree,9455,ed,ten,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
treyflowers_mia_2022_6,mia_2022_6,treyflowers_mia_2022,mia_2022,treyflowers,9534,ed,mia,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
kamugrugierhill_hou_2022_6,hou_2022_6,kamugrugierhill_hou_2022,hou_2022,kamugrugierhill,10842,lb,hou,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
andrewadams_ten_2022_6,ten_2022_6,andrewadams_ten_2022,ten_2022,andrewadams,11240,s,ten,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
brandinbryant_buf_2022_6,buf_2022_6,brandinbryant_buf_2022,buf_2022,brandinbryant,11280,di,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
charlesharris_det_2022_6,det_2022_6,charlesharris_det_2022,det_2022,charlesharris,11777,ed,det,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
ryananderson_pit_2022_6,pit_2022_6,ryananderson_pit_2022,pit_2022,ryananderson,11804,ed,pit,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
teeztabor_sea_2022_6,sea_2022_6,teeztabor_sea_2022,sea_2022,teeztabor,11808,s,sea,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jayonbrown_lv_2022_6,lv_2022_6,jayonbrown_lv_2022,lv_2022,jayonbrown,11910,lb,lv,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
mattmilano_buf_2022_6,buf_2022_6,mattmilano_buf_2022,buf_2022,mattmilano,11918,lb,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
chuckclark_bal_2022_6,bal_2022_6,chuckclark_bal_2022,bal_2022,chuckclark,11941,s,bal,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
xavierwoods_car_2022_6,car_2022_6,xavierwoods_car_2022,car_2022,xavierwoods,11946,s,car,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tannervallejo_ari_2022_6,ari_2022_6,tannervallejo_ari_2022,ari_2022,tannervallejo,11950,lb,ari,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
rudyford_gb_2022_6,gb_2022_6,rudyford_gb_2022,gb_2022,rudyford,11963,s,gb,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
patrickoconnor_tb_2022_6,tb_2022_6,patrickoconnor_tb_2022,tb_2022,patrickoconnor,12005,di,tb,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
sameguavoen_mia_2022_6,mia_2022_6,sameguavoen_mia_2022,mia_2022,sameguavoen,15301,lb,mia,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
chrisboard_det_2022_6,det_2022_6,chrisboard_det_2022,det_2022,chrisboard,29456,lb,det,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
darnellsavage_gb_2022_6,gb_2022_6,darnellsavage_gb_2022,gb_2022,darnellsavage,34247,s,gb,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
blakecashman_hou_2022_6,hou_2022_6,blakecashman_hou_2022,hou_2022,blakecashman,35413,lb,hou,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tannermuse_sea_2022_6,sea_2022_6,tannermuse_sea_2022,sea_2022,tannermuse,35997,lb,sea,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
folorunsofatukasi_jax_2022_6,jax_2022_6,folorunsofatukasi_jax_2022,jax_2022,folorunsofatukasi,38558,di,jax,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
julianokwara_det_2022_6,det_2022_6,julianokwara_det_2022,det_2022,julianokwara,44152,ed,det,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jonahwilliams_lar_2022_6,lar_2022_6,jonahwilliams_lar_2022,lar_2022,jonahwilliams,44597,di,lar,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jonathangreenard_hou_2022_6,hou_2022_6,jonathangreenard_hou_2022,hou_2022,jonathangreenard,48407,ed,hou,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tyquanlewis_ind_2022_6,ind_2022_6,tyquanlewis_ind_2022,ind_2022,tyquanlewis,48475,di,ind,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
aaronpatrick_den_2022_6,den_2022_6,aaronpatrick_den_2022,den_2022,aaronpatrick,48558,ed,den,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
henrymondeaux_nyg_2022_6,nyg_2022_6,henrymondeaux_nyg_2022,nyg_2022,henrymondeaux,48889,di,nyg,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
chaunceygardnerjohnson_phi_2022_6,phi_2022_6,chaunceygardnerjohnson_phi_2022,phi_2022,chaunceygardnerjohnson,49371,s,phi,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
donovanwilson_dal_2022_6,dal_2022_6,donovanwilson_dal_2022,dal_2022,donovanwilson,49408,s,dal,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
juanthornhill_kc_2022_6,kc_2022_6,juanthornhill_kc_2022,kc_2022,juanthornhill,50426,s,kc,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tremaineedmunds_buf_2022_6,buf_2022_6,tremaineedmunds_buf_2022,buf_2022,tremaineedmunds,50905,lb,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
frankieluvu_car_2022_6,car_2022_6,frankieluvu_car_2022,car_2022,frankieluvu,51028,lb,car,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
taylorrapp_lar_2022_6,lar_2022_6,taylorrapp_lar_2022,lar_2022,taylorrapp,51172,s,lar,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
derwinjames_lac_2022_6,lac_2022_6,derwinjames_lac_2022,lac_2022,derwinjames,51368,s,lac,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
marcusepps_phi_2022_6,phi_2022_6,marcusepps_phi_2022,phi_2022,marcusepps,51391,s,phi,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jaylinnhawkins_atl_2022_6,atl_2022_6,jaylinnhawkins_atl_2022,atl_2022,jaylinnhawkins,51423,s,atl,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
chasehansen_no_2022_6,no_2022_6,chasehansen_no_2022,no_2022,chasehansen,51448,lb,no,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
