p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,week,year,plyr_number
grahamglasgow_den_2022_7,den_2022_7,grahamglasgow_den_2022,den_2022,grahamglasgow,10729,g,den,1,100.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
nickallegretti_kc_2022_7,kc_2022_7,nickallegretti_kc_2022,kc_2022,nickallegretti,39268,g,kc,1,100.0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
coreylinsley_lac_2022_7,lac_2022_7,coreylinsley_lac_2022,lac_2022,coreylinsley,8796,ol,lac,1,100.0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
frankragnow_det_2022_7,det_2022_7,frankragnow_det_2022,det_2022,frankragnow,39137,ol,det,1,100.0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
peneisewell_det_2022_7,det_2022_7,peneisewell_det_2022,det_2022,peneisewell,81788,t,det,1,100.0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
taylordecker_det_2022_7,det_2022_7,taylordecker_det_2022,det_2022,taylordecker,10650,t,det,1,100.0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jonahjackson_det_2022_7,det_2022_7,jonahjackson_det_2022,det_2022,jonahjackson,37070,g,det,1,100.0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
alexbars_lv_2022_7,lv_2022_7,alexbars_lv_2022,lv_2022,alexbars,47018,g,lv,1,100.0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jermaineeluemunor_lv_2022_7,lv_2022_7,jermaineeluemunor_lv_2022,lv_2022,jermaineeluemunor,11914,t,lv,1,100.0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
nicholaspetitfrere_ten_2022_7,ten_2022_7,nicholaspetitfrere_ten_2022,ten_2022,nicholaspetitfrere,82003,t,ten,1,100.0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
aaronbrewer_ten_2022_7,ten_2022_7,aaronbrewer_ten_2022,ten_2022,aaronbrewer,46014,g,ten,1,100.0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
dennisdaley_ten_2022_7,ten_2022_7,dennisdaley_ten_2022,ten_2022,dennisdaley,60063,t,ten,1,100.0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
koltonmiller_lv_2022_7,lv_2022_7,koltonmiller_lv_2022,lv_2022,koltonmiller,47013,t,lv,1,100.0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
dylanparham_lv_2022_7,lv_2022_7,dylanparham_lv_2022,lv_2022,dylanparham,60953,g,lv,1,100.0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
andrejames_lv_2022_7,lv_2022_7,andrejames_lv_2022,lv_2022,andrejames,47058,ol,lv,1,100.0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
dillonradunz_ten_2022_7,ten_2022_7,dillonradunz_ten_2022,ten_2022,dillonradunz,30551,g,ten,1,100.0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
benjones_ten_2022_7,ten_2022_7,benjones_ten_2022,ten_2022,benjones,7099,ol,ten,1,100.0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
nickmartin_was_2022_7,was_2022_7,nickmartin_was_2022,was_2022,nickmartin,10684,ol,was,1,100.0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
scottquessenberry_hou_2022_7,hou_2022_7,scottquessenberry_hou_2022,hou_2022,scottquessenberry,23918,ol,hou,1,100.0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
ajcann_hou_2022_7,hou_2022_7,ajcann_hou_2022,hou_2022,ajcann,9500,g,hou,1,100.0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
laremytunsil_hou_2022_7,hou_2022_7,laremytunsil_hou_2022,hou_2022,laremytunsil,10647,t,hou,1,100.0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
tytushoward_hou_2022_7,hou_2022_7,tytushoward_hou_2022,hou_2022,tytushoward,25472,t,hou,1,100.0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
