p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles,week,year,plyr_number
jerryhughes_hou_2022_7,hou_2022_7,jerryhughes_hou_2022,hou_2022,jerryhughes,5556,ed,hou,1,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
alwoods_sea_2022_7,sea_2022_7,alwoods_sea_2022,sea_2022,alwoods,5646,di,sea,1,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
marioaddison_hou_2022_7,hou_2022_7,marioaddison_hou_2022,hou_2022,marioaddison,6558,ed,hou,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
michaelbrockers_det_2022_7,det_2022_7,michaelbrockers_det_2022,det_2022,michaelbrockers,7020,di,det,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
chandlerjones_lv_2022_7,lv_2022_7,chandlerjones_lv_2022,lv_2022,chandlerjones,7027,ed,lv,1,0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jonbostic_was_2022_7,was_2022_7,jonbostic_was_2022,was_2022,jonbostic,7831,lb,was,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
johnjenkins_mia_2022_7,mia_2022_7,johnjenkins_mia_2022,mia_2022,johnjenkins,7863,di,mia,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
duronharmon_lv_2022_7,lv_2022_7,duronharmon_lv_2022,lv_2022,duronharmon,7872,s,lv,1,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
brandoncopeland_bal_2022_7,bal_2022_7,brandoncopeland_bal_2022,bal_2022,brandoncopeland,8378,ed,bal,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jadeveonclowney_cle_2022_7,cle_2022_7,jadeveonclowney_cle_2022,cle_2022,jadeveonclowney,8636,ed,cle,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
