p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent,week,year,plyr_number
randybullock_ten_2022_7,ten_2022_7,randybullock_ten_2022,ten_2022,randybullock,7154,k,ten,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
kaimifairbairn_hou_2022_7,hou_2022_7,kaimifairbairn_hou_2022,hou_2022,kaimifairbairn,11161,k,hou,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
taylorbertolet_lac_2022_7,lac_2022_7,taylorbertolet_lac_2022,lac_2022,taylorbertolet,11182,k,lac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
danielcarlson_lv_2022_7,lv_2022_7,danielcarlson_lv_2022,lv_2022,danielcarlson,28121,k,lv,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
matthewwright_kc_2022_7,kc_2022_7,matthewwright_kc_2022,kc_2022,matthewwright,39675,k,kc,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
mitchwishnowsky_sf_2022_7,sf_2022_7,mitchwishnowsky_sf_2022,sf_2022,mitchwishnowsky,44663,p,sf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
camerondicker_phi_2022_7,phi_2022_7,camerondicker_phi_2022,phi_2022,camerondicker,77069,k,phi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
robbiegould_sf_2022_7,sf_2022_7,robbiegould_sf_2022,sf_2022,robbiegould,2607,k,sf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
nickfolk_ne_2022_7,ne_2022_7,nickfolk_ne_2022,ne_2022,nickfolk,3794,k,ne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
masoncrosby_gb_2022_7,gb_2022_7,masoncrosby_gb_2022,gb_2022,masoncrosby,3809,k,gb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
ryansuccop_tb_2022_7,tb_2022_7,ryansuccop_tb_2022,tb_2022,ryansuccop,5180,k,tb,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
grahamgano_nyg_2022_7,nyg_2022_7,grahamgano_nyg_2022,nyg_2022,grahamgano,5443,k,nyg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
gregzuerlein_nyj_2022_7,nyj_2022_7,gregzuerlein_nyj_2022,nyj_2022,gregzuerlein,7163,k,nyj,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
justintucker_bal_2022_7,bal_2022_7,justintucker_bal_2022,bal_2022,justintucker,7604,k,bal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
brandonmcmanus_den_2022_7,den_2022_7,brandonmcmanus_den_2022,den_2022,brandonmcmanus,8437,k,den,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
brettmaher_dal_2022_7,dal_2022_7,brettmaher_dal_2022,dal_2022,brettmaher,8585,k,dal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
cairosantos_chi_2022_7,chi_2022_7,cairosantos_chi_2022,chi_2022,cairosantos,8932,k,chi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
chrisboswell_pit_2022_7,pit_2022_7,chrisboswell_pit_2022,pit_2022,chrisboswell,8990,k,pit,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jasonmyers_sea_2022_7,sea_2022_7,jasonmyers_sea_2022,sea_2022,jasonmyers,10207,k,sea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
willutz_no_2022_7,no_2022_7,willutz_no_2022,no_2022,willutz,11096,k,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jakeelliott_phi_2022_7,phi_2022_7,jakeelliott_phi_2022,phi_2022,jakeelliott,11908,k,phi,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
