p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,week,year,plyr_number
brandongraham_phi_2022_8,phi_2022_8,brandongraham_phi_2022,phi_2022,brandongraham,5538,ed,phi,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
vonmiller_buf_2022_8,buf_2022_8,vonmiller_buf_2022,buf_2022,vonmiller,6154,ed,buf,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
patrickpeterson_min_2022_8,min_2022_8,patrickpeterson_min_2022,min_2022,patrickpeterson,6157,cb,min,1,1,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
fletchercox_phi_2022_8,phi_2022_8,fletchercox_phi_2022,phi_2022,fletchercox,7018,di,phi,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
bobbywagner_lar_2022_8,lar_2022_8,bobbywagner_lar_2022,lar_2022,bobbywagner,7050,lb,lar,1,2,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
caseyhaywardjr_atl_2022_8,atl_2022_8,caseyhaywardjr_atl_2022,atl_2022,caseyhaywardjr,7064,cb,atl,1,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
harrisonsmith_min_2022_8,min_2022_8,harrisonsmith_min_2022,min_2022,harrisonsmith,7641,s,min,1,0,0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
dariusslay_phi_2022_8,phi_2022_8,dariusslay_phi_2022,phi_2022,dariusslay,7817,cb,phi,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
ajklein_bal_2022_8,bal_2022_8,ajklein_bal_2022,bal_2022,ajklein,7930,lb,bal,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jordanpoyer_buf_2022_8,buf_2022_8,jordanpoyer_buf_2022,buf_2022,jordanpoyer,8000,s,buf,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
aarondonald_lar_2022_8,lar_2022_8,aarondonald_lar_2022,lar_2022,aarondonald,8648,di,lar,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jeremiahattaochu_bal_2022_8,bal_2022_8,jeremiahattaochu_bal_2022,bal_2022,jeremiahattaochu,8685,ed,bal,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
daquanjones_buf_2022_8,buf_2022_8,daquanjones_buf_2022,buf_2022,daquanjones,8747,di,buf,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
dontaejohnson_sf_2022_8,sf_2022_8,dontaejohnson_sf_2022,sf_2022,dontaejohnson,8764,cb,sf,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
christianjones_sea_2022_8,sea_2022_8,christianjones_sea_2022,sea_2022,christianjones,9020,ed,sea,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
erickendricks_min_2022_8,min_2022_8,erickendricks_min_2022,min_2022,erickendricks,9478,lb,min,1,3,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jordanphillips_buf_2022_8,buf_2022_8,jordanphillips_buf_2022,buf_2022,jordanphillips,9485,di,buf,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jordanhicks_min_2022_8,min_2022_8,jordanhicks_min_2022,min_2022,jordanhicks,9517,lb,min,1,2,0,72.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
daniellehunter_min_2022_8,min_2022_8,daniellehunter_min_2022,min_2022,daniellehunter,9521,ed,min,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
zadariussmith_min_2022_8,min_2022_8,zadariussmith_min_2022,min_2022,zadariussmith,9555,ed,min,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
davidmayo_was_2022_8,was_2022_8,davidmayo_was_2022,was_2022,davidmayo,9602,lb,was,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jalenramsey_lar_2022_8,lar_2022_8,jalenramsey_lar_2022,lar_2022,jalenramsey,10639,cb,lar,1,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
leonardfloyd_lar_2022_8,lar_2022_8,leonardfloyd_lar_2022,lar_2022,leonardfloyd,10643,ed,lar,1,3,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
