team_id,year,team,week,opp,total_dvoa,off_dvoa,off_pass_dvoa,off_rush_dvoa,def_dvoa,def_pass_dvoa,def_rush_dvoa,special_teams_dvoa
ari_2022_1,2022,ari,1,kc,0.26,0.37,0.45,0.15,-30.2,-48.8,10.7,0.59
atl_2022_1,2022,atl,1,no,0.58,0.56,0.54,0.6,-8.6,-1.2,-24.8,0.76
bal_2022_1,2022,bal,1,nyj,0.72,0.61,0.74,0.17,19.3,17.1,26.3,0.6
buf_2022_1,2022,buf,1,lar,0.81,0.57,0.72,0.12,44.2,44.6,43.3,0.66
car_2022_1,2022,car,1,cle,0.31,0.29,0.39,0.07,-2,10.1,-12.9,0.58
chi_2022_1,2022,chi,1,sf,0.5,0.41,0.46,0.3,21.6,42.5,2.4,0.44
cin_2022_1,2022,cin,1,pit,0.41,0.3,0.36,0.23,21.6,14.1,36.8,0.47
cle_2022_1,2022,cle,1,car,0.57,0.52,0.46,0.65,-0.4,-0.3,-0.7,0.7
dal_2022_1,2022,dal,1,tb,0.29,0.25,0.3,0.41,0.7,18.2,-14,0.58
den_2022_1,2022,den,1,sea,0.54,0.44,0.64,0.11,20.6,2.6,52.3,0.49
det_2022_1,2022,det,1,phi,0.56,0.59,0.58,0.67,-11.5,-6.9,-18.3,0.6
gb_2022_1,2022,gb,1,min,0.41,0.49,0.42,0.67,-21.4,-33.8,-5.6,0.58
hou_2022_1,2022,hou,1,ind,0.47,0.45,0.56,0.22,-10.5,-9.2,-12.2,0.76
ind_2022_1,2022,ind,1,hou,0.39,0.4,0.46,0.27,1.9,-21.1,38.1,0.39
jax_2022_1,2022,jax,1,was,0.46,0.48,0.45,0.75,-4.1,-21.9,25.3,0.48
kc_2022_1,2022,kc,1,ari,0.66,0.68,0.75,0.3,-2.3,-14.4,24.5,0.52
lac_2022_1,2022,lac,1,lv,0.71,0.5,0.66,0.23,45.3,52,26.1,0.53
lac_2022_1,2022,lac,1,lv,0.71,0.5,0.66,0.23,45.3,52,26.1,0.53
lar_2022_1,2022,lar,1,buf,0.35,0.31,0.39,0.18,2,-23.2,58.1,0.58
lv_2022_1,2022,lv,1,lac,0.3,0.29,0.31,0.35,-9.3,-41.6,25.9,0.65
mia_2022_1,2022,mia,1,ne,0.64,0.49,0.58,0.27,24.4,25.6,22.8,0.64
min_2022_1,2022,min,1,gb,0.66,0.6,0.66,0.47,3.9,17.5,-22.7,0.67
ne_2022_1,2022,ne,1,mia,0.48,0.37,0.36,0.42,13,10.9,16.3,0.64
no_2022_1,2022,no,1,atl,0.45,0.5,0.43,0.7,-9.1,-6.2,-12,0.49
nyg_2022_1,2022,nyg,1,ten,0.43,0.49,0.41,0.65,-17.7,-55.4,35.5,0.59
nyj_2022_1,2022,nyj,1,bal,0.37,0.4,0.43,0.27,-3.5,-36.4,51.1,0.43
phi_2022_1,2022,phi,1,det,0.51,0.52,0.53,0.63,-5.2,8.1,-23.6,0.53
pit_2022_1,2022,pit,1,cin,0.63,0.41,0.48,0.17,38.2,40.7,33.3,0.66
sea_2022_1,2022,sea,1,den,0.5,0.51,0.66,0.12,-18.4,-44.4,35.8,0.77
sf_2022_1,2022,sf,1,chi,0.47,0.34,0.37,0.36,18.9,0.4,31.4,0.62
tb_2022_1,2022,tb,1,dal,0.72,0.51,0.52,0.51,42.5,54.5,15.4,0.56
ten_2022_1,2022,ten,1,nyg,0.52,0.48,0.75,0.04,9.4,32,-10.5,0.5
was_2022_1,2022,was,1,jax,0.53,0.5,0.58,0.23,0.9,14.5,-31.9,0.61
ari_2022_2,2022,ari,2,lv,0.48,0.43,0.38,0.57,6.3,-11.6,37.5,0.55
