p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play,week,year,plyr_number
jordanmailata_phi_2022_8,phi_2022_8,jordanmailata_phi_2022,phi_2022,jordanmailata,66916,t,phi,1,0,24,74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
dallasgoedert_phi_2022_8,phi_2022_8,dallasgoedert_phi_2022,phi_2022,dallasgoedert,47272,te,phi,1,0,24,77.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
isaacseumalo_phi_2022_8,phi_2022_8,isaacseumalo_phi_2022,phi_2022,isaacseumalo,10713,g,phi,1,0,24,46.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jasonkelce_phi_2022_8,phi_2022_8,jasonkelce_phi_2022,phi_2022,jasonkelce,6343,ol,phi,1,0,24,59.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
landondickerson_phi_2022_8,phi_2022_8,landondickerson_phi_2022,phi_2022,landondickerson,41712,g,phi,1,0,24,63.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
alaricjackson_lar_2022_8,lar_2022_8,alaricjackson_lar_2022,lar_2022,alaricjackson,40972,g,lar,1,0,26,47.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jeremiahkolone_lar_2022_8,lar_2022_8,jeremiahkolone_lar_2022,lar_2022,jeremiahkolone,46167,ol,lar,1,0,26,51.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
bobbyevans_lar_2022_8,lar_2022_8,bobbyevans_lar_2022,lar_2022,bobbyevans,36800,g,lar,1,0,26,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
robhavenstein_lar_2022_8,lar_2022_8,robhavenstein_lar_2022,lar_2022,robhavenstein,9490,t,lar,1,0,26,55.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
diondawkins_buf_2022_8,buf_2022_8,diondawkins_buf_2022,buf_2022,diondawkins,11818,t,buf,1,0,4,71.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
rodgersaffold_buf_2022_8,buf_2022_8,rodgersaffold_buf_2022,buf_2022,rodgersaffold,5558,g,buf,1,0,4,59.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
ryanbates_buf_2022_8,buf_2022_8,ryanbates_buf_2022,buf_2022,ryanbates,28300,g,buf,1,0,4,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
mitchmorse_buf_2022_8,buf_2022_8,mitchmorse_buf_2022,buf_2022,mitchmorse,9482,ol,buf,1,0,4,73.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
willclapp_lac_2022_8,lac_2022_8,willclapp_lac_2022,lac_2022,willclapp,39386,ol,lac,1,0,27,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
odayaboushi_lar_2022_8,lar_2022_8,odayaboushi_lar_2022,lar_2022,odayaboushi,7923,g,lar,1,0,26,48.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
tylerhigbee_lar_2022_8,lar_2022_8,tylerhigbee_lar_2022,lar_2022,tylerhigbee,10744,te,lar,1,0,26,57.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
seanharlow_ari_2022_8,ari_2022_8,seanharlow_ari_2022,ari_2022,seanharlow,11891,ol,ari,1,0,1,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
dawsonknox_buf_2022_8,buf_2022_8,dawsonknox_buf_2022,buf_2022,dawsonknox,35883,te,buf,1,0,4,57.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jackdriscoll_phi_2022_8,phi_2022_8,jackdriscoll_phi_2022,phi_2022,jackdriscoll,27064,t,phi,1,0,24,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
isaiahwynn_ne_2022_8,ne_2022_8,isaiahwynn_ne_2022,ne_2022,isaiahwynn,46048,t,ne,1,0,19,54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jackstoll_phi_2022_8,phi_2022_8,jackstoll_phi_2022,phi_2022,jackstoll,42058,te,phi,1,0,24,59.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
andruspeat_no_2022_8,no_2022_8,andruspeat_no_2022,no_2022,andruspeat,9446,g,no,1,0,20,65.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
roycenewman_gb_2022_8,gb_2022_8,roycenewman_gb_2022,gb_2022,roycenewman,41746,g,gb,1,0,12,56.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
davidbakhtiari_gb_2022_8,gb_2022_8,davidbakhtiari_gb_2022,gb_2022,davidbakhtiari,7891,t,gb,1,0,12,74.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
greglittle_mia_2022_8,mia_2022_8,greglittle_mia_2022,mia_2022,greglittle,46254,t,mia,1,0,17,72.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
lanejohnson_phi_2022_8,phi_2022_8,lanejohnson_phi_2022,phi_2022,lanejohnson,7786,t,phi,1,0,24,56.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
edingram_min_2022_8,min_2022_8,edingram_min_2022,min_2022,edingram,59819,g,min,1,0,18,47.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
brianoneill_min_2022_8,min_2022_8,brianoneill_min_2022,min_2022,brianoneill,46854,t,min,1,0,18,78.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
garrettbradbury_min_2022_8,min_2022_8,garrettbradbury_min_2022,min_2022,garrettbradbury,46013,ol,min,1,0,18,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
ezracleveland_min_2022_8,min_2022_8,ezracleveland_min_2022,min_2022,ezracleveland,41973,g,min,1,0,18,57.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
christiandarrisaw_min_2022_8,min_2022_8,christiandarrisaw_min_2022,min_2022,christiandarrisaw,77373,t,min,1,0,18,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
davidquessenberry_buf_2022_8,buf_2022_8,davidquessenberry_buf_2022,buf_2022,davidquessenberry,7957,t,buf,1,0,4,57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jaylonmoore_sf_2022_8,sf_2022_8,jaylonmoore_sf_2022,sf_2022,jaylonmoore,43678,t,sf,1,0,28,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
johnnymundt_min_2022_8,min_2022_8,johnnymundt_min_2022,min_2022,johnnymundt,12206,te,min,1,0,18,60.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
spencerbrown_buf_2022_8,buf_2022_8,spencerbrown_buf_2022,buf_2022,spencerbrown,42296,t,buf,1,0,4,56.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
adamtrautman_no_2022_8,no_2022_8,adamtrautman_no_2022,no_2022,adamtrautman,109795,te,no,1,0,20,82.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
wyattteller_cle_2022_8,cle_2022_8,wyattteller_cle_2022,cle_2022,wyattteller,46131,g,cle,1,0,8,59.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
kendallblanton_lar_2022_8,lar_2022_8,kendallblanton_lar_2022,lar_2022,kendallblanton,47311,te,lar,1,0,26,42.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
cameronbrate_tb_2022_8,tb_2022_8,cameronbrate_tb_2022,tb_2022,cameronbrate,9207,te,tb,1,0,30,59.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
tommysweeney_buf_2022_8,buf_2022_8,tommysweeney_buf_2022,buf_2022,tommysweeney,47216,te,buf,1,0,4,57.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
grantcalcaterra_phi_2022_8,phi_2022_8,grantcalcaterra_phi_2022,phi_2022,grantcalcaterra,60997,te,phi,1,0,24,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
donaldparham_lac_2022_8,lac_2022_8,donaldparham_lac_2022,lac_2022,donaldparham,91014,te,lac,1,0,27,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
josephnoteboom_lar_2022_8,lar_2022_8,josephnoteboom_lar_2022,lar_2022,josephnoteboom,46249,t,lar,1,0,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
irvsmithjr_min_2022_8,min_2022_8,irvsmithjr_min_2022,min_2022,irvsmithjr,42060,te,min,1,0,18,60.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
landonyoung_no_2022_8,no_2022_8,landonyoung_no_2022,no_2022,landonyoung,41761,t,no,1,0,20,59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
quintinmorris_buf_2022_8,buf_2022_8,quintinmorris_buf_2022,buf_2022,quintinmorris,61182,te,buf,1,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
brycenhopkins_lar_2022_8,lar_2022_8,brycenhopkins_lar_2022,lar_2022,brycenhopkins,47338,te,lar,1,0,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
blakehance_sf_2022_8,sf_2022_8,blakehance_sf_2022,sf_2022,blakehance,46301,g,sf,1,0,28,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
oliudoh_min_2022_8,min_2022_8,oliudoh_min_2022,min_2022,oliudoh,28394,t,min,1,0,18,59.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
bernhardraimann_ind_2022_8,ind_2022_8,bernhardraimann_ind_2022,ind_2022,bernhardraimann,77948,t,ind,1,0,14,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
bobbyhart_buf_2022_8,buf_2022_8,bobbyhart_buf_2022,buf_2022,bobbyhart,9659,g,buf,1,0,4,62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
iosuaopeta_phi_2022_8,phi_2022_8,iosuaopeta_phi_2022,phi_2022,iosuaopeta,45110,g,phi,1,0,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
brendenjaimes_lac_2022_8,lac_2022_8,brendenjaimes_lac_2022,lac_2022,brendenjaimes,59909,g,lac,1,0,27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
justinbethel_mia_2022_8,mia_2022_8,justinbethel_mia_2022,mia_2022,justinbethel,7654,cb,mia,1,0,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
trentscott_pit_2022_8,pit_2022_8,trentscott_pit_2022,pit_2022,trentscott,24481,t,pit,1,0,25,59.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
fredjohnson_tb_2022_8,tb_2022_8,fredjohnson_tb_2022,tb_2022,fredjohnson,46951,t,tb,1,0,30,63.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
braxtonjones_chi_2022_8,chi_2022_8,braxtonjones_chi_2022,chi_2022,braxtonjones,60092,t,chi,1,0,6,59.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
tevenjenkins_chi_2022_8,chi_2022_8,tevenjenkins_chi_2022,chi_2022,tevenjenkins,41534,g,chi,1,0,6,88.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
larryborom_chi_2022_8,chi_2022_8,larryborom_chi_2022,chi_2022,larryborom,59879,t,chi,1,0,6,63.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
michaelschofieldiii_chi_2022_8,chi_2022_8,michaelschofieldiii_chi_2022,chi_2022,michaelschofieldiii,8730,g,chi,1,0,6,69.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
benpowers_bal_2022_8,bal_2022_8,benpowers_bal_2022,bal_2022,benpowers,41482,g,bal,1,0,3,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
kevinzeitler_bal_2022_8,bal_2022_8,kevinzeitler_bal_2022,bal_2022,kevinzeitler,7032,g,bal,1,0,3,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
tylerlinderbaum_bal_2022_8,bal_2022_8,tylerlinderbaum_bal_2022,bal_2022,tylerlinderbaum,82291,ol,bal,1,0,3,56.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
colekmet_chi_2022_8,chi_2022_8,colekmet_chi_2022,chi_2022,colekmet,60995,te,chi,1,0,6,81.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
charleslenojr_was_2022_8,was_2022_8,charleslenojr_was_2022,was_2022,charleslenojr,8880,t,was,1,0,32,74.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
corneliuslucas_was_2022_8,was_2022_8,corneliuslucas_was_2022,was_2022,corneliuslucas,9025,t,was,1,0,32,43.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
tylerlarsen_was_2022_8,was_2022_8,tylerlarsen_was_2022,was_2022,tylerlarsen,9304,ol,was,1,0,32,57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
saahdiqcharles_was_2022_8,was_2022_8,saahdiqcharles_was_2022,was_2022,saahdiqcharles,59820,g,was,1,0,32,53.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
sammustipher_chi_2022_8,chi_2022_8,sammustipher_chi_2022,chi_2022,sammustipher,13026,ol,chi,1,0,6,90.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
andrewnorwell_was_2022_8,was_2022_8,andrewnorwell_was_2022,was_2022,andrewnorwell,9126,g,was,1,0,32,57.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
ronniestanley_bal_2022_8,bal_2022_8,ronniestanley_bal_2022,bal_2022,ronniestanley,10640,t,bal,1,0,3,73.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
nicholaspetitfrere_ten_2022_8,ten_2022_8,nicholaspetitfrere_ten_2022,ten_2022,nicholaspetitfrere,82003,t,ten,1,0,31,77.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
dillonradunz_ten_2022_8,ten_2022_8,dillonradunz_ten_2022,ten_2022,dillonradunz,30551,g,ten,1,1,31,57.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
benjones_ten_2022_8,ten_2022_8,benjones_ten_2022,ten_2022,benjones,7099,ol,ten,1,0,31,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
dennisdaley_ten_2022_8,ten_2022_8,dennisdaley_ten_2022,ten_2022,dennisdaley,60063,t,ten,1,0,31,68.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
aaronbrewer_ten_2022_8,ten_2022_8,aaronbrewer_ten_2022,ten_2022,aaronbrewer,46014,g,ten,1,0,31,74.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
markandrews_bal_2022_8,bal_2022_8,markandrews_bal_2022,bal_2022,markandrews,47436,te,bal,1,0,3,62.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
charlescross_sea_2022_8,sea_2022_8,charlescross_sea_2022,sea_2022,charlescross,98401,t,sea,1,0,29,53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
damienlewis_sea_2022_8,sea_2022_8,damienlewis_sea_2022,sea_2022,damienlewis,81532,g,sea,1,0,29,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
abrahamlucas_sea_2022_8,sea_2022_8,abrahamlucas_sea_2022,sea_2022,abrahamlucas,60218,t,sea,1,0,29,49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
austinblythe_sea_2022_8,sea_2022_8,austinblythe_sea_2022,sea_2022,austinblythe,10882,ol,sea,1,0,29,59.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
