away_matchup_id,precip,dome,temperature,wind_mph
gb@sea_2014_1,0,0,70,5
no@atl_2014_1,0,1,70,0
buf@chi_2014_1,0,0,77,7
ten@kc_2014_1,0,0,77,5
min@lar_2014_1,0,1,70,0
ne@mia_2014_1,1,0,89,13
oak@nyj_2014_1,0,0,80,3
jax@phi_2014_1,0,0,80,6
cle@pit_2014_1,0,0,72,6
cin@bal_2014_1,0,0,78,0
was@hou_2014_1,1,0,82,12
car@tb_2014_1,1,0,79,7
sf@dal_2014_1,0,0,84,0
ind@den_2014_1,0,0,70,6
nyg@det_2014_1,0,1,70,0
lac@ari_2014_1,0,1,70,0
pit@bal_2014_2,0,0,80,0
mia@buf_2014_2,0,0,61,4
atl@cin_2014_2,0,0,68,4
no@cle_2014_2,0,0,62,5
dal@ten_2014_2,0,0,77,6
ne@min_2014_2,0,0,65,11
ari@nyg_2014_2,0,0,71,5
jax@was_2014_2,0,0,67,4
det@car_2014_2,1,0,68,7
sea@lac_2014_2,0,0,85,6
lar@tb_2014_2,1,0,78,0
kc@den_2014_2,0,0,82,14
nyj@gb_2014_2,1,0,63,11
hou@oak_2014_2,0,0,73,10
chi@sf_2014_2,0,0,73,9
phi@ind_2014_2,0,1,70,0
tb@atl_2014_3,0,1,70,0
lac@buf_2014_3,1,0,72,16
ten@cin_2014_3,0,0,79,14
bal@cle_2014_3,1,0,69,19
gb@det_2014_3,0,1,70,0
dal@lar_2014_3,0,1,70,0
oak@ne_2014_3,1,0,78,7
min@no_2014_3,0,1,70,0
hou@nyg_2014_3,1,0,76,0
was@phi_2014_3,1,0,76,4
ind@jax_2014_3,0,0,85,5
sf@ari_2014_3,0,1,70,0
kc@mia_2014_3,1,0,84,8
den@sea_2014_3,0,0,83,6
pit@car_2014_3,0,0,74,3
chi@nyj_2014_3,0,0,56,4
nyg@was_2014_4,0,0,63,7
gb@chi_2014_4,0,0,78,6
ten@ind_2014_4,0,1,70,0
mia@oak_2014_4,0,0,68,0
det@nyj_2014_4,0,0,85,6
tb@pit_2014_4,0,0,73,6
car@bal_2014_4,0,0,79,0
buf@hou_2014_4,0,0,86,4
jax@lac_2014_4,0,0,72,7
atl@min_2014_4,0,0,80,8
phi@sf_2014_4,0,0,75,7
no@dal_2014_4,0,0,79,3
ne@kc_2014_4,0,0,72,3
min@gb_2014_5,1,0,63,7
hou@dal_2014_5,0,0,81,0
buf@det_2014_5,0,1,70,0
cle@ten_2014_5,0,0,71,13
bal@ind_2014_5,0,1,70,0
tb@no_2014_5,0,1,70,0
atl@nyg_2014_5,0,0,61,6
lar@phi_2014_5,0,0,60,6
chi@car_2014_5,0,0,63,7
pit@jax_2014_5,0,0,73,4
ari@den_2014_5,0,0,72,8
nyj@lac_2014_5,0,0,83,6
kc@sf_2014_5,0,0,88,6
cin@ne_2014_5,0,0,35,0
sea@was_2014_5,1,0,63,11
ind@hou_2014_6,1,0,77,3
ne@buf_2014_6,1,0,59,3
car@cin_2014_6,1,0,62,6
