p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year,plyr_number
jamareesalyer_lac_2022_9,lac_2022_9,jamareesalyer_lac_2022,lac_2022,jamareesalyer,81656,t,lac,1,0,27,72.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
mattfeiler_lac_2022_9,lac_2022_9,mattfeiler_lac_2022,lac_2022,mattfeiler,9289,g,lac,1,0,27,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
treypipkins_lac_2022_9,lac_2022_9,treypipkins_lac_2022,lac_2022,treypipkins,91462,t,lac,1,0,27,79.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
zionjohnson_lac_2022_9,lac_2022_9,zionjohnson_lac_2022,lac_2022,zionjohnson,99681,g,lac,1,0,27,74.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
coreylinsley_lac_2022_9,lac_2022_9,coreylinsley_lac_2022,lac_2022,coreylinsley,8796,ol,lac,1,1,27,78.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
calvinthrockmorton_no_2022_9,no_2022_9,calvinthrockmorton_no_2022,no_2022,calvinthrockmorton,28238,g,no,1,0,20,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
ajcann_hou_2022_9,hou_2022_9,ajcann_hou_2022,hou_2022,ajcann,9500,g,hou,1,0,13,43.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
treysmith_kc_2022_9,kc_2022_9,treysmith_kc_2022,kc_2022,treysmith,62960,g,kc,1,1,16,52.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
joethuney_kc_2022_9,kc_2022_9,joethuney_kc_2022,kc_2022,joethuney,10712,g,kc,1,0,16,68.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
elgtonjenkins_gb_2022_9,gb_2022_9,elgtonjenkins_gb_2022,gb_2022,elgtonjenkins,46298,t,gb,1,0,12,41.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
creedhumphrey_kc_2022_9,kc_2022_9,creedhumphrey_kc_2022,kc_2022,creedhumphrey,59996,ol,kc,1,0,16,61.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
orlandobrownjr_kc_2022_9,kc_2022_9,orlandobrownjr_kc_2022,kc_2022,orlandobrownjr,46227,t,kc,1,0,16,72.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
andrewwylie_kc_2022_9,kc_2022_9,andrewwylie_kc_2022,kc_2022,andrewwylie,12333,t,kc,1,1,16,45.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
saahdiqcharles_was_2022_9,was_2022_9,saahdiqcharles_was_2022,was_2022,saahdiqcharles,59820,g,was,1,0,32,37.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
cameronfleming_den_2022_9,den_2022_9,cameronfleming_den_2022,den_2022,cameronfleming,8775,t,den,1,0,10,67.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
djhumphries_ari_2022_9,ari_2022_9,djhumphries_ari_2022,ari_2022,djhumphries,9457,t,ari,1,0,1,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
larryborom_chi_2022_9,chi_2022_9,larryborom_chi_2022,chi_2022,larryborom,59879,t,chi,1,0,6,52.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
hakeemadeniji_cin_2022_9,cin_2022_9,hakeemadeniji_cin_2022,cin_2022,hakeemadeniji,45419,t,cin,1,0,7,80.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
evanneal_nyg_2022_9,nyg_2022_9,evanneal_nyg_2022,nyg_2022,evanneal,99063,t,nyg,1,0,21,67.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
jakecurhan_sea_2022_9,sea_2022_9,jakecurhan_sea_2022,sea_2022,jakecurhan,38549,g,sea,1,0,29,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
noahgray_kc_2022_9,kc_2022_9,noahgray_kc_2022,kc_2022,noahgray,60878,te,kc,1,0,16,73.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
richardrodgers_lac_2022_9,lac_2022_9,richardrodgers_lac_2022,lac_2022,richardrodgers,8733,te,lac,1,0,27,75.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
traviskelce_kc_2022_9,kc_2022_9,traviskelce_kc_2022,kc_2022,traviskelce,7844,te,kc,1,0,16,73.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
walkerlittle_jax_2022_9,jax_2022_9,walkerlittle_jax_2022,jax_2022,walkerlittle,52287,t,jax,1,0,15,78.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
colevanlanen_jax_2022_9,jax_2022_9,colevanlanen_jax_2022,jax_2022,colevanlanen,41583,g,jax,1,0,15,74.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
nickallegretti_kc_2022_9,kc_2022_9,nickallegretti_kc_2022,kc_2022,nickallegretti,39268,g,kc,1,0,16,71.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
danskipper_det_2022_9,det_2022_9,danskipper_det_2022,det_2022,danskipper,12307,g,det,1,0,11,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
dannypinter_ind_2022_9,ind_2022_9,dannypinter_ind_2022,ind_2022,dannypinter,47339,g,ind,1,0,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
geronchristiansr_kc_2022_9,kc_2022_9,geronchristiansr_kc_2022,kc_2022,geronchristiansr,46375,t,kc,1,0,16,42.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
princetegawanogho_kc_2022_9,kc_2022_9,princetegawanogho_kc_2022,kc_2022,princetegawanogho,44820,t,kc,1,0,16,75.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
tremckitty_lac_2022_9,lac_2022_9,tremckitty_lac_2022,lac_2022,tremckitty,60896,te,lac,1,0,27,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
geraldeverett_lac_2022_9,lac_2022_9,geraldeverett_lac_2022,lac_2022,geraldeverett,11799,te,lac,1,0,27,72.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
gregdulcich_den_2022_9,den_2022_9,gregdulcich_den_2022,den_2022,gregdulcich,84068,te,den,1,0,10,69.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
charliewoerner_sf_2022_9,sf_2022_9,charliewoerner_sf_2022,sf_2022,charliewoerner,42257,te,sf,1,0,28,28.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
deveryhamilton_nyg_2022_9,nyg_2022_9,deveryhamilton_nyg_2022,nyg_2022,deveryhamilton,40636,t,nyg,1,0,21,66.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
giovanniricci_car_2022_9,car_2022_9,giovanniricci_car_2022,car_2022,giovanniricci,13756,te,car,1,0,5,67.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
coreylevin_ten_2022_9,ten_2022_9,coreylevin_ten_2022,ten_2022,coreylevin,11972,ol,ten,1,0,31,70.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
jackanderson_nyg_2022_9,nyg_2022_9,jackanderson_nyg_2022,nyg_2022,jackanderson,60130,g,nyg,1,0,21,66.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
davidnjoku_cle_2022_9,cle_2022_9,davidnjoku_cle_2022,cle_2022,davidnjoku,11784,te,cle,1,0,8,69.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
stephenanderson_ari_2022_9,ari_2022_9,stephenanderson_ari_2022,ari_2022,stephenanderson,11160,te,ari,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
tommytremble_car_2022_9,car_2022_9,tommytremble_car_2022,car_2022,tommytremble,84025,te,car,1,0,5,70.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
billyprice_ari_2022_9,ari_2022_9,billyprice_ari_2022,ari_2022,billyprice,46795,ol,ari,1,0,1,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
willhernandez_ari_2022_9,ari_2022_9,willhernandez_ari_2022,ari_2022,willhernandez,46180,g,ari,1,0,1,71.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
kelvinbeachum_ari_2022_9,ari_2022_9,kelvinbeachum_ari_2022,ari_2022,kelvinbeachum,7229,t,ari,1,0,1,57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
joshjones_ari_2022_9,ari_2022_9,joshjones_ari_2022,ari_2022,joshjones,26634,t,ari,1,0,1,79.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
codyford_ari_2022_9,ari_2022_9,codyford_ari_2022,ari_2022,codyford,39805,g,ari,1,0,1,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
danmoorejr_pit_2022_9,pit_2022_9,danmoorejr_pit_2022,pit_2022,danmoorejr,60120,t,pit,1,0,25,61.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
chukwumaokorafor_pit_2022_9,pit_2022_9,chukwumaokorafor_pit_2022,pit_2022,chukwumaokorafor,46302,t,pit,1,0,25,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
kevindotson_pit_2022_9,pit_2022_9,kevindotson_pit_2022,pit_2022,kevindotson,46735,g,pit,1,0,25,62.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
masoncole_pit_2022_9,pit_2022_9,masoncole_pit_2022,pit_2022,masoncole,45547,ol,pit,1,0,25,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
