p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week,year,plyr_number
ezekielelliott_dal_2022_9,dal_2022_9,ezekielelliott_dal_2022,dal_2022,ezekielelliott,10638,hb,dal,1,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
chubahubbard_car_2022_9,car_2022_9,chubahubbard_car_2022,car_2022,chubahubbard,57373,hb,car,1,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
austinekeler_lac_2022_9,lac_2022_9,austinekeler_lac_2022,lac_2022,austinekeler,12164,hb,lac,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
isiahpacheco_kc_2022_9,kc_2022_9,isiahpacheco_kc_2022,kc_2022,isiahpacheco,83747,hb,kc,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
keaontayingram_ari_2022_9,ari_2022_9,keaontayingram_ari_2022,ari_2022,keaontayingram,77761,hb,ari,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
clydeedwardshelaire_kc_2022_9,kc_2022_9,clydeedwardshelaire_kc_2022,kc_2022,clydeedwardshelaire,57279,hb,kc,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
deejaydallas_sea_2022_9,sea_2022_9,deejaydallas_sea_2022,sea_2022,deejaydallas,55632,hb,sea,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
ryantannehill_ten_2022_9,ten_2022_9,ryantannehill_ten_2022,ten_2022,ryantannehill,7014,qb,ten,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
andydalton_no_2022_9,no_2022_9,andydalton_no_2022,no_2022,andydalton,6187,qb,no,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
markingramii_no_2022_9,no_2022_9,markingramii_no_2022,no_2022,markingramii,6180,hb,no,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
brettrypien_den_2022_9,den_2022_9,brettrypien_den_2022,den_2022,brettrypien,46487,qb,den,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
chadhenne_kc_2022_9,kc_2022_9,chadhenne_kc_2022,kc_2022,chadhenne,4371,qb,kc,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
justinherbert_lac_2022_9,lac_2022_9,justinherbert_lac_2022,lac_2022,justinherbert,28237,qb,lac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
djturner_lv_2022_9,lv_2022_9,djturner_lv_2022,lv_2022,djturner,47663,wr,lv,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
justinjackson_det_2022_9,det_2022_9,justinjackson_det_2022,det_2022,justinjackson,29539,hb,det,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
deebosamuel_sf_2022_9,sf_2022_9,deebosamuel_sf_2022,sf_2022,deebosamuel,48274,wr,sf,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
tyriondavisprice_sf_2022_9,sf_2022_9,tyriondavisprice_sf_2022,sf_2022,tyriondavisprice,99169,hb,sf,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
kalifraymond_det_2022_9,det_2022_9,kalifraymond_det_2022,det_2022,kalifraymond,11028,wr,det,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
rexburkhead_hou_2022_9,hou_2022_9,rexburkhead_hou_2022,hou_2022,rexburkhead,7971,hb,hou,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
jerickmckinnon_kc_2022_9,kc_2022_9,jerickmckinnon_kc_2022,kc_2022,jerickmckinnon,8731,hb,kc,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
baileyzappe_ne_2022_9,ne_2022_9,baileyzappe_ne_2022,ne_2022,baileyzappe,60396,qb,ne,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
mecolehardman_kc_2022_9,kc_2022_9,mecolehardman_kc_2022,kc_2022,mecolehardman,42683,wr,kc,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
braxtonberrios_nyj_2022_9,nyj_2022_9,braxtonberrios_nyj_2022,nyj_2022,braxtonberrios,47961,wr,nyj,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
sonymichel_lac_2022_9,lac_2022_9,sonymichel_lac_2022,lac_2022,sonymichel,27589,hb,lac,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
dareogunbowale_hou_2022_9,hou_2022_9,dareogunbowale_hou_2022,hou_2022,dareogunbowale,12329,hb,hou,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
dwayneeskridge_sea_2022_9,sea_2022_9,dwayneeskridge_sea_2022,sea_2022,dwayneeskridge,29573,wr,sea,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
diontaejohnson_pit_2022_9,pit_2022_9,diontaejohnson_pit_2022,pit_2022,diontaejohnson,33441,wr,pit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
gregdortch_ari_2022_9,ari_2022_9,gregdortch_ari_2022,ari_2022,gregdortch,42237,wr,ari,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
averywilliams_atl_2022_9,atl_2022_9,averywilliams_atl_2022,atl_2022,averywilliams,42873,hb,atl,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
christiankirk_jax_2022_9,jax_2022_9,christiankirk_jax_2022,jax_2022,christiankirk,47546,wr,jax,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
dantepettis_chi_2022_9,chi_2022_9,dantepettis_chi_2022,chi_2022,dantepettis,48113,wr,chi,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
patrickricard_bal_2022_9,bal_2022_9,patrickricard_bal_2022,bal_2022,patrickricard,48862,fb,bal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
montrellwashington_den_2022_9,den_2022_9,montrellwashington_den_2022,den_2022,montrellwashington,64310,wr,den,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
brockpurdy_sf_2022_9,sf_2022_9,brockpurdy_sf_2022,sf_2022,brockpurdy,77672,qb,sf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
zamirwhite_lv_2022_9,lv_2022_9,zamirwhite_lv_2022,lv_2022,zamirwhite,83665,hb,lv,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
mattryan_ind_2022_9,ind_2022_9,mattryan_ind_2022,ind_2022,mattryan,4317,qb,ind,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
isaiahspiller_lac_2022_9,lac_2022_9,isaiahspiller_lac_2022,lac_2022,isaiahspiller,99146,hb,lac,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
chrisgodwin_tb_2022_9,tb_2022_9,chrisgodwin_tb_2022,tb_2022,chrisgodwin,11839,wr,tb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
derrickhenry_ten_2022_9,ten_2022_9,derrickhenry_ten_2022,ten_2022,derrickhenry,10679,hb,ten,1,32,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
dontaforeman_car_2022_9,car_2022_9,dontaforeman_car_2022,car_2022,dontaforeman,11844,hb,car,1,26,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
travisetienne_jax_2022_9,jax_2022_9,travisetienne_jax_2022,jax_2022,travisetienne,57185,hb,jax,1,24,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
nickchubb_cle_2022_9,cle_2022_9,nickchubb_cle_2022,cle_2022,nickchubb,45783,hb,cle,1,23,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
aaronjones_gb_2022_9,gb_2022_9,aaronjones_gb_2022,gb_2022,aaronjones,11937,hb,gb,1,20,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
saquonbarkley_nyg_2022_9,nyg_2022_9,saquonbarkley_nyg_2022,nyg_2022,saquonbarkley,45791,hb,nyg,1,20,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
dalvincook_min_2022_9,min_2022_9,dalvincook_min_2022,min_2022,dalvincook,11796,hb,min,1,20,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
alvinkamara_no_2022_9,no_2022_9,alvinkamara_no_2022,no_2022,alvinkamara,11822,hb,no,1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
christianmccaffrey_sf_2022_9,sf_2022_9,christianmccaffrey_sf_2022,sf_2022,christianmccaffrey,11763,hb,sf,1,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
kennethwalkeriii_sea_2022_9,sea_2022_9,kennethwalkeriii_sea_2022,sea_2022,kennethwalkeriii,97199,hb,sea,1,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
rhamondrestevenson_ne_2022_9,ne_2022_9,rhamondrestevenson_ne_2022,ne_2022,rhamondrestevenson,98689,hb,ne,1,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
calebhuntley_atl_2022_9,atl_2022_9,calebhuntley_atl_2022,atl_2022,calebhuntley,57156,hb,atl,1,16,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
