p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,week,year,plyr_number
justonburris_car_2022_9,car_2022_9,justonburris_car_2022,car_2022,justonburris,10752,s,car,1,16,,8.0,0,0,0,0,0,0,0,0,0,9,2022,9
kerbyjoseph_det_2022_9,det_2022_9,kerbyjoseph_det_2022,det_2022,kerbyjoseph,83239,s,det,1,6,,2.0,0,0,0,0,0,0,0,0,0,9,2022,9
kennethmurray_lac_2022_9,lac_2022_9,kennethmurray_lac_2022,lac_2022,kennethmurray,58099,lb,lac,1,1,,1.0,0,0,0,0,0,0,0,0,0,9,2022,9
jeremiahowusukoramoah_cle_2022_9,cle_2022_9,jeremiahowusukoramoah_cle_2022,cle_2022,jeremiahowusukoramoah,58089,lb,cle,1,2,,2.0,0,0,0,0,0,0,0,0,0,9,2022,9
demariodavis_no_2022_9,no_2022_9,demariodavis_no_2022,no_2022,demariodavis,7079,lb,no,1,4,,4.0,0,0,0,0,0,0,0,0,0,9,2022,9
ryanneal_sea_2022_9,sea_2022_9,ryanneal_sea_2022,sea_2022,ryanneal,49132,s,sea,1,11,,11.0,0,0,0,0,0,0,0,0,0,9,2022,9
justinreid_kc_2022_9,kc_2022_9,justinreid_kc_2022,kc_2022,justinreid,49048,s,kc,1,9,,9.0,0,0,0,0,0,0,0,0,0,9,2022,9
alontaetaylor_no_2022_9,no_2022_9,alontaetaylor_no_2022,no_2022,alontaetaylor,83469,cb,no,1,3,,3.0,0,0,0,0,0,0,0,0,0,9,2022,9
ljariussneed_kc_2022_9,kc_2022_9,ljariussneed_kc_2022,kc_2022,ljariussneed,40588,cb,kc,1,22,22.0,11.0,0,0,0,0,0,0,0,0,0,9,2022,9
rogermccreary_ten_2022_9,ten_2022_9,rogermccreary_ten_2022,ten_2022,rogermccreary,83176,cb,ten,1,24,12.0,12.0,0,0,0,0,0,0,0,0,0,9,2022,9
dicapriobootle_kc_2022_9,kc_2022_9,dicapriobootle_kc_2022,kc_2022,dicapriobootle,42913,cb,kc,1,10,10.0,3.3,0,0,0,0,0,0,0,0,0,9,2022,9
antoinewinfieldjr_tb_2022_9,tb_2022_9,antoinewinfieldjr_tb_2022,tb_2022,antoinewinfieldjr,42475,s,tb,1,10,10.0,10.0,0,0,0,0,0,0,0,0,0,9,2022,9
johnathanabram_lv_2022_9,lv_2022_9,johnathanabram_lv_2022,lv_2022,johnathanabram,34646,s,lv,1,8,8.0,8.0,0,0,0,0,0,0,0,0,0,9,2022,9
danebelton_nyg_2022_9,nyg_2022_9,danebelton_nyg_2022,nyg_2022,danebelton,101398,s,nyg,1,8,8.0,8.0,0,0,0,0,0,0,0,0,0,9,2022,9
justinbethel_mia_2022_9,mia_2022_9,justinbethel_mia_2022,mia_2022,justinbethel,7654,cb,mia,1,39,7.8,5.6,0,0,0,0,0,0,0,0,0,9,2022,9
desmondkingii_hou_2022_9,hou_2022_9,desmondkingii_hou_2022,hou_2022,desmondkingii,11906,cb,hou,1,21,7.0,7.0,0,0,0,0,0,0,0,0,0,9,2022,9
nasiradderley_lac_2022_9,lac_2022_9,nasiradderley_lac_2022,lac_2022,nasiradderley,33880,s,lac,1,7,7.0,7.0,0,0,0,0,0,0,0,0,0,9,2022,9
grantdelpit_cle_2022_9,cle_2022_9,grantdelpit_cle_2022,cle_2022,grantdelpit,60685,s,cle,1,7,7.0,2.3,0,0,0,0,0,0,0,0,0,9,2022,9
amanihooker_ten_2022_9,ten_2022_9,amanihooker_ten_2022,ten_2022,amanihooker,51378,s,ten,1,28,7.0,7.0,0,0,0,0,0,0,0,0,0,9,2022,9
mykalwalker_atl_2022_9,atl_2022_9,mykalwalker_atl_2022,atl_2022,mykalwalker,57834,lb,atl,1,19,6.3,4.8,0,0,0,0,0,0,0,0,0,9,2022,9
byronmurphyjr_ari_2022_9,ari_2022_9,byronmurphyjr_ari_2022,ari_2022,byronmurphyjr,44027,cb,ari,1,29,5.8,4.8,0,0,0,0,0,0,0,0,0,9,2022,9
patrickqueen_bal_2022_9,bal_2022_9,patrickqueen_bal_2022,bal_2022,patrickqueen,57941,lb,bal,1,5,5.0,5.0,0,0,0,0,0,0,0,0,0,9,2022,9
robertspillane_pit_2022_9,pit_2022_9,robertspillane_pit_2022,pit_2022,robertspillane,50918,lb,pit,1,5,5.0,5.0,0,0,0,0,0,0,0,0,0,9,2022,9
rodneymcleod_ind_2022_9,ind_2022_9,rodneymcleod_ind_2022,ind_2022,rodneymcleod,7271,s,ind,1,5,5.0,2.5,0,0,0,0,0,0,0,0,0,9,2022,9
devinmccourty_ne_2022_9,ne_2022_9,devinmccourty_ne_2022,ne_2022,devinmccourty,5552,s,ne,1,4,4.0,4.0,0,0,0,0,0,0,0,0,0,9,2022,9
eddiejackson_chi_2022_9,chi_2022_9,eddiejackson_chi_2022,chi_2022,eddiejackson,11867,s,chi,1,4,4.0,2.0,0,0,0,0,0,0,0,0,0,9,2022,9
dariusharris_kc_2022_9,kc_2022_9,dariusharris_kc_2022,kc_2022,dariusharris,29188,lb,kc,1,4,4.0,2.0,0,0,0,0,0,0,0,0,0,9,2022,9
druetranquill_lac_2022_9,lac_2022_9,druetranquill_lac_2022,lac_2022,druetranquill,51276,lb,lac,1,4,4.0,4.0,0,0,0,0,0,0,0,0,0,9,2022,9
derwinjames_lac_2022_9,lac_2022_9,derwinjames_lac_2022,lac_2022,derwinjames,51368,s,lac,1,8,4.0,4.0,0,0,0,0,0,0,0,0,0,9,2022,9
jayronkearse_dal_2022_9,dal_2022_9,jayronkearse_dal_2022,dal_2022,jayronkearse,10878,s,dal,1,7,3.5,3.5,0,0,0,0,0,0,0,0,0,9,2022,9
trenorwood_pit_2022_9,pit_2022_9,trenorwood_pit_2022,pit_2022,trenorwood,55675,s,pit,1,7,3.5,2.3,0,0,0,0,0,0,0,0,0,9,2022,9
brandinechols_nyj_2022_9,nyj_2022_9,brandinechols_nyj_2022,nyj_2022,brandinechols,98900,cb,nyj,1,7,3.5,2.3,0,0,0,0,0,0,0,0,0,9,2022,9
justinevans_no_2022_9,no_2022_9,justinevans_no_2022,no_2022,justinevans,11805,s,no,1,20,3.3,2.9,0,0,0,0,0,0,0,0,0,9,2022,9
andrewadams_ten_2022_9,ten_2022_9,andrewadams_ten_2022,ten_2022,andrewadams,11240,s,ten,1,3,3.0,1.5,0,0,0,0,0,0,0,0,0,9,2022,9
nicholasmorrow_chi_2022_9,chi_2022_9,nicholasmorrow_chi_2022,chi_2022,nicholasmorrow,51674,lb,chi,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,9,2022,9
marcusmaye_no_2022_9,no_2022_9,marcusmaye_no_2022,no_2022,marcusmaye,11794,s,no,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,9,2022,9
jaylonsmith_nyg_2022_9,nyg_2022_9,jaylonsmith_nyg_2022,nyg_2022,jaylonsmith,10668,lb,nyg,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,9,2022,9
jaylenwatson_kc_2022_9,kc_2022_9,jaylenwatson_kc_2022,kc_2022,jaylenwatson,131960,cb,kc,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,9,2022,9
rockyasin_lv_2022_9,lv_2022_9,rockyasin_lv_2022,lv_2022,rockyasin,49564,cb,lv,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,9,2022,9
jaylinnhawkins_atl_2022_9,atl_2022_9,jaylinnhawkins_atl_2022,atl_2022,jaylinnhawkins,51423,s,atl,1,8,2.7,2.7,0,0,0,0,0,0,0,0,0,9,2022,9
williegayjr_kc_2022_9,kc_2022_9,williegayjr_kc_2022,kc_2022,williegayjr,57987,lb,kc,1,4,2.0,2.0,0,0,0,0,0,0,0,0,0,9,2022,9
codybarton_sea_2022_9,sea_2022_9,codybarton_sea_2022,sea_2022,codybarton,50727,lb,sea,1,2,2.0,1.0,0,0,0,0,0,0,0,0,0,9,2022,9
sionetakitaki_cle_2022_9,cle_2022_9,sionetakitaki_cle_2022,cle_2022,sionetakitaki,12666,lb,cle,1,2,2.0,2.0,0,0,0,0,0,0,0,0,0,9,2022,9
tannervallejo_ari_2022_9,ari_2022_9,tannervallejo_ari_2022,ari_2022,tannervallejo,11950,lb,ari,1,2,2.0,2.0,0,0,0,0,0,0,0,0,0,9,2022,9
mikeedwards_tb_2022_9,tb_2022_9,mikeedwards_tb_2022,tb_2022,mikeedwards,51282,s,tb,1,2,2.0,2.0,0,0,0,0,0,0,0,0,0,9,2022,9
petewerner_no_2022_9,no_2022_9,petewerner_no_2022,no_2022,petewerner,58093,lb,no,1,2,2.0,2.0,0,0,0,0,0,0,0,0,0,9,2022,9
jamiecollinssr_ne_2022_9,ne_2022_9,jamiecollinssr_ne_2022,ne_2022,jamiecollinssr,7833,lb,ne,1,2,2.0,2.0,0,0,0,0,0,0,0,0,0,9,2022,9
mackwilson_ne_2022_9,ne_2022_9,mackwilson_ne_2022,ne_2022,mackwilson,43190,lb,ne,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,9,2022,9
jawhaunbentley_ne_2022_9,ne_2022_9,jawhaunbentley_ne_2022,ne_2022,jawhaunbentley,50966,lb,ne,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,9,2022,9
ericstokes_gb_2022_9,gb_2022_9,ericstokes_gb_2022,gb_2022,ericstokes,55912,cb,gb,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,9,2022,9
claytonfejedelem_mia_2022_9,mia_2022_9,claytonfejedelem_mia_2022,mia_2022,claytonfejedelem,10879,s,mia,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,9,2022,9
jalenmills_ne_2022_9,ne_2022_9,jalenmills_ne_2022,ne_2022,jalenmills,10867,cb,ne,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,9,2022,9
arthurmaulet_pit_2022_9,pit_2022_9,arthurmaulet_pit_2022,pit_2022,arthurmaulet,12224,cb,pit,1,18,,18.0,0,0,0,0,0,0,0,0,0,9,2022,9
jahlanitavai_ne_2022_9,ne_2022_9,jahlanitavai_ne_2022,ne_2022,jahlanitavai,51055,lb,ne,1,2,,2.0,0,0,0,0,0,0,0,0,0,9,2022,9
kwaunwilliams_den_2022_9,den_2022_9,kwaunwilliams_den_2022,den_2022,kwaunwilliams,9332,cb,den,1,28,,9.3,0,0,0,0,0,0,0,0,0,9,2022,9
kwonalexander_nyj_2022_9,nyj_2022_9,kwonalexander_nyj_2022,nyj_2022,kwonalexander,9557,lb,nyj,1,3,,3.0,0,0,0,0,0,0,0,0,0,9,2022,9
jonasgriffith_den_2022_9,den_2022_9,jonasgriffith_den_2022,den_2022,jonasgriffith,35858,lb,den,1,1,,1.0,0,0,0,0,0,0,0,0,0,9,2022,9
rachadwildgoose_was_2022_9,was_2022_9,rachadwildgoose_was_2022,was_2022,rachadwildgoose,83111,cb,was,1,14,,14.0,0,0,0,0,0,0,0,0,0,9,2022,9
darnellsavage_gb_2022_9,gb_2022_9,darnellsavage_gb_2022,gb_2022,darnellsavage,34247,s,gb,1,3,,3.0,0,0,0,0,0,0,0,0,0,9,2022,9
fabianmoreau_nyg_2022_9,nyg_2022_9,fabianmoreau_nyg_2022,nyg_2022,fabianmoreau,11836,cb,nyg,1,3,,1.5,0,0,0,0,0,0,0,0,0,9,2022,9
keithtaylor_car_2022_9,car_2022_9,keithtaylor_car_2022,car_2022,keithtaylor,56289,cb,car,1,1,,1.0,0,0,0,0,0,0,0,0,0,9,2022,9
chuckclark_bal_2022_9,bal_2022_9,chuckclark_bal_2022,bal_2022,chuckclark,11941,s,bal,1,9,,9.0,0,0,0,0,0,0,0,0,0,9,2022,9
gregnewsomeii_cle_2022_9,cle_2022_9,gregnewsomeii_cle_2022,cle_2022,gregnewsomeii,83341,cb,cle,1,30,30.0,30.0,0,0,0,0,0,0,0,0,0,9,2022,9
mylesbryant_ne_2022_9,ne_2022_9,mylesbryant_ne_2022,ne_2022,mylesbryant,43336,cb,ne,1,27,27.0,13.5,0,0,0,0,0,0,0,0,0,9,2022,9
mikehilton_cin_2022_9,cin_2022_9,mikehilton_cin_2022,cin_2022,mikehilton,10898,cb,cin,1,21,21.0,21.0,0,0,0,0,0,0,0,0,0,9,2022,9
amikrobertson_lv_2022_9,lv_2022_9,amikrobertson_lv_2022,lv_2022,amikrobertson,55619,cb,lv,1,17,17.0,8.5,0,0,0,0,0,0,0,0,0,9,2022,9
marlonhumphrey_bal_2022_9,bal_2022_9,marlonhumphrey_bal_2022,bal_2022,marlonhumphrey,11771,cb,bal,1,15,15.0,15.0,0,0,0,0,0,0,0,0,0,9,2022,9
kylehamilton_bal_2022_9,bal_2022_9,kylehamilton_bal_2022,bal_2022,kylehamilton,102684,s,bal,1,14,14.0,4.7,0,0,0,0,0,0,0,0,0,9,2022,9
darnayholmes_nyg_2022_9,nyg_2022_9,darnayholmes_nyg_2022,nyg_2022,darnayholmes,56247,cb,nyg,1,12,12.0,12.0,0,0,0,0,0,0,0,0,0,9,2022,9
deealford_atl_2022_9,atl_2022_9,deealford_atl_2022,atl_2022,deealford,110542,cb,atl,1,11,11.0,11.0,0,0,0,0,0,0,0,0,0,9,2022,9
damarionwilliams_bal_2022_9,bal_2022_9,damarionwilliams_bal_2022,bal_2022,damarionwilliams,100904,cb,bal,1,22,11.0,5.5,0,0,0,0,0,0,0,0,0,9,2022,9
chrisharrisjr_no_2022_9,no_2022_9,chrisharrisjr_no_2022,no_2022,chrisharrisjr,6457,cb,no,1,32,10.7,8.0,0,0,0,0,0,0,0,0,0,9,2022,9
avontemaddox_phi_2022_9,phi_2022_9,avontemaddox_phi_2022,phi_2022,avontemaddox,50543,cb,phi,1,42,10.5,8.4,0,0,0,0,0,0,0,0,0,9,2022,9
cobybryant_sea_2022_9,sea_2022_9,cobybryant_sea_2022,sea_2022,cobybryant,55088,cb,sea,1,30,10.0,7.5,0,0,0,0,0,0,0,0,0,9,2022,9
julianlove_nyg_2022_9,nyg_2022_9,julianlove_nyg_2022,nyg_2022,julianlove,51081,s,nyg,1,9,9.0,4.5,0,0,0,0,0,0,0,0,0,9,2022,9
