"team_id","year","week","team","w-l","off_dvoa_rank","off_dvoa","off_weight_dvoa_rank","off_weight_dvoa","pass_off_rank","pass_off","rush_off_rank","rush_off","def_dvoa_rank","def_dvoa","def_weight_dvoa_rank","def_weight_dvoa","pass_def_rank","pass_def","rush_def_rank","rush_def"
"nyg_2006_1",2006,1,"nyg","0-1",2,43.3,2,43.3,3,80.8,1,62.3,24,14.2,24,14.2,24,42.2,6,"-24.1
"
"atl_2006_1",2006,1,"atl","1-0",4,26.9,4,26.9,6,62.8,12,7.9,3,-34.5,3,-34.5,3,-52.4,23,"2.6
"
"pit_2006_1",2006,1,"pit","1-0",6,20.7,6,20.7,4,79.5,27,-28.4,7,-21.8,7,-21.8,12,-9.3,2,"-43.0
"
"ari_2006_1",2006,1,"ari","1-0",8,19.3,8,19.3,7,57.8,23,-21.3,29,23.9,29,23.9,19,17,31,"36.2
"
"ind_2006_1",2006,1,"ind","1-0",10,13.3,10,13.3,9,53.3,25,-21.7,32,63.8,32,63.8,29,64.6,32,"63.0
"
"ne_2006_1",2006,1,"ne","1-0",12,6,12,6,25,-22.9,6,21.5,20,8.6,20,8.6,17,7.7,26,"9.5
"
"buf_2006_1",2006,1,"buf","0-1",14,3.4,14,3.4,21,-3.2,7,18.3,16,-2.2,16,-2.2,8,-32.1,27,"13.9
"
"was_2006_1",2006,1,"was","0-1",16,-0.9,16,-0.9,14,18.2,21,-16.6,17,-1,17,-1,20,17.6,9,"-15.9
"
"hou_2006_1",2006,1,"hou","0-1",18,-1.3,18,-1.3,18,3.3,15,-2,31,47.2,31,47.2,28,62.5,30,"24.9
"
"lar_2006_1",2006,1,"lar","1-0",20,-6.8,20,-6.8,24,-10.5,9,11.6,2,-43.8,2,-43.8,1,-98.4,28,"14.3
"
"kc_2006_1",2006,1,"kc","0-1",22,-13.4,22,-13.4,23,-6.7,22,-19.6,21,9.7,21,9.7,22,28.7,19,"0.1
"
"mia_2006_1",2006,1,"mia","0-1",24,-14,24,-14,19,-1,29,-35.5,23,13.3,23,13.3,30,64.8,4,"-30.7
"
"det_2006_1",2006,1,"det","0-1",26,-18.5,26,-18.5,20,-2.6,30,-38,9,-18.5,9,-18.5,16,0.5,1,"-46.8
"
"cle_2006_1",2006,1,"cle","0-1",28,-26.7,28,-26.7,29,-44.8,17,-8.4,12,-9.3,12,-9.3,14,-3.1,12,"-14.2
"
"den_2006_1",2006,1,"den","0-1",30,-45.5,30,-45.5,32,-98.8,5,22.4,14,-5.3,14,-5.3,10,-12.6,24,"5.4
"
"tb_2006_1",2006,1,"tb","0-1",32,-64.4,32,-64.4,31,-86,16,-6.7,18,2.6,18,2.6,23,37.9,5,"-30.4
"
"phi_2006_1",2006,1,"phi","1-0",1,55.1,1,55.1,5,77.3,3,33.7,15,-2.9,15,-2.9,15,-1.3,15,"-5.7
"
"nyj_2006_1",2006,1,"nyj","1-0",3,29.3,3,29.3,2,95.4,20,-12.9,10,-16.3,10,-16.3,5,-43.4,29,"20.9
"
"sf_2006_1",2006,1,"sf","0-1",5,25.7,5,25.7,13,23.9,2,50.1,26,16.2,26,16.2,25,42.9,10,"-15.4
"
"jax_2006_1",2006,1,"jax","1-0",7,20.6,7,20.6,12,26.2,8,13.1,13,-7.7,13,-7.7,11,-11,16,"-3.3
"
"lac_2006_1",2006,1,"lac","1-0",9,16.2,9,16.2,1,121.3,14,-1.1,4,-26.4,4,-26.4,6,-38.6,14,"-8.0
"
"chi_2006_1",2006,1,"chi","1-0",11,9.6,11,9.6,8,55.6,26,-23.7,5,-25.4,5,-25.4,7,-38.5,13,"-11.0
"
"cin_2006_1",2006,1,"cin","1-0",13,6,13,6,15,15,11,8.6,11,-9.8,11,-9.8,9,-14.6,18,"-0.8
"
"min_2006_1",2006,1,"min","1-0",15,-0.6,15,-0.6,11,29,19,-9.2,19,5.4,19,5.4,18,10.9,17,"-2.6
"
"bal_2006_1",2006,1,"bal","1-0",17,-1,17,-1,10,52.5,28,-35.2,1,-65.5,1,-65.5,2,-84.5,11,"-14.2
"
"no_2006_1",2006,1,"no","1-0",19,-6.2,19,-6.2,17,5.2,18,-8.7,6,-23.5,6,-23.5,4,-50.4,25,"6.0
"
"ten_2006_1",2006,1,"ten","0-1",21,-12.9,21,-12.9,27,-42.4,4,32.5,30,28.5,30,28.5,31,76.3,8,"-19.8
"
"dal_2006_1",2006,1,"dal","0-1",23,-13.9,23,-13.9,22,-5,13,3.8,25,15.5,25,15.5,21,26.6,22,"0.9
"
"sea_2006_1",2006,1,"sea","1-0",25,-17.9,25,-17.9,16,7.3,32,-43,8,-20,8,-20,13,-8.2,3,"-42.4
"
"gb_2006_1",2006,1,"gb","0-1",27,-24.6,27,-24.6,26,-27.6,24,-21.4,22,13.1,22,13.1,27,56.3,7,"-21.2
"
"car_2006_1",2006,1,"car","0-1",29,-31.6,29,-31.6,30,-48.9,10,10.8,27,18.2,27,18.2,26,50.5,21,"0.9
"
"oak_2006_1",2006,1,"oak","0-1",31,-51.6,31,-51.6,28,-43.2,31,-41.9,28,18.8,28,18.8,32,98,20,"0.7
"
"ind_2006_2",2006,2,"ind","2-0",2,40.4,2,40.4,2,87.4,12,1.9,31,36,31,36,27,43.3,31,"26.6
"
