team_id,year,team,week,opp,total_dvoa,off_dvoa,off_pass_dvoa,off_rush_dvoa,def_dvoa,def_pass_dvoa,def_rush_dvoa,special_teams_dvoa
ari_2014_1,2014,ari,1,lac,0.59,0.53,0.53,0.51,29.8,14.2,51.3,0.35
atl_2014_1,2014,atl,1,no,0.71,0.79,0.71,0.68,-10.8,-11.1,-10.3,0.63
bal_2014_1,2014,bal,1,cin,0.5,0.63,0.47,0.76,-9.8,-37.7,32.5,0.34
buf_2014_1,2014,buf,1,chi,0.62,0.63,0.45,0.82,-11.8,-15.5,-2.8,0.71
car_2014_1,2014,car,1,tb,0.6,0.59,0.59,0.55,15.4,21.1,2.1,0.44
chi_2014_1,2014,chi,1,buf,0.61,0.78,0.62,0.74,-28.5,-28.4,-28.6,0.57
cin_2014_1,2014,cin,1,bal,0.74,0.68,0.61,0.64,14.1,23.3,-13.6,0.67
cle_2014_1,2014,cle,1,pit,0.58,0.69,0.48,0.84,-14.8,-38.4,11.5,0.51
dal_2014_1,2014,dal,1,sf,0.38,0.53,0.4,0.84,-33.8,-63.6,-6.9,0.45
den_2014_1,2014,den,1,ind,0.71,0.79,0.67,0.78,6.9,5.3,16.1,0.43
det_2014_1,2014,det,1,nyg,0.78,0.69,0.77,0.44,48.1,54.7,38.5,0.39
gb_2014_1,2014,gb,1,sea,0.58,0.67,0.52,0.76,-16.8,-10.3,-22.7,0.56
hou_2014_1,2014,hou,1,was,0.5,0.51,0.49,0.56,-4.6,6.5,-23,0.53
ind_2014_1,2014,ind,1,den,0.57,0.63,0.52,0.64,-10.2,-16.9,-2.1,0.55
jax_2014_1,2014,jax,1,phi,0.57,0.53,0.51,0.49,26,33.7,15.1,0.36
kc_2014_1,2014,kc,1,ten,0.24,0.27,0.29,0.36,-38.5,-65.2,-2.8,0.65
lac_2014_1,2014,lac,1,ari,0.46,0.46,0.45,0.45,-13,-31.1,24.5,0.62
lar_2014_1,2014,lar,1,min,0.18,0.23,0.17,0.58,-37.9,-72.1,-6.8,0.55
lv_2014_1,2014,lv,1,nyj,0.39,0.39,0.45,0.35,-9.8,-25.3,5.8,0.52
mia_2014_1,2014,mia,1,ne,0.74,0.66,0.47,0.84,30.2,43.9,0.1,0.55
min_2014_1,2014,min,1,lar,0.78,0.68,0.54,0.82,28.3,38.8,12.6,0.64
ne_2014_1,2014,ne,1,mia,0.49,0.52,0.39,0.71,-0.8,9.6,-10,0.44
no_2014_1,2014,no,1,atl,0.48,0.63,0.49,0.77,-42.2,-60,-8.4,0.64
nyg_2014_1,2014,nyg,1,det,0.33,0.4,0.33,0.58,-31.7,-84.4,27.8,0.57
nyj_2014_1,2014,nyj,1,lv,0.58,0.5,0.43,0.65,7.9,-17,55.4,0.64
phi_2014_1,2014,phi,1,jax,0.46,0.44,0.33,0.63,-10.9,-46.9,38.5,0.65
pit_2014_1,2014,pit,1,cle,0.62,0.76,0.73,0.63,-29,-25.9,-31.8,0.65
sea_2014_1,2014,sea,1,gb,0.88,0.85,0.59,0.99,31.7,42.4,15.1,0.55
sf_2014_1,2014,sf,1,dal,0.84,0.8,0.71,0.72,28.7,49.4,-6.6,0.57
tb_2014_1,2014,tb,1,car,0.42,0.41,0.34,0.62,-11.2,-54.5,31.1,0.58
ten_2014_1,2014,ten,1,kc,0.79,0.69,0.7,0.62,40.7,35.5,61,0.51
was_2014_1,2014,was,1,hou,0.47,0.56,0.42,0.74,-3.6,-39.5,23.7,0.33
ari_2014_2,2014,ari,2,nyg,0.66,0.48,0.37,0.63,13.5,1.9,31.6,0.87
atl_2014_2,2014,atl,2,cin,0.45,0.53,0.42,0.72,-26.2,-90.5,4.4,0.58
bal_2014_2,2014,bal,2,pit,0.79,0.59,0.6,0.62,47.2,78.1,-8.6,0.65
buf_2014_2,2014,buf,2,mia,0.72,0.61,0.68,0.45,13.8,7.6,26.8,0.77
car_2014_2,2014,car,2,det,0.71,0.74,0.67,0.57,3.4,-6.7,30.7,0.58
chi_2014_2,2014,chi,2,sf,0.68,0.68,0.65,0.47,21.5,12.5,35.4,0.42
cin_2014_2,2014,cin,2,atl,0.69,0.72,0.72,0.69,23.1,37.4,-10.6,0.36
cle_2014_2,2014,cle,2,no,0.56,0.63,0.52,0.67,-19.6,-3.8,-40.1,0.62
dal_2014_2,2014,dal,2,ten,0.72,0.64,0.46,0.77,8.2,25.6,-46.1,0.78
den_2014_2,2014,den,2,kc,0.83,0.89,0.9,0.54,5.9,-13.8,34.9,0.59
det_2014_2,2014,det,2,car,0.51,0.57,0.52,0.49,-4,-36.6,47.7,0.42
gb_2014_2,2014,gb,2,nyj,0.75,0.73,0.6,0.59,2.2,-4.4,9.1,0.73
hou_2014_2,2014,hou,2,lv,0.54,0.65,0.7,0.68,-15.4,-6.6,-35,0.48
ind_2014_2,2014,ind,2,phi,0.47,0.52,0.47,0.55,-20.4,-40.6,7.9,0.59
jax_2014_2,2014,jax,2,was,0,0.01,0.08,0.34,-41.2,-70.2,-16.5,0.5
kc_2014_2,2014,kc,2,den,0.45,0.66,0.55,0.67,-34.3,-79.8,29.8,0.4
lac_2014_2,2014,lac,2,sea,0.65,0.77,0.71,0.57,-16.2,-23.3,-2.4,0.56
lar_2014_2,2014,lar,2,tb,0.5,0.59,0.51,0.62,-21.8,-52.7,-3.7,0.55
lv_2014_2,2014,lv,2,hou,0.47,0.58,0.44,0.78,-25.1,-73.9,-2.8,0.53
mia_2014_2,2014,mia,2,buf,0.41,0.63,0.55,0.65,-14.2,-68.4,33.5,0.12
min_2014_2,2014,min,2,ne,0.32,0.3,0.3,0.49,-1.4,-27.4,14.6,0.4
ne_2014_2,2014,ne,2,min,0.78,0.56,0.66,0.53,40.6,36.8,48.3,0.75
no_2014_2,2014,no,2,cle,0.62,0.75,0.58,0.89,-22.2,-33.4,-9.8,0.57
nyg_2014_2,2014,nyg,2,ari,0.49,0.57,0.5,0.57,5.2,16.2,-7.5,0.26
nyj_2014_2,2014,nyj,2,gb,0.54,0.58,0.48,0.65,-4.4,-16.4,33.5,0.47
phi_2014_2,2014,phi,2,ind,0.69,0.73,0.61,0.73,17.9,11,24.9,0.37
pit_2014_2,2014,pit,2,bal,0.46,0.47,0.3,0.85,-6.9,-38.2,17.2,0.51
sea_2014_2,2014,sea,2,lac,0.59,0.71,0.58,0.87,-16.9,-40.6,18.7,0.5
sf_2014_2,2014,sf,2,chi,0.36,0.36,0.36,0.51,-15.8,-40.2,45.8,0.56
tb_2014_2,2014,tb,2,lar,0.55,0.65,0.57,0.69,-10.9,-46.8,24.5,0.44
ten_2014_2,2014,ten,2,dal,0.47,0.45,0.34,0.91,0.4,14.1,-9.5,0.51
was_2014_2,2014,was,2,jax,0.86,0.73,0.66,0.74,45.9,40.5,65.4,0.57
ari_2014_3,2014,ari,3,sf,0.59,0.64,0.65,0.51,-12,-21.5,12.7,0.61
atl_2014_3,2014,atl,3,tb,0.87,0.76,0.79,0.61,30.5,22.3,49.4,0.72
bal_2014_3,2014,bal,3,cle,0.5,0.64,0.68,0.61,-39.4,-108.2,12.1,0.66
buf_2014_3,2014,buf,3,lac,0.54,0.54,0.41,0.68,-9.3,-70,40.6,0.64
car_2014_3,2014,car,3,pit,0.39,0.56,0.44,0.66,-37.8,-32.3,-42.6,0.47
chi_2014_3,2014,chi,3,nyj,0.66,0.53,0.46,0.58,27.7,23,36,0.62
cin_2014_3,2014,cin,3,ten,0.65,0.63,0.45,0.76,0.8,10.6,-11.3,0.66
cle_2014_3,2014,cle,3,bal,0.65,0.81,0.87,0.66,-6.9,-27.7,7.7,0.37
dal_2014_3,2014,dal,3,lar,0.6,0.69,0.68,0.59,-14.2,-31.3,9.4,0.54
den_2014_3,2014,den,3,sea,0.67,0.61,0.59,0.39,15.8,-4.8,45.9,0.6
det_2014_3,2014,det,3,gb,0.69,0.57,0.46,0.64,42.5,28.5,59.4,0.46
gb_2014_3,2014,gb,3,det,0.56,0.54,0.52,0.52,0.9,0,1.9,0.58
hou_2014_3,2014,hou,3,nyg,0.43,0.54,0.52,0.42,-24.7,-31.7,-20.4,0.48
