"player","player_id","position","team_name","player_game_count","coverage_snaps","coverage_snaps_per_reception","coverage_snaps_per_target","franchise_id","interceptions","qb_rating_against","receptions","targets","touchdowns","yards","yards_after_catch","yards_per_coverage_snap","week","year"
"Juan Thornhill",50426,"S","KC",1,7,,7,16,0,39.6,0,1,0,0,0,0,1,2021
"Charvarius Ward",43034,"CB","KC",1,1,,1,16,0,39.6,0,1,0,0,0,0,1,2021
"Levi Wallace",25445,"CB","BUF",1,1,,1,4,0,39.6,0,1,0,0,0,0,1,2021
"Andrew Wingard",49268,"S","JAX",1,3,,3,15,0,39.6,0,1,0,0,0,0,1,2021
"Carlton Davis",49335,"CB","TB",1,5,,2.5,30,0,39.6,0,2,0,0,0,0,1,2021
"Matt Milano",11918,"LB","BUF",1,2,,2,4,0,39.6,0,1,0,0,0,0,1,2021
"Jaire Alexander",49350,"CB","GB",1,2,,2,12,0,39.6,0,1,0,0,0,0,1,2021
"Paulson Adebo",52280,"CB","NO",1,6,,6,20,1,0,0,1,0,0,0,0,1,2021
"Adrian Phillips",9177,"S","NE",1,5,,5,19,0,39.6,0,1,0,0,0,0,1,2021
"Tracy Walker",51266,"S","DET",1,7,,7,11,0,39.6,0,1,0,0,0,0,1,2021
"Kareem Jackson",5545,"S","DEN",1,7,,7,10,0,39.6,0,1,0,0,0,0,1,2021
"Damien Wilson",9560,"LB","JAX",1,1,,1,15,0,39.6,0,1,0,0,0,0,1,2021
"Marshon Lattimore",11766,"CB","NO",1,2,,2,20,0,39.6,0,1,0,0,0,0,1,2021
"Jason McCourty",5127,"S","MIA",1,2,,2,17,0,39.6,0,1,0,0,0,0,1,2021
"Myles Jack",10670,"LB","JAX",1,3,,3,15,0,39.6,0,1,0,0,0,0,1,2021
"Chauncey Gardner-Johnson",49371,"CB","NO",1,22,22,11,20,0,56.3,1,2,0,4,1,0.18,1,2021
"Nate Hobbs",55948,"CB","LV",1,19,19,9.5,23,0,56.3,1,2,0,0,3,0,1,2021
"Minkah Fitzpatrick",51206,"S","PIT",1,19,19,4.8,25,0,40.6,1,4,0,13,0,0.68,1,2021
"Bryce Callahan",10000,"CB","DEN",1,35,17.5,11.7,10,0,81.3,2,3,0,17,1,0.49,1,2021
"Chris Harris Jr.",6457,"CB","LAC",1,17,17,17,27,0,91.7,1,1,0,6,2,0.35,1,2021
"Ugo Amadi",49352,"CB","SEA",1,17,17,17,29,0,100,1,1,0,8,11,0.47,1,2021
"L'Jarius Sneed",40588,"CB","KC",1,16,16,16,16,0,100,1,1,0,8,0,0.5,1,2021
"Byron Murphy Jr.",44027,"CB","ARZ",1,29,14.5,4.8,1,0,42.4,2,6,0,16,4,0.55,1,2021
"Cameron Sutton",11850,"CB","PIT",1,13,13,13,25,0,118.8,1,1,1,3,0,0.23,1,2021
"Darious Williams",55724,"CB","LA",1,13,13,4.3,26,0,42.4,1,3,0,9,4,0.69,1,2021
"Anthony Averett",50365,"CB","BLT",1,12,12,12,3,1,79.2,1,1,0,16,3,1.33,1,2021
"Trevon Diggs",41817,"CB","DAL",1,12,12,12,9,0,108.3,1,1,0,10,3,0.83,1,2021
"Taylor Rapp",51172,"S","LA",1,12,12,12,26,0,91.7,1,1,0,6,2,0.5,1,2021
"Isaiah Oliver",50393,"CB","ATL",1,24,12,12,2,0,110.4,2,2,0,21,28,0.88,1,2021
"Azeez Al-Shaair",49792,"LB","SF",1,12,12,3,28,0,39.6,1,4,0,5,0,0.42,1,2021
"Jalen Ramsey",10639,"CB","LA",1,23,11.5,7.7,26,0,70.1,2,3,0,6,5,0.26,1,2021
"Taron Johnson",49511,"CB","BUF",1,34,11.3,5.7,4,0,74.3,3,6,0,44,19,1.29,1,2021
"Terrell Edmunds",51334,"S","PIT",1,11,11,11,25,0,116.7,1,1,0,12,0,1.09,1,2021
"Joe Schobert",10733,"LB","PIT",1,11,11,11,25,0,116.7,1,1,0,12,8,1.09,1,2021
"Elijah Molden",56290,"CB","TEN",1,21,10.5,7,31,0,149.3,2,3,1,44,1,2.1,1,2021
"Mackensie Alexander",10688,"CB","MIN",1,20,10,10,18,0,95.8,2,2,0,14,-4,0.7,1,2021
"Nik Needham",50356,"CB","MIA",1,20,10,6.7,17,0,70.1,2,3,0,9,2,0.45,1,2021
"Jourdan Lewis",11846,"CB","DAL",1,39,9.8,4.3,9,1,29.2,4,9,0,64,36,1.64,1,2021
"Johnathan Abram",34646,"S","LV",1,18,9,6,23,0,77.1,2,3,0,14,11,0.78,1,2021
"Jordan Fuller",45326,"S","LA",1,9,9,9,26,0,104.2,1,1,0,9,8,1,1,2021
"Avonte Maddox",50543,"CB","PHI",1,27,9,5.4,24,0,69.6,3,5,0,21,14,0.78,1,2021
"Kendall Fuller",10718,"CB","WAS",1,18,9,6,32,0,96.5,2,3,0,28,7,1.56,1,2021
"Darnay Holmes",56247,"CB","NYG",1,17,8.5,5.7,21,0,103.5,2,3,0,33,9,1.94,1,2021
"Micah Hyde",7941,"S","BUF",1,8,8,4,4,0,68.8,1,2,0,12,0,1.5,1,2021
"Erik Harris",10346,"S","ATL",1,8,8,8,2,0,95.8,1,1,0,7,10,0.88,1,2021
"Kenny Young",51029,"LB","LA",1,8,8,4,26,0,56.3,1,2,0,3,6,0.38,1,2021
"Jonathan Jones",11217,"CB","NE",1,16,8,5.3,19,1,70.1,2,3,0,54,26,3.38,1,2021
"Tyus Bowser",11802,"ED","BLT",1,8,8,8,3,0,79.2,1,1,0,3,2,0.38,1,2021
"William Jackson III",10658,"CB","WAS",1,8,8,8,32,0,104.2,1,1,0,9,4,1.13,1,2021
"Denzel Perryman",9481,"LB","LV",1,7,7,3.5,23,0,62.5,1,2,0,9,4,1.29,1,2021
"Lavonte David",7060,"LB","TB",1,7,7,7,30,0,79.2,1,1,0,2,1,0.29,1,2021
"Tashaun Gipson Sr.",7288,"S","CHI",1,7,7,3.5,6,0,56.3,1,2,0,1,5,0.14,1,2021
"Tre Norwood",55675,"S","PIT",1,28,7,5.6,25,0,102.5,4,5,0,43,22,1.54,1,2021
"Troy Hill",9881,"CB","CLV",1,27,6.8,5.4,8,0,106.7,4,5,0,48,17,1.78,1,2021
"Marlon Humphrey",11771,"CB","BLT",1,20,6.7,4,3,0,138.3,3,5,1,56,4,2.8,1,2021
"Michael Carter II",60644,"CB","NYJ",1,19,6.3,3.8,22,0,66.3,3,5,0,17,13,0.89,1,2021
"Josey Jewell",50720,"LB","DEN",1,6,6,6,10,0,100,1,1,0,8,4,1.33,1,2021
"Malcolm Jenkins",4937,"S","NO",1,6,6,6,20,0,79.2,1,1,0,2,8,0.33,1,2021
"Eric Rowe",9480,"S","MIA",1,6,6,6,17,0,79.2,1,1,0,3,4,0.5,1,2021
"Anthony Walker",11916,"LB","CLV",1,6,6,6,8,0,91.7,1,1,0,6,3,1,1,2021
"Marquise Blair",56263,"CB","SEA",1,12,6,4,29,0,97.9,2,3,0,29,13,2.42,1,2021
"Demario Davis",7079,"LB","NO",1,6,6,6,20,0,95.8,1,1,0,7,0,1.17,1,2021
"Zack Baun",34632,"LB","NO",1,6,6,6,20,0,118.8,1,1,0,19,4,3.17,1,2021
"Desmond King II",11906,"CB","HST",1,41,5.9,5.9,13,0,90.5,7,7,0,40,34,0.98,1,2021
"Mike Hilton",10898,"CB","CIN",1,34,5.7,5.7,7,0,151.4,6,6,1,65,32,1.91,1,2021
"Xavien Howard",10672,"CB","MIA",1,11,5.5,5.5,17,0,89.6,2,2,0,11,3,1,1,2021
"Derwin James",51368,"S","LAC",1,11,5.5,3.7,27,0,70.1,2,3,0,9,9,0.82,1,2021
"Devin Bush",27375,"LB","PIT",1,10,5,3.3,25,0,70.1,2,3,0,9,6,0.9,1,2021
"Darius Phillips",49507,"CB","CIN",1,5,5,5,7,0,95.8,1,1,0,7,1,1.4,1,2021
"Julian Love",51081,"S","NYG",1,5,5,5,21,0,118.8,1,1,0,17,3,3.4,1,2021
"Xavier Woods",11946,"S","MIN",1,5,5,5,18,0,118.8,1,1,0,17,0,3.4,1,2021
"Darius Leonard",49684,"LB","IND",1,5,5,5,14,0,143.8,1,1,1,9,4,1.8,1,2021
"Jalen Thompson",49116,"S","ARZ",1,5,5,5,1,0,158.3,1,1,1,13,0,2.6,1,2021
"Chandon Sullivan",49349,"CB","GB",1,14,4.7,4.7,12,0,143.8,3,3,1,27,6,1.93,1,2021
"Isaiah Simmons",42451,"LB","ARZ",1,14,4.7,4.7,1,0,97.2,3,3,0,22,8,1.57,1,2021
"Jabrill Peppers",11780,"S","NYG",1,9,4.5,4.5,21,0,97.9,2,2,0,15,7,1.67,1,2021
"Keanu Neal",10651,"LB","DAL",1,9,4.5,4.5,9,0,104.2,2,2,0,18,14,2,1,2021
"Marcus Maye",11794,"S","NYJ",1,9,4.5,3,22,0,74.3,2,3,0,12,16,1.33,1,2021
"Zach Cunningham",11812,"LB","HST",1,18,4.5,2.6,13,0,76.5,4,7,0,45,20,2.5,1,2021
"Kamren Curl",55800,"S","WAS",1,9,4.5,3,32,0,88.2,2,3,0,22,6,2.44,1,2021
"Ross Cockrell",8744,"CB","TB",1,31,4.4,3.9,30,0,144.8,7,8,1,74,15,2.39,1,2021
"Kenny Moore II",51596,"CB","IND",1,17,4.3,4.3,14,0,151,4,4,1,43,26,2.53,1,2021
"Marqui Christian",10801,"CB","CHI",1,21,4.2,3.5,6,0,158.3,5,6,2,85,24,4.05,1,2021
"Jordyn Brooks",50851,"LB","SEA",1,12,4,3,29,0,78.1,3,4,0,13,15,1.08,1,2021
"Kyzir White",44485,"LB","LAC",1,8,4,4,27,0,106.3,2,2,0,19,8,2.38,1,2021
"Alec Ogletree",7811,"LB","CHI",1,4,4,4,6,0,118.8,1,1,0,18,0,4.5,1,2021
"Jon Bostic",7831,"LB","WAS",1,4,4,4,32,0,112.5,1,1,0,11,1,2.75,1,2021
"Chuck Clark",11941,"S","BLT",1,8,4,4,3,0,143.8,2,2,1,18,6,2.25,1,2021
"John Johnson III",11847,"S","CLV",1,4,4,4,8,0,118.8,1,1,0,22,-2,5.5,1,2021
"Chris Westry",49401,"CB","BLT",1,4,4,2,3,0,95.8,1,2,0,32,9,8,1,2021
"Shaquil Barrett",9000,"ED","TB",1,4,4,4,30,0,100,1,1,0,8,11,2,1,2021
"Bobby Okereke",50954,"LB","IND",1,4,4,4,14,0,116.7,1,1,0,12,4,3,1,2021
"Jaquiski Tartt",9479,"S","SF",1,11,3.7,3.7,28,0,158.3,3,3,1,38,23,3.45,1,2021
"Tyson Campbell",83217,"CB","JAX",1,18,3.6,3.6,15,0,158.3,5,5,1,80,16,4.44,1,2021
"Sean Murphy-Bunting",25891,"CB","TB",1,7,3.5,1.8,30,0,63.5,2,4,0,19,16,2.71,1,2021
"James Bradberry",10696,"CB","NYG",1,7,3.5,3.5,21,0,106.3,2,2,0,19,2,2.71,1,2021
"Tavon Young",10738,"CB","BLT",1,12,3,2.4,3,0,105.8,4,5,0,47,33,3.92,1,2021
"Denzel Ward",49558,"CB","CLV",1,3,3,3,8,0,112.5,1,1,0,11,0,3.67,1,2021
"Kwon Alexander",9557,"LB","NO",1,3,3,3,20,0,83.3,1,1,0,4,0,1.33,1,2021
"Genard Avery",49699,"LB","PHI",1,3,3,3,24,0,87.5,1,1,0,5,1,1.67,1,2021
"Harold Landry III",48600,"ED","TEN",1,3,3,3,31,0,79.2,1,1,0,1,5,0.33,1,2021
"Kamu Grugier-Hill",10842,"LB","HST",1,3,3,1.5,13,0,56.3,1,2,0,6,10,2,1,2021
"Zaire Franklin",49834,"LB","IND",1,3,3,3,14,0,83.3,1,1,0,4,3,1.33,1,2021
"Jacob Tuioti-Mariner",50141,"ED","ATL",1,3,3,3,2,0,79.2,1,1,0,3,0,1,1,2021
"Jason Pierre-Paul",5540,"ED","TB",1,3,3,3,30,0,79.2,1,1,0,3,6,1,1,2021
"Torry McTyer",49357,"CB","WAS",1,6,3,2,32,0,107.6,2,3,0,36,8,6,1,2021
"DeShon Elliott",28854,"S","BLT",1,9,3,2.3,3,0,96.9,3,4,0,31,9,3.44,1,2021
"Alohi Gilman",41662,"S","LAC",1,3,3,3,27,0,95.8,1,1,0,7,1,2.33,1,2021
"Kevin Byard",10698,"S","TEN",1,8,2.7,2.7,31,0,158.3,3,3,2,50,15,6.25,1,2021
"Anthony Harris",9895,"S","PHI",1,5,2.5,2.5,24,0,104.2,2,2,0,18,10,3.6,1,2021
"Reggie Ragland",10675,"LB","NYG",1,2,2,2,21,0,91.7,1,1,0,6,0,3,1,2021
"Brandon Jones",43049,"S","MIA",1,2,2,2,17,0,118.8,1,1,0,16,4,8,1,2021
"Rashaan Evans",50213,"LB","TEN",1,2,2,2,31,0,100,1,1,0,8,4,4,1,2021
"Justin Coleman",9892,"CB","MIA",1,2,2,2,17,0,118.8,1,1,0,22,12,11,1,2021
"Jayron Kearse",10878,"S","DAL",1,4,2,2,9,0,118.8,2,2,0,27,22,6.75,1,2021
"Jordan Hicks",9517,"LB","ARZ",1,4,2,2,1,0,102.1,2,2,0,17,11,4.25,1,2021
"Joejuan Williams",29113,"CB","NE",1,2,2,2,19,0,118.8,1,1,1,3,3,1.5,1,2021
"Anthony Hitchens",8754,"LB","KC",1,2,2,2,16,0,104.2,1,1,0,9,4,4.5,1,2021
"Eddie Jackson",11867,"S","CHI",1,6,2,2,6,0,104.2,3,3,0,27,25,4.5,1,2021
"Christian Kirksey",8706,"LB","HST",1,2,2,2,13,0,122.9,1,1,1,4,0,2,1,2021
"Adrian Colbert",11983,"S","NYJ",1,2,2,2,22,0,112.5,1,1,0,11,4,5.5,1,2021
"Bobby Wagner",7050,"LB","SEA",1,2,2,2,29,0,104.2,1,1,0,9,7,4.5,1,2021
"Brandon Stephens",45644,"S","BLT",1,2,2,1,3,0,95.8,1,2,0,37,7,18.5,1,2021
"Chris Claybrooks",76692,"CB","JAX",1,2,2,2,15,0,83.3,1,1,0,4,7,2,1,2021
"Nick Bolton",81322,"LB","KC",1,2,2,2,16,0,108.3,1,1,0,10,13,5,1,2021
"Deion Jones",10686,"LB","ATL",1,5,1.7,1.7,2,0,150.7,3,3,1,32,7,6.4,1,2021
"Dre Greenlaw",51503,"LB","SF",1,3,1.5,1.5,28,0,91.7,2,2,0,12,10,4,1,2021
"Adoree' Jackson",11773,"CB","NYG",1,1,1,1,21,0,104.2,1,1,0,9,3,9,1,2021
"Eric Kendricks",9478,"LB","MIN",1,1,1,1,18,0,116.7,1,1,0,12,9,12,1,2021
"Marcus Williams",11797,"S","NO",1,1,1,1,20,0,108.3,1,1,0,10,3,10,1,2021
"Bashaud Breeland",8737,"CB","MIN",1,1,1,1,18,0,118.8,1,1,1,2,0,2,1,2021
"Fabian Moreau",11836,"CB","ATL",1,1,1,1,2,0,158.3,1,1,1,18,0,18,1,2021
"Rasheem Green",48731,"ED","SEA",1,1,1,1,29,0,118.8,1,1,0,14,9,14,1,2021
"Jeffrey Okudah",55674,"CB","DET",1,1,1,1,11,0,95.8,1,1,0,7,2,7,1,2021
"Jordan Evans",11947,"LB","CIN",1,1,1,1,7,0,118.8,1,1,0,34,19,34,1,2021
"Jaycee Horn",83375,"CB","CAR",1,18,,18,5,1,0,0,1,0,0,0,0,2,2021
"Bobby Wagner",7050,"LB","SEA",1,2,,2,29,0,39.6,0,1,0,0,0,0,2,2021
"Harrison Smith",7641,"S","MIN",1,6,,6,18,0,39.6,0,1,0,0,0,0,2,2021
"Alec Ogletree",7811,"LB","CHI",1,2,,2,6,0,39.6,0,1,0,0,0,0,2,2021
"Troy Hill",9881,"CB","CLV",1,19,,19,8,0,39.6,0,1,0,0,0,0,2,2021
"Jaylon Smith",10668,"LB","DAL",1,2,,2,9,0,39.6,0,1,0,0,0,0,2,2021
"Anthony Brown",10823,"CB","DAL",1,5,,5,9,0,39.6,0,1,0,0,0,0,2,2021
"Adoree' Jackson",11773,"CB","NYG",1,5,,5,21,0,39.6,0,1,0,0,0,0,2,2021
"Matt Milano",11918,"LB","BUF",1,4,,4,4,0,39.6,0,1,0,0,0,0,2,2021
"D.J. Reed Jr.",26940,"CB","SEA",1,2,,2,29,0,39.6,0,1,0,0,0,0,2,2021
"Nasir Adderley",33880,"S","LAC",1,6,,6,27,0,39.6,0,1,0,0,0,0,2,2021
"Zack Baun",34632,"LB","NO",1,2,,1,20,0,39.6,0,2,0,0,0,0,2,2021
"Damar Hamlin",43291,"S","BUF",1,4,,2,4,0,39.6,0,2,0,0,0,0,2,2021
"Anthony Nelson",48405,"ED","TB",1,1,,1,30,0,39.6,0,1,0,0,0,0,2,2021
"Ugo Amadi",49352,"CB","SEA",1,13,,13,29,0,39.6,0,1,0,0,0,0,2,2021
"Tracy Walker",51266,"S","DET",1,4,,4,11,0,39.6,0,1,0,0,0,0,2,2021
"Mike Edwards",51282,"S","TB",1,13,,6.5,30,2,0,0,2,0,0,0,0,2,2021
"Darious Williams",55724,"CB","LA",1,4,,4,26,0,39.6,0,1,0,0,0,0,2,2021
"Jaylon Johnson",56259,"CB","CHI",1,1,,1,6,0,39.6,0,1,0,0,0,0,2,2021
"Javelin Guidry",56262,"CB","NYJ",1,1,,1,22,0,39.6,0,1,0,0,0,0,2,2021
"Marquise Blair",56263,"CB","SEA",1,7,,7,29,0,39.6,0,1,0,0,0,0,2,2021
"Zaven Collins",77190,"LB","ARZ",1,1,,1,1,0,39.6,0,1,0,0,0,0,2,2021
"Bryce Callahan",10000,"CB","DEN",1,30,30,6,10,0,39.6,1,5,0,5,2,0.17,2,2021
"Mike Hilton",10898,"CB","CIN",1,25,25,25,7,0,79.2,1,1,0,2,4,0.08,2,2021
"Jalen Ramsey",10639,"CB","LA",1,25,25,8.3,26,0,42.4,1,3,0,7,4,0.28,2,2021
"Tavon Young",10738,"CB","BLT",1,21,21,21,3,1,79.2,1,1,0,23,6,1.1,2,2021
"Isaiah Oliver",50393,"CB","ATL",1,20,20,5,2,0,79.2,1,4,1,12,0,0.6,2,2021
"Tre Norwood",55675,"S","PIT",1,17,17,4.3,25,0,41.7,1,4,0,14,8,0.82,2,2021
"Avonte Maddox",50543,"CB","PHI",1,16,16,8,24,0,106.3,1,2,1,11,5,0.69,2,2021
"Kevin King",11788,"CB","GB",1,16,16,16,12,0,100,1,1,0,8,3,0.5,2,2021
"Micah Hyde",7941,"S","BUF",1,15,15,15,4,0,112.5,1,1,0,11,4,0.73,2,2021
"Jourdan Lewis",11846,"CB","DAL",1,27,13.5,13.5,9,0,89.6,2,2,0,11,7,0.41,2,2021
"Marcus Maye",11794,"S","NYJ",1,12,12,6,22,0,56.3,1,2,0,-1,0,-0.08,2,2021
"Jabrill Peppers",11780,"S","NYG",1,23,11.5,11.5,21,0,116.7,2,2,0,24,3,1.04,2,2021
"K'Waun Williams",9332,"CB","SF",1,23,11.5,11.5,28,0,118.8,2,2,0,37,11,1.61,2,2021
"Tyrann Mathieu",7850,"S","KC",1,10,10,5,16,2,16.7,1,2,0,-4,1,-0.4,2,2021
"Keanu Neal",10651,"LB","DAL",1,10,10,10,9,0,87.5,1,1,0,5,5,0.5,2,2021
"Bradley Roby",8666,"CB","NO",1,9,9,9,20,0,112.5,1,1,0,11,7,1.22,2,2021
"Anthony Harris",9895,"S","PHI",1,9,9,9,24,0,95.8,1,1,0,7,1,0.78,2,2021
"Taron Johnson",49511,"CB","BUF",1,36,9,5.1,4,0,67.6,4,7,0,30,27,0.83,2,2021
"Xavien Howard",10672,"CB","MIA",1,9,9,9,17,0,95.8,1,1,0,7,3,0.78,2,2021
"Chris Claybrooks",76692,"CB","JAX",1,9,9,9,15,0,112.5,1,1,0,11,8,1.22,2,2021
"Taylor Rapp",51172,"S","LA",1,9,9,9,26,0,104.2,1,1,0,9,12,1,2,2021
"Trevon Diggs",41817,"CB","DAL",1,9,9,9,9,0,118.8,1,1,0,14,8,1.56,2,2021
"Xavier McKinney",55775,"S","NYG",1,9,9,9,21,0,116.7,1,1,0,12,15,1.33,2,2021
"Jamal Adams",11761,"S","SEA",1,8,8,4,29,0,56.3,1,2,0,5,0,0.63,2,2021
"Kenny Young",51029,"LB","LA",1,8,8,8,26,0,104.2,1,1,0,9,2,1.13,2,2021
"Anthony Averett",50365,"CB","BLT",1,8,8,4,3,0,56.3,1,2,0,5,0,0.63,2,2021
"Darnay Holmes",56247,"CB","NYG",1,30,7.5,6,21,0,84.2,4,5,0,21,23,0.7,2,2021
"Jaire Alexander",49350,"CB","GB",1,15,7.5,3.8,12,0,74,2,4,0,29,21,1.93,2,2021
"Jonathan Jones",11217,"CB","NE",1,29,7.3,4.8,19,0,81.3,4,6,0,34,12,1.17,2,2021
"Tyson Campbell",83217,"CB","JAX",1,14,7,4.7,15,0,78.5,2,3,0,15,7,1.07,2,2021
"Desmond King II",11906,"CB","HST",1,7,7,7,13,0,158.3,1,1,1,33,37,4.71,2,2021
"Chris Jackson",42512,"CB","TEN",1,20,6.7,6.7,31,0,86.1,3,3,0,14,14,0.7,2,2021
"AJ Parker",55983,"CB","DET",1,19,6.3,6.3,11,0,120.1,3,3,1,10,16,0.53,2,2021
"Denzel Perryman",9481,"LB","LV",1,6,6,6,23,0,104.2,1,1,0,9,3,1.5,2,2021
"Kendall Fuller",10718,"CB","WAS",1,30,6,4.3,32,0,82.4,5,7,0,35,4,1.17,2,2021
"Ross Cockrell",8744,"CB","TB",1,12,6,6,30,0,122.9,2,2,1,8,3,0.67,2,2021
"Cameron Sutton",11850,"CB","PIT",1,6,6,6,25,0,83.3,1,1,0,4,2,0.67,2,2021
"Adrian Colbert",11983,"S","NYJ",1,6,6,3,22,0,64.6,1,2,0,10,5,1.67,2,2021
"Jordan Whitehead",49196,"S","TB",1,6,6,3,30,0,56.3,1,2,0,4,0,0.67,2,2021
"Juston Burris",10752,"S","CAR",1,11,5.5,5.5,5,0,118.8,2,2,0,30,12,2.73,2,2021
"Nate Hobbs",55948,"CB","LV",1,33,5.5,5.5,23,0,95.8,6,6,0,42,45,1.27,2,2021
"Mackensie Alexander",10688,"CB","MIN",1,31,5.2,5.2,18,0,118.8,6,6,0,87,39,2.81,2,2021
"Duke Shelley",49569,"CB","CHI",1,31,5.2,4.4,6,0,109.5,6,7,0,72,28,2.32,2,2021
"Logan Ryan",7864,"S","NYG",1,5,5,5,21,0,118.8,1,1,0,24,2,4.8,2,2021
"Kamu Grugier-Hill",10842,"LB","HST",1,10,5,3.3,13,0,88.2,2,3,0,22,13,2.2,2,2021
"Kemon Hall",56123,"CB","LAC",1,5,5,5,27,0,108.3,1,1,0,10,0,2,2,2021
"Derwin James",51368,"S","LAC",1,20,5,5,27,0,79.2,4,4,0,7,18,0.35,2,2021
"Jordan Poyer",8000,"S","BUF",1,10,5,3.3,4,0,79.9,2,3,0,16,7,1.6,2,2021
"Adrian Phillips",9177,"S","NE",1,5,5,5,19,0,91.7,1,1,0,6,3,1.2,2,2021
"P.J. Williams",9511,"S","NO",1,19,4.8,4.8,20,0,95.8,4,4,0,28,25,1.47,2,2021
"Justin Coleman",9892,"CB","MIA",1,24,4.8,4,17,0,81.3,5,6,0,21,25,0.88,2,2021
"Michael Carter II",60644,"CB","NYJ",1,28,4.7,4.7,22,0,80.6,6,6,0,20,22,0.71,2,2021
"Jayron Kearse",10878,"S","DAL",1,9,4.5,4.5,9,0,83.3,2,2,0,8,9,0.89,2,2021
"Roquan Smith",50892,"LB","CHI",1,9,4.5,4.5,6,0,91.7,2,2,0,12,12,1.33,2,2021
"Robert Alford",7841,"CB","ARZ",1,4,4,4,1,0,91.7,1,1,0,6,3,1.5,2,2021
"Nick Bolton",81322,"LB","KC",1,4,4,4,16,0,104.2,1,1,0,9,8,2.25,2,2021
"Antonio Hamilton",11353,"CB","ARZ",1,16,4,4,1,0,88.5,4,4,0,21,21,1.31,2,2021
"Landon Collins",9466,"S","WAS",1,4,4,4,32,0,79.2,1,1,0,3,2,0.75,2,2021
"Minkah Fitzpatrick",51206,"S","PIT",1,8,4,4,25,0,116.7,2,2,0,24,24,3,2,2021
"Amik Robertson",55619,"CB","LV",1,4,4,4,23,0,116.7,1,1,0,12,12,3,2,2021
"Damontae Kazee",11904,"S","DAL",1,4,4,4,9,0,118.8,1,1,0,16,8,4,2,2021
"Cole Holcomb",49753,"LB","WAS",1,8,4,4,32,0,91.7,2,2,0,12,12,1.5,2,2021
"Alex Singleton",9994,"LB","PHI",1,4,4,2,24,0,56.3,1,2,0,1,1,0.25,2,2021
"J.C. Jackson",42781,"CB","NE",1,4,4,2,19,1,56.3,1,2,0,27,2,6.75,2,2021
"Zach Cunningham",11812,"LB","HST",1,7,3.5,3.5,13,0,93.8,2,2,0,13,4,1.86,2,2021
"Kenny Moore II",51596,"CB","IND",1,26,3.3,2.9,14,0,115.7,8,9,0,106,60,4.08,2,2021
"Deommodore Lenoir",55686,"CB","SF",1,3,3,3,28,0,79.2,1,1,0,1,5,0.33,2,2021
"Charvarius Ward",43034,"CB","KC",1,3,3,1.5,16,0,135.4,1,2,1,42,22,14,2,2021
"Kyzir White",44485,"LB","LAC",1,3,3,3,27,0,118.8,1,1,0,13,17,4.33,2,2021
"Alexander Johnson",15267,"LB","DEN",1,3,3,3,10,0,118.8,1,1,0,24,3,8,2,2021
"Marlon Humphrey",11771,"CB","BLT",1,3,3,3,3,0,95.8,1,1,0,7,0,2.33,2,2021
"Josey Jewell",50720,"LB","DEN",1,3,3,3,10,0,79.2,1,1,0,-8,-1,-2.67,2,2021
"Jordyn Brooks",50851,"LB","SEA",1,3,3,3,29,0,108.3,1,1,0,10,3,3.33,2,2021
