"player","player_id","position","team_name","player_game_count","declined_penalties","fifty_attempts","fifty_made","fifty_percent","forty_attempts","forty_made","forty_percent","franchise_id","grades_fgep_kicker","one_attempts","one_made","one_percent","pat_attempts","pat_made","pat_percent","penalties","thirty_attempts","thirty_made","thirty_percent","total_attempts","total_made","total_percent","twenty_attempts","twenty_made","twenty_percent","week","year"
"Robbie Gould",2607,"K","SF",1,0,2,1,50,1,1,100,28,61.4,0,0,,5,5,100,0,0,0,,3,2,66.7,0,0,,1,2021
"Matt Prater",3471,"K","ARZ",1,0,0,0,,1,0,0,1,53.8,0,0,,5,5,100,0,1,1,100,2,1,50,0,0,,1,2021
"Nick Folk",3794,"K","NE",1,0,0,0,,1,1,100,19,65.6,0,0,,1,1,100,0,1,1,100,3,3,100,1,1,100,1,2021
"Mason Crosby",3809,"K","GB",1,0,0,0,,0,0,,12,60.5,0,0,,0,0,,0,1,1,100,1,1,100,0,0,,1,2021
"Ryan Succop",5180,"K","TB",1,0,0,0,,0,0,,30,73.5,0,0,,4,4,100,0,1,1,100,1,1,100,0,0,,1,2021
"Graham Gano",5443,"K","NYG",1,0,0,0,,0,0,,21,60.4,0,0,,1,1,100,0,0,0,,0,0,,0,0,,1,2021
"Greg Zuerlein",7163,"K","DAL",1,0,1,0,0,1,1,100,9,43.3,0,0,,3,2,66.7,0,2,1,50,5,3,60,1,1,100,1,2021
"Justin Tucker",7604,"K","BLT",1,0,0,0,,2,2,100,3,77,0,0,,3,3,100,0,0,0,,2,2,100,0,0,,1,2021
"Dustin Hopkins",7958,"K","WAS",1,0,1,0,0,2,2,100,32,57.7,0,0,,1,1,100,0,1,1,100,4,3,75,0,0,,1,2021
"Brandon McManus",8437,"K","DEN",1,0,0,0,,0,0,,10,64.8,0,0,,3,3,100,0,1,1,100,2,2,100,1,1,100,1,2021
"Cairo Santos",8932,"K","CHI",1,0,0,0,,0,0,,6,62.3,0,0,,2,2,100,0,0,0,,0,0,,0,0,,1,2021
"Chris Boswell",8990,"K","PIT",1,0,0,0,,1,1,100,25,66.2,0,0,,2,2,100,0,0,0,,3,3,100,2,2,100,1,2021
"Josh Lambo",10133,"K","JAX",1,0,1,0,0,0,0,,15,46.2,0,0,,3,3,100,0,0,0,,1,0,0,0,0,,1,2021
"Jason Myers",10207,"K","SEA",1,0,0,0,,0,0,,29,64.5,0,0,,4,4,100,0,0,0,,0,0,,0,0,,1,2021
"Aldrick Rosas",11331,"K","NO",1,0,0,0,,1,1,100,20,67.7,0,0,,5,5,100,0,0,0,,1,1,100,0,0,,1,2021
"Jake Elliott",11908,"K","PHI",1,0,0,0,,1,1,100,24,66.9,0,0,,3,3,100,0,0,0,,1,1,100,0,0,,1,2021
"Harrison Butker",11988,"K","KC",1,0,0,0,,1,1,100,16,66.6,0,0,,3,3,100,0,0,0,,2,2,100,1,1,100,1,2021
"Younghoe Koo",12042,"K","ATL",1,0,0,0,,0,0,,2,61.1,0,0,,0,0,,0,0,0,,2,2,100,2,2,100,1,2021
"Tristan Vizcaino",13076,"K","LAC",1,0,0,0,,0,0,,27,64.1,0,0,,2,2,100,0,1,1,100,2,2,100,1,1,100,1,2021
"Austin Seibert",13701,"K","DET",1,0,1,0,0,1,1,100,11,55.1,0,0,,2,2,100,0,0,0,,2,1,50,0,0,,1,2021
"Greg Joseph",22842,"K","MIN",1,0,1,1,100,0,0,,18,77.7,0,0,,3,3,100,0,0,0,,1,1,100,0,0,,1,2021
"Ryan Santoso",26245,"P","CAR",1,0,0,0,,0,0,,5,46.3,0,0,,2,1,50,0,0,0,,2,2,100,2,2,100,1,2021
"Daniel Carlson",28121,"K","LV",1,0,1,1,100,0,0,,23,80.5,0,0,,3,3,100,0,1,1,100,2,2,100,0,0,,1,2021
"Jason Sanders",29578,"K","MIA",1,0,0,0,,1,1,100,17,66.9,0,0,,2,2,100,0,0,0,,1,1,100,0,0,,1,2021
"Tyler Bass",33010,"K","BUF",1,0,0,0,,1,1,100,4,65.7,0,0,,1,1,100,0,1,1,100,3,3,100,1,1,100,1,2021
"Chase McLaughlin",33285,"K","CLV",1,0,0,0,,0,0,,8,63.5,0,0,,3,3,100,0,0,0,,0,0,,0,0,,1,2021
"Rodrigo Blankenship",34038,"K","IND",1,0,0,0,,0,0,,14,61.5,0,0,,1,1,100,0,0,0,,1,1,100,1,1,100,1,2021
"Joey Slye",39235,"K","HST",1,0,0,0,,1,1,100,13,66.5,0,0,,4,4,100,0,0,0,,3,3,100,2,2,100,1,2021
"Michael Badgley",39417,"K","TEN",1,0,0,0,,1,0,0,31,30,0,0,,2,1,50,0,0,0,,1,0,0,0,0,,1,2021
"Matt Gay",57643,"K","LA",1,0,1,1,100,0,0,,26,69.4,0,0,,4,4,100,0,0,0,,2,2,100,1,1,100,1,2021
"Evan McPherson",82583,"K","CIN",1,0,1,1,100,0,0,,7,77.7,0,0,,3,3,100,0,1,1,100,2,2,100,0,0,,1,2021
"Robbie Gould",2607,"K","SF",1,0,0,0,,1,1,100,28,66.3,0,0,,2,2,100,0,0,0,,1,1,100,0,0,,2,2021
"Matt Prater",3471,"K","ARZ",1,0,1,1,100,0,0,,1,86.4,0,0,,4,4,100,0,0,0,,2,2,100,1,1,100,2,2021
"Nick Folk",3794,"K","NE",1,0,0,0,,2,2,100,19,55.7,0,0,,2,1,50,0,1,1,100,4,4,100,1,1,100,2,2021
"Mason Crosby",3809,"K","GB",1,0,0,0,,0,0,,12,65.3,0,0,,5,5,100,0,0,0,,0,0,,0,0,,2,2021
"Ryan Succop",5180,"K","TB",1,0,0,0,,0,0,,30,52.2,0,0,,7,6,85.7,0,0,0,,0,0,,0,0,,2,2021
"Graham Gano",5443,"K","NYG",1,0,2,2,100,1,1,100,21,85.7,0,0,,2,2,100,0,1,1,100,5,5,100,1,1,100,2,2021
"Randy Bullock",7154,"K","TEN",1,0,0,0,,1,0,0,31,61.5,0,0,,3,3,100,0,3,3,100,5,4,80,1,1,100,2,2021
"Greg Zuerlein",7163,"K","DAL",1,0,1,1,100,0,0,,9,83,0,0,,2,2,100,0,1,1,100,2,2,100,0,0,,2,2021
"Justin Tucker",7604,"K","BLT",1,0,0,0,,1,1,100,3,66.3,0,0,,3,3,100,0,0,0,,1,1,100,0,0,,2,2021
"Dustin Hopkins",7958,"K","WAS",1,0,0,0,,2,2,100,32,59.4,0,0,,3,3,100,0,1,1,100,3,3,100,0,0,,2,2021
"Brandon McManus",8437,"K","DEN",1,0,0,0,,2,2,100,10,68.6,0,0,,2,2,100,0,1,1,100,3,3,100,0,0,,2,2021
"Cairo Santos",8932,"K","CHI",1,0,0,0,,0,0,,6,63.4,0,0,,2,2,100,0,0,0,,2,2,100,2,2,100,2,2021
"Chris Boswell",8990,"K","PIT",1,0,1,1,100,0,0,,25,73.9,0,0,,2,2,100,0,0,0,,1,1,100,0,0,,2,2021
"Josh Lambo",10133,"K","JAX",1,0,1,0,0,1,0,0,15,35.3,0,0,,1,1,100,0,0,0,,2,0,0,0,0,,2,2021
"Jason Myers",10207,"K","SEA",1,0,0,0,,0,0,,29,40.9,0,0,,4,3,75,0,1,1,100,1,1,100,0,0,,2,2021
"Aldrick Rosas",11331,"K","NO",1,0,0,0,,0,0,,20,60.4,0,0,,1,1,100,0,0,0,,0,0,,0,0,,2,2021
"Jake Elliott",11908,"K","PHI",1,0,0,0,,2,1,50,24,61.2,0,0,,0,0,,0,0,0,,2,1,50,0,0,,2,2021
"Zane Gonzalez",11979,"K","CAR",1,0,1,0,0,1,1,100,5,49.8,0,0,,3,2,66.7,0,0,0,,3,2,66.7,1,1,100,2,2021
"Harrison Butker",11988,"K","KC",1,0,0,0,,0,0,,16,65.3,0,0,,5,5,100,0,0,0,,0,0,,0,0,,2,2021
"Younghoe Koo",12042,"K","ATL",1,0,0,0,,0,0,,2,63.8,0,0,,2,2,100,0,1,1,100,1,1,100,0,0,,2,2021
"Tristan Vizcaino",13076,"K","LAC",1,0,0,0,,2,1,50,27,51.6,0,0,,0,0,,0,1,1,100,4,3,75,1,1,100,2,2021
