"player","player_id","position","team_name","player_game_count","attempts","attempts_with_hangtime","average_hangtime","average_net_yards","average_yards_per_attempt","average_yards_per_return","blocks","declined_penalties","downeds","fair_catches","franchise_id","grades_punter","inside_twenties","long","out_of_bounds","penalties","percent_returned","return_yards","returns","snaps","total_hangtime","total_net_yards","touchbacks","yards","week","year"
"Andy Lee",1906,"P","ARZ",1,3,3,4.36,41.33,48,,0,0,1,1,1,55.9,2,58,0,0,0,0,0,3,13.07,124,1,144,1,2021
"Sam Koch",3148,"P","BLT",1,4,4,4.26,42.25,44.75,5,0,0,1,1,3,55.4,1,49,0,0,50,10,2,4,17.05,169,0,179,1,2021
"Brett Kern",4580,"P","TEN",1,3,3,3.68,42.33,50.33,12,0,0,0,0,31,59.4,0,59,1,0,66.7,24,2,3,11.04,127,0,151,1,2021
"Kevin Huber",5066,"P","CIN",1,7,7,4.29,42.86,47.43,12,0,0,1,3,7,66.4,3,61,1,0,14.3,12,1,7,30,300,1,332,1,2021
"Bryan Anger",7072,"P","DAL",1,3,3,4.14,42,49,10.5,0,0,0,0,9,60.1,1,62,1,0,66.7,21,2,3,12.42,126,0,147,1,2021
"Johnny Hekker",7252,"P","LA",1,1,1,4.58,47,50,3,0,0,0,0,26,60,0,50,0,0,100,3,1,1,4.58,47,0,50,1,2021
"Sam Martin",7947,"P","DEN",1,2,2,3.77,38,39,2,0,0,1,0,10,59.2,0,41,0,0,50,2,1,2,7.53,76,0,78,1,2021
"Tress Way",8358,"P","WAS",1,3,3,3.89,45,46,3,0,0,0,1,32,61.3,2,56,1,0,33.3,3,1,3,11.67,135,0,138,1,2021
"Pat O'Donnell",8826,"P","CHI",1,1,1,4.47,36,36,,0,0,0,1,6,60,1,36,0,0,0,0,0,1,4.47,36,0,36,1,2021
"Michael Palardy",9277,"P","MIA",1,4,4,4.03,35,45,6.7,0,0,0,0,17,57.2,0,52,0,0,75,20,3,4,16.12,140,1,180,1,2021
"Bradley Pinion",9598,"P","TB",1,4,4,4.4,45.75,49.25,7,0,0,0,1,30,72.8,3,65,1,0,50,14,2,4,17.6,183,0,197,1,2021
"Ty Long",9728,"K","LAC",1,2,2,4.15,36,47,11,0,0,0,0,27,58.8,0,47,0,0,100,22,2,2,8.3,72,0,94,1,2021
