,unique_id,player_id,player,team,year,week,value
15,darnelldockett_ari_2014_1,darnelldockett_ari_2014,darnelldockett,ari,2014,1,1
28,tyrannmathieu_ari_2014_1,tyrannmathieu_ari_2014,tyrannmathieu,ari,2014,1,1
31,alexokafor_ari_2014_1,alexokafor_ari_2014,alexokafor,ari,2014,1,1
42,darylwashington_ari_2014_1,darylwashington_ari_2014,darylwashington,ari,2014,1,1
43,eddiewhitley_ari_2014_1,eddiewhitley_ari_2014,eddiewhitley,ari,2014,1,1
51,geraldchristian_ari_2015_1,geraldchristian_ari_2015,geraldchristian,ari,2015,1,1
65,mikeiupati_ari_2015_1,mikeiupati_ari_2015,mikeiupati,ari,2015,1,1
73,ifeanyimomah_ari_2015_1,ifeanyimomah_ari_2015,ifeanyimomah,ari,2015,1,1
79,coreypeters_ari_2015_1,coreypeters_ari_2015,coreypeters,ari,2015,1,1
94,eliebouka_ari_2016_1,eliebouka_ari_2016,eliebouka,ari,2016,1,1
101,durelleskridge_ari_2016_1,durelleskridge_ari_2016,durelleskridge,ari,2016,1,1
109,mikejenkins_ari_2016_1,mikejenkins_ari_2016,mikejenkins,ari,2016,1,1
114,kareemmartin_ari_2016_1,kareemmartin_ari_2016,kareemmartin,ari,2016,1,1
119,siomoore_ari_2016_1,siomoore_ari_2016,siomoore,ari,2016,1,1
123,tristanokpalaugo_ari_2016_1,tristanokpalaugo_ari_2016,tristanokpalaugo,ari,2016,1,1
128,stepfantaylor_ari_2016_1,stepfantaylor_ari_2016,stepfantaylor,ari,2016,1,1
136,deonebucannon_ari_2017_1,deonebucannon_ari_2017,deonebucannon,ari,2017,1,1
139,aarondobson_ari_2017_1,aarondobson_ari_2017,aarondobson,ari,2017,1,1
142,alanifua_ari_2017_1,alanifua_ari_2017,alanifua,ari,2017,1,1
149,jarvisjones_ari_2017_1,jarvisjones_ari_2017,jarvisjones,ari,2017,1,1
150,tjlogan_ari_2017_1,tjlogan_ari_2017,tjlogan,ari,2017,1,1
151,gabemartin_ari_2017_1,gabemartin_ari_2017,gabemartin,ari,2017,1,1
157,robertnkemdiche_ari_2017_1,robertnkemdiche_ari_2017,robertnkemdiche,ari,2017,1,1
173,ronaldzamort_ari_2017_1,ronaldzamort_ari_2017,ronaldzamort,ari,2017,1,1
174,brysonalbright_ari_2018_1,brysonalbright_ari_2018,brysonalbright,ari,2018,1,1
181,christiancampbell_ari_2018_1,christiancampbell_ari_2018,christiancampbell,ari,2018,1,1
182,jeremycash_ari_2018_1,jeremycash_ari_2018,jeremycash,ari,2018,1,1
187,djfoster_ari_2018_1,djfoster_ari_2018,djfoster,ari,2018,1,1
189,markusgolden_ari_2018_1,markusgolden_ari_2018,markusgolden,ari,2018,1,1
190,jermainegresham_ari_2018_1,jermainegresham_ari_2018,jermainegresham,ari,2018,1,1
196,tjlogan_ari_2018_1,tjlogan_ari_2018,tjlogan,ari,2018,1,1
197,gabemartin_ari_2018_1,gabemartin_ari_2018,gabemartin,ari,2018,1,1
198,praisemartinoguike_ari_2018_1,praisemartinoguike_ari_2018,praisemartinoguike,ari,2018,1,1
200,arthurmoats_ari_2018_1,arthurmoats_ari_2018,arthurmoats,ari,2018,1,1
211,aqshipley_ari_2018_1,aqshipley_ari_2018,aqshipley,ari,2018,1,1
217,robertalford_ari_2019_1,robertalford_ari_2019,robertalford,ari,2019,1,1
222,hakeembutler_ari_2019_1,hakeembutler_ari_2019,hakeembutler,ari,2019,1,1
228,lamontgaillard_ari_2019_1,lamontgaillard_ari_2019,lamontgaillard,ari,2019,1,1
229,maxgarcia_ari_2019_1,maxgarcia_ari_2019,maxgarcia,ari,2019,1,1
231,marcusgilbert_ari_2019_1,marcusgilbert_ari_2019,marcusgilbert,ari,2019,1,1
246,reesodhiambo_ari_2019_1,reesodhiambo_ari_2019,reesodhiambo,ari,2019,1,1
252,joshshaw_ari_2019_1,joshshaw_ari_2019,joshshaw,ari,2019,1,1
255,williamsweet_ari_2019_1,williamsweet_ari_2019,williamsweet,ari,2019,1,1
256,pitataumoepenu_ari_2019_1,pitataumoepenu_ari_2019,pitataumoepenu,ari,2019,1,1
264,brandonwilliams_ari_2019_1,brandonwilliams_ari_2019,brandonwilliams,ari,2019,1,1
284,marcusgilbert_ari_2020_1,marcusgilbert_ari_2020,marcusgilbert,ari,2020,1,1
290,joshjones_ari_2020_1,joshjones_ari_2020,joshjones,ari,2020,1,1
309,bretttoth_ari_2020_1,bretttoth_ari_2020,bretttoth,ari,2020,1,1
329,dennisgardeck_ari_2021_1,dennisgardeck_ari_2021,dennisgardeck,ari,2021,1,1
347,jordanphillips_ari_2021_1,jordanphillips_ari_2021,jordanphillips,ari,2021,1,1
355,antoinewesley_ari_2021_1,antoinewesley_ari_2021,antoinewesley,ari,2021,1,1
363,sambaker_atl_2014_1,sambaker_atl_2014,sambaker,atl,2014,1,1
367,drewdavis_atl_2014_1,drewdavis_atl_2014,drewdavis,atl,2014,1,1
375,mikejohnson_atl_2014_1,mikejohnson_atl_2014,mikejohnson,atl,2014,1,1
383,zekemotta_atl_2014_1,zekemotta_atl_2014,zekemotta,atl,2014,1,1
384,coreypeters_atl_2014_1,coreypeters_atl_2014,coreypeters,atl,2014,1,1
390,marquisspruill_atl_2014_1,marquisspruill_atl_2014,marquisspruill,atl,2014,1,1
392,seanweatherspoon_atl_2014_1,seanweatherspoon_atl_2014,seanweatherspoon,atl,2014,1,1
398,jonasamoah_atl_2015_1,jonasamoah_atl_2015,jonasamoah,atl,2015,1,1
400,joplobartu_atl_2015_1,joplobartu_atl_2015,joplobartu,atl,2015,1,1
413,devinhester_atl_2015_1,devinhester_atl_2015,devinhester,atl,2015,1,1
414,lamarholmes_atl_2015_1,lamarholmes_atl_2015,lamarholmes,atl,2015,1,1
415,travishoward_atl_2015_1,travishoward_atl_2015,travishoward,atl,2015,1,1
423,collinmooney_atl_2015_1,collinmooney_atl_2015,collinmooney,atl,2015,1,1
426,brooksreed_atl_2015_1,brooksreed_atl_2015,brooksreed,atl,2015,1,1
432,robensontherezie_atl_2015_1,robensontherezie_atl_2015,robensontherezie,atl,2015,1,1
444,devinfuller_atl_2016_1,devinfuller_atl_2016,devinfuller,atl,2016,1,1
452,akeemking_atl_2016_1,akeemking_atl_2016,akeemking,atl,2016,1,1
455,keanuneal_atl_2016_1,keanuneal_atl_2016,keanuneal,atl,2016,1,1
462,demarcusvandyke_atl_2016_1,demarcusvandyke_atl_2016,demarcusvandyke,atl,2016,1,1
463,terronward_atl_2016_1,terronward_atl_2016,terronward,atl,2016,1,1
473,devinfuller_atl_2017_1,devinfuller_atl_2017,devinfuller,atl,2017,1,1
478,quincymauger_atl_2017_1,quincymauger_atl_2017,quincymauger,atl,2017,1,1
479,austinpasztor_atl_2017_1,austinpasztor_atl_2017,austinpasztor,atl,2017,1,1
480,laroyreynolds_atl_2017_1,laroyreynolds_atl_2017,laroyreynolds,atl,2017,1,1
499,bengarland_atl_2018_1,bengarland_atl_2018,bengarland,atl,2018,1,1
500,joshharris_atl_2018_1,joshharris_atl_2018,joshharris,atl,2018,1,1
513,blidiwrehwilson_atl_2018_1,blidiwrehwilson_atl_2018,blidiwrehwilson,atl,2018,1,1
516,kurtbenkert_atl_2019_1,kurtbenkert_atl_2019,kurtbenkert,atl,2019,1,1
517,michaelbennett_atl_2019_1,michaelbennett_atl_2019,michaelbennett,atl,2019,1,1
520,ryanbrown_atl_2019_1,ryanbrown_atl_2019,ryanbrown,atl,2019,1,1
521,tavezecalhoun_atl_2019_1,tavezecalhoun_atl_2019,tavezecalhoun,atl,2019,1,1
528,mattgono_atl_2019_1,mattgono_atl_2019,mattgono,atl,2019,1,1
529,alexgray_atl_2019_1,alexgray_atl_2019,alexgray,atl,2019,1,1
538,stevenmeans_atl_2019_1,stevenmeans_atl_2019,stevenmeans,atl,2019,1,1
548,mattsimms_atl_2019_1,mattsimms_atl_2019,mattsimms,atl,2019,1,1
552,jjwilcox_atl_2019_1,jjwilcox_atl_2019,jjwilcox,atl,2019,1,1
558,marlondavidson_atl_2020_1,marlondavidson_atl_2020,marlondavidson,atl,2020,1,1
562,charlesharris_atl_2020_1,charlesharris_atl_2020,charlesharris,atl,2020,1,1
577,kendallsheffield_atl_2020_1,kendallsheffield_atl_2020,kendallsheffield,atl,2020,1,1
579,joshandrews_atl_2021_1,joshandrews_atl_2021,joshandrews,atl,2021,1,1
610,kendallsheffield_atl_2021_1,kendallsheffield_atl_2021,kendallsheffield,atl,2021,1,1
620,jeremybutler_bal_2014_1,jeremybutler_bal_2014,jeremybutler,bal,2014,1,1
623,terrencecody_bal_2014_1,terrencecody_bal_2014,terrencecody,bal,2014,1,1
631,willhill_bal_2014_1,willhill_bal_2014,willhill,bal,2014,1,1
638,kapronlewismoore_bal_2014_1,kapronlewismoore_bal_2014,kapronlewismoore,bal,2014,1,1
648,willrackley_bal_2014_1,willrackley_bal_2014,willrackley,bal,2014,1,1
650,rayrice_bal_2014_1,rayrice_bal_2014,rayrice,bal,2014,1,1
651,aaronross_bal_2014_1,aaronross_bal_2014,aaronross,bal,2014,1,1
660,brenturban_bal_2014_1,brenturban_bal_2014,brenturban,bal,2014,1,1
662,lardariuswebb_bal_2014_1,lardariuswebb_bal_2014,lardariuswebb,bal,2014,1,1
673,mattelam_bal_2015_1,mattelam_bal_2015,mattelam,bal,2015,1,1
681,timmyjernigan_bal_2015_1,timmyjernigan_bal_2015,timmyjernigan,bal,2015,1,1
685,rashaanmelvin_bal_2015_1,rashaanmelvin_bal_2015,rashaanmelvin,bal,2015,1,1
689,breshadperriman_bal_2015_1,breshadperriman_bal_2015,breshadperriman,bal,2015,1,1
690,dennispitta_bal_2015_1,dennispitta_bal_2015,dennispitta,bal,2015,1,1
691,allenreisner_bal_2015_1,allenreisner_bal_2015,allenreisner,bal,2015,1,1
697,lorenzotaliaferro_bal_2015_1,lorenzotaliaferro_bal_2015,lorenzotaliaferro,bal,2015,1,1
698,brenturban_bal_2015_1,brenturban_bal_2015,brenturban,bal,2015,1,1
706,julianwilson_bal_2015_1,julianwilson_bal_2015,julianwilson,bal,2015,1,1
711,kylearrington_bal_2016_1,kylearrington_bal_2016,kylearrington,bal,2016,1,1
712,michaelcampanaro_bal_2016_1,michaelcampanaro_bal_2016,michaelcampanaro,bal,2016,1,1
714,kaelinclay_bal_2016_1,kaelinclay_bal_2016,kaelinclay,bal,2016,1,1
716,carldavis_bal_2016_1,carldavis_bal_2016,carldavis,bal,2016,1,1
717,kennethdixon_bal_2016_1,kennethdixon_bal_2016,kennethdixon,bal,2016,1,1
718,elvisdumervil_bal_2016_1,elvisdumervil_bal_2016,elvisdumervil,bal,2016,1,1
719,mattelam_bal_2016_1,mattelam_bal_2016,mattelam,bal,2016,1,1
723,bronsonkaufusi_bal_2016_1,bronsonkaufusi_bal_2016,bronsonkaufusi,bal,2016,1,1
727,cavellisluckett_bal_2016_1,cavellisluckett_bal_2016,cavellisluckett,bal,2016,1,1
728,chrismatthews_bal_2016_1,chrismatthews_bal_2016,chrismatthews,bal,2016,1,1
731,stephanenembot_bal_2016_1,stephanenembot_bal_2016,stephanenembot,bal,2016,1,1
735,jerraudpowers_bal_2016_1,jerraudpowers_bal_2016,jerraudpowers,bal,2016,1,1
737,jumalrolle_bal_2016_1,jumalrolle_bal_2016,jumalrolle,bal,2016,1,1
742,lorenzotaliaferro_bal_2016_1,lorenzotaliaferro_bal_2016,lorenzotaliaferro,bal,2016,1,1
744,johnurschel_bal_2016_1,johnurschel_bal_2016,johnurschel,bal,2016,1,1
746,benwatson_bal_2016_1,benwatson_bal_2016,benwatson,bal,2016,1,1
