p_id,player,player_team_id,unique_team_id,team_id_impute,numeric_id,position,team_name,year,week,pass_summary_player_game_count,pass_summary_accuracy_percent,pass_summary_aimed_passes,pass_summary_attempts,pass_summary_avg_depth_of_target,pass_summary_avg_time_to_throw,pass_summary_bats,pass_summary_big_time_throws,pass_summary_btt_rate,pass_summary_completion_percent,pass_summary_completions,pass_summary_declined_penalties,pass_summary_def_gen_pressures,pass_summary_drop_rate,pass_summary_dropbacks,pass_summary_drops,pass_summary_first_downs,pass_summary_franchise_id,pass_summary_grades_hands_fumble,pass_summary_grades_offense,pass_summary_grades_pass,pass_summary_grades_run,pass_summary_hit_as_threw,pass_summary_interceptions,pass_summary_passing_snaps,pass_summary_penalties,pass_summary_pressure_to_sack_rate,pass_summary_qb_rating,pass_summary_sack_percent,pass_summary_sacks,pass_summary_scrambles,pass_summary_spikes,pass_summary_thrown_aways,pass_summary_touchdowns,pass_summary_turnover_worthy_plays,pass_summary_twp_rate,pass_summary_yards,pass_summary_ypa
ryantannehill_ten_2021_1,ryantannehill,ryantannehill_ten_2021,ten_2021_1,ten_2021,7014,qb,ten,2021,1,1,68.1,47,49,9.1,2.45,0,3,5.5,61.2,30,0,22,6.3,57,2,17,31,42.0,76.8,77.7,49.1,2,0,63,1,31.8,85.2,12.3,7,1,0,0,1,1,1.6,298,6.1
jalenhurts_phi_2021_1,jalenhurts,jalenhurts_phi_2021,phi_2021_1,phi_2021,40291,qb,phi,2021,1,1,76.2,42,48,8.7,2.92,1,3,5.9,66.7,32,0,27,0.0,57,0,20,24,41.4,66.2,66.6,63.1,1,0,61,1,11.1,105.1,5.3,3,4,0,4,2,2,3.3,387,8.1
tombrady_tb_2021_1,tombrady,tombrady_tb_2021,tb_2021_1,tb_2021,698,qb,tb,2021,1,1,67.5,40,43,11.4,2.61,1,5,10.9,51.2,22,0,10,18.5,45,5,13,30,80.7,83.5,80.8,66.5,0,0,48,0,10.0,70.8,2.2,1,1,0,2,0,0,0.0,269,6.3
mattryan_atl_2021_1,mattryan,mattryan_atl_2021,atl_2021_1,atl_2021,4317,qb,atl,2021,1,1,69.2,39,42,11.5,2.33,1,3,6.5,59.5,25,0,10,7.4,44,2,16,2,80.3,92.0,89.8,71.4,0,0,49,0,10.0,111.5,2.3,1,1,1,1,4,0,0.0,283,6.7
matthewstafford_lar_2021_1,matthewstafford,matthewstafford_lar_2021,lar_2021_1,lar_2021,4924,qb,lar,2021,1,1,70.7,41,41,8.7,2.56,0,1,2.2,63.4,26,0,11,10.3,43,3,14,26,80.7,68.9,64.7,79.1,0,1,47,1,0.0,89.5,0.0,0,2,0,0,2,1,2.1,280,6.8
macjones_ne_2021_1,macjones,macjones_ne_2021,ne_2021_1,ne_2021,60323,qb,ne,2021,1,1,84.2,38,40,5.5,2.3,1,0,0.0,77.5,31,0,17,3.1,45,1,15,19,80.3,65.4,64.6,60.0,0,1,48,0,23.5,101.6,8.9,4,0,0,1,2,1,2.1,275,6.9
danieljones_nyg_2021_1,danieljones,danieljones_nyg_2021,nyg_2021_1,nyg_2021,39395,qb,nyg,2021,1,1,85.7,35,40,9.5,2.75,1,2,4.7,70.0,28,0,10,6.7,43,2,18,21,80.2,84.6,84.1,61.6,1,1,47,0,0.0,108.5,0.0,0,3,0,3,2,1,2.1,402,10.1
benroethlisberger_pit_2021_1,benroethlisberger,benroethlisberger_pit_2021,pit_2021_1,pit_2021,1732,qb,pit,2021,1,1,68.4,38,40,7.0,2.05,1,2,4.9,65.0,26,0,6,0.0,42,0,11,25,29.1,52.3,52.2,61.09127155172414,0,1,43,0,33.3,78.3,4.8,2,0,0,1,1,2,4.7,232,5.8
samdarnold_car_2021_1,samdarnold,samdarnold_car_2021,car_2021_1,car_2021,29048,qb,car,2021,1,1,68.4,38,39,8.5,2.91,0,1,2.4,66.7,26,0,16,0.0,46,0,14,5,80.8,54.0,53.4,64.9,1,2,48,1,31.3,85.5,10.9,5,2,0,0,2,2,4.2,301,7.7
justinherbert_lac_2021_1,justinherbert,justinherbert_lac_2021,lac_2021_1,lac_2021,28237,qb,lac,2021,1,1,84.4,32,38,8.3,2.34,2,2,5.3,65.8,25,0,14,7.4,41,2,13,27,79.6,83.0,82.6,57.9,2,0,41,0,14.3,107.6,4.9,2,1,0,2,3,0,0.0,222,5.8
kirkcousins_min_2021_1,kirkcousins,kirkcousins_min_2021,min_2021_1,min_2021,7102,qb,min,2021,1,1,76.7,30,38,9.1,2.51,2,2,4.8,52.6,20,0,22,13.0,41,3,10,18,79.9,64.0,65.7,57.8,4,1,45,1,9.1,66.0,4.9,2,1,0,2,1,2,4.4,203,5.3
jaredgoff_det_2021_1,jaredgoff,jaredgoff_det_2021,det_2021_1,det_2021,10635,qb,det,2021,1,1,66.7,36,38,9.4,2.89,1,0,0.0,63.2,24,1,17,0.0,44,0,15,11,29.6,62.7,66.7,39.4,0,0,48,1,23.5,105.0,9.1,4,2,0,1,2,1,2.1,299,7.9
lamarjackson_bal_2021_1,lamarjackson,lamarjackson_bal_2021,bal_2021_1,bal_2021,46416,qb,bal,2021,1,1,75.0,32,37,12.1,2.88,2,1,2.6,59.5,22,0,15,8.3,42,2,15,3,80.4,81.6,81.5,61.9,1,0,43,1,20.0,96.2,7.1,3,2,0,2,1,0,0.0,316,8.5
aaronrodgers_gb_2021_1,aaronrodgers,aaronrodgers_gb_2021,gb_2021_1,gb_2021,2241,qb,gb,2021,1,1,60.6,33,36,9.9,2.52,1,1,2.8,55.6,20,0,10,0.0,40,0,14,12,79.5,64.8,62.0,67.2,0,0,40,0,30.0,95.6,7.5,3,1,0,2,2,1,2.5,248,6.9
zachwilson_nyj_2021_1,zachwilson,zachwilson_nyj_2021,nyj_2021_1,nyj_2021,82096,qb,nyj,2021,1,1,72.7,33,34,10.2,3.25,0,4,11.4,61.8,21,0,11,12.5,37,3,11,22,78.8,71.3,71.9,54.6,0,1,38,0,18.2,97.3,5.4,2,1,0,1,2,3,7.9,297,8.7
derekcarr_lv_2021_1,derekcarr,derekcarr_lv_2021,lv_2021_1,lv_2021,8671,qb,lv,2021,1,1,80.0,30,34,9.9,3.04,1,3,8.6,61.8,21,0,18,12.5,40,3,8,23,79.3,64.5,63.9,60.0,0,1,41,0,22.2,84.9,10.0,4,2,0,3,2,1,2.4,196,5.8
bakermayfield_cle_2021_1,bakermayfield,bakermayfield_cle_2021,cle_2021_1,cle_2021,46518,qb,cle,2021,1,1,58.6,29,33,11.5,2.89,2,0,0.0,45.5,15,0,15,11.8,37,2,9,8,79.4,48.1,47.5,65.1,0,0,41,1,20.0,59.5,8.1,3,1,0,2,0,0,0.0,155,4.7
taylorheinicke_was_2021_1,taylorheinicke,taylorheinicke_was_2021,was_2021_1,was_2021,9896,qb,was,2021,1,1,72.7,33,33,9.4,3.01,0,2,5.6,69.7,23,0,10,4.2,38,1,18,32,79.5,66.9,63.2,70.0,0,0,42,0,10.0,127.1,2.6,1,4,0,0,3,3,7.1,290,8.8
kylermurray_ari_2021_1,kylermurray,kylermurray_ari_2021,ari_2021_1,ari_2021,38334,qb,ari,2021,1,1,82.8,29,32,6.7,2.98,0,3,9.1,75.0,24,0,11,0.0,39,0,13,1,79.6,82.6,83.6,60.1,0,0,41,0,27.3,120.3,7.7,3,4,0,3,2,0,0.0,268,8.4
carsonwentz_ind_2021_1,carsonwentz,carsonwentz_ind_2021,ind_2021_1,ind_2021,10636,qb,ind,2021,1,1,78.1,32,32,9.2,2.9,0,2,6.1,75.0,24,0,16,4.0,34,1,9,14,79.5,76.2,72.8,69.7,0,0,36,0,12.5,115.1,5.9,2,0,0,0,2,0,0.0,228,7.1
joeburrow_cin_2021_1,joeburrow,joeburrow_cin_2021,cin_2021_1,cin_2021,28022,qb,cin,2021,1,1,80.6,31,32,7.9,2.61,1,3,9.1,78.1,25,0,7,0.0,33,0,16,7,78.9,87.7,89.1,52.3,0,0,35,1,14.3,132.8,3.0,1,0,0,0,2,0,0.0,348,10.9
patrickmahomes_kc_2021_1,patrickmahomes,patrickmahomes_kc_2021,kc_2021_1,kc_2021,11765,qb,kc,2021,1,1,86.2,29,30,7.4,2.49,0,2,6.3,80.0,24,0,9,4.0,36,1,18,16,79.1,82.7,81.2,70.7,0,1,39,1,11.1,131.0,2.8,1,4,0,1,5,1,2.6,278,9.3
jacobybrissett_mia_2021_1,jacobybrissett,jacobybrissett_mia_2021,mia_2021_1,mia_2021,10725,qb,mia,2021,1,1,76.7,30,30,8.0,3.2,0,1,3.0,66.7,20,0,14,13.0,35,3,12,17,21.1,55.0,52.5,67.2,0,0,38,0,21.4,107.5,8.6,3,2,0,0,2,5,13.2,199,6.6
