unique_id,name,team,year,position,height,wt,speed,draft_yr,round,selection
johnathanjoseph_ten_2020,johnathanjoseph,ten,2020,cb,71,186,4.31,2006,1,24
johnathanjoseph_ari_2020,johnathanjoseph,ari,2020,cb,71,186,4.31,2006,1,24
calaiscampbell_bal_2020,calaiscampbell,bal,2020,di,80,307,5.04,2008,2,50
malcolmjenkins_no_2020,malcolmjenkins,no,2020,s,72,204,4.51,2009,1,14
jasonmccourty_ne_2020,jasonmccourty,ne,2020,cb,71,195,,2009,6,203
stevemclendon_nyj_2020,stevemclendon,nyj,2020,di,75,310,,2009,10,300
stevemclendon_tb_2020,stevemclendon,tb,2020,di,75,310,,2009,10,300
ndamukongsuh_tb_2020,ndamukongsuh,tb,2020,di,76,313,5.03,2010,1,2
joehaden_pit_2020,joehaden,pit,2020,cb,71,195,4.52,2010,1,7
tysonalualu_pit_2020,tysonalualu,pit,2020,di,75,304,4.87,2010,1,10
brandongraham_phi_2020,brandongraham,phi,2020,ed,74,265,4.71,2010,1,13
jasonpierrepaul_tb_2020,jasonpierrepaul,tb,2020,ed,77,275,4.78,2010,1,15
kareemjackson_den_2020,kareemjackson,den,2020,s,70,183,4.4,2010,1,20
devinmccourty_ne_2020,devinmccourty,ne,2020,s,70,195,4.38,2010,1,27
jerryhughes_buf_2020,jerryhughes,buf,2020,ed,74,254,4.65,2010,1,31
patrickrobinson_no_2020,patrickrobinson,no,2020,cb,71,191,4.46,2010,1,32
linvaljoseph_lac_2020,linvaljoseph,lac,2020,di,76,329,5.09,2010,2,46
carlosdunlap_cin_2020,carlosdunlap,cin,2020,ed,78,277,4.68,2010,2,54
carlosdunlap_sea_2020,carlosdunlap,sea,2020,ed,78,277,4.68,2010,2,54
coreypeters_ari_2020,coreypeters,ari,2020,di,75,295,4.98,2010,3,83
eversongriffen_dal_2020,eversongriffen,dal,2020,ed,75,273,4.65,2010,4,100
eversongriffen_det_2020,eversongriffen,det,2020,ed,75,273,4.65,2010,4,100
sherrickmcmanis_chi_2020,sherrickmcmanis,chi,2020,s,73,193,,2010,5,144
anthonylevine_bal_2020,anthonylevine,bal,2020,s,71,207,,2010,10,300
andrewsendejo_cle_2020,andrewsendejo,cle,2020,s,73,210,,2010,10,300
patrickpeterson_ari_2020,patrickpeterson,ari,2020,cb,73,198,4.31,2011,1,5
aldonsmith_dal_2020,aldonsmith,dal,2020,ed,76,258,4.74,2011,1,7
jjwatt_hou_2020,jjwatt,hou,2020,ed,77,288,4.81,2011,1,11
ryankerrigan_was_2020,ryankerrigan,was,2020,ed,76,259,4.67,2011,1,16
adrianclayborn_cle_2020,adrianclayborn,cle,2020,ed,75,280,4.78,2011,1,20
cameronjordan_no_2020,cameronjordan,no,2020,ed,76,287,4.74,2011,1,24
jimmysmith_bal_2020,jimmysmith,bal,2020,cb,74,210,4.42,2011,1,27
cameronheyward_pit_2020,cameronheyward,pit,2020,di,77,295,,2011,1,31
justinhouston_ind_2020,justinhouston,ind,2020,ed,75,270,4.62,2011,3,70
jurrellcasey_den_2020,jurrellcasey,den,2020,di,73,305,5.04,2011,3,77
allenbailey_atl_2020,allenbailey,atl,2020,di,75,288,4.71,2011,3,86
kjwright_sea_2020,kjwright,sea,2020,lb,76,246,4.75,2011,4,99
busterskrine_chi_2020,busterskrine,chi,2020,cb,69,185,4.48,2011,5,137
richardsherman_sf_2020,richardsherman,sf,2020,cb,75,195,4.54,2011,5,154
pernellmcphee_bal_2020,pernellmcphee,bal,2020,ed,75,265,4.91,2011,5,165
