"unique_id","player","team","year","position","height","wt","speed","draft_yr","round","selection"
"aaronberry_det_2010","aaronberry","det",2010,"cb",71,180,,2010,10,300
"aaronberry_det_2011","aaronberry","det",2011,"cb",71,180,,2010,10,300
"aaronberry_nyj_2012","aaronberry","nyj",2012,"cb",71,180,,2010,10,300
"aaronberry_cle_2014","aaronberry","cle",2014,"cb",71,180,,2010,10,300
"aaronbrewer_den_2013","aaronbrewer","den",2013,"ls",77,232,,2012,10,300
"aaronbrewer_den_2014","aaronbrewer","den",2014,"ls",77,232,,2012,10,300
"aaronbrewer_den_2015","aaronbrewer","den",2015,"ls",77,232,,2012,10,300
"aaronbrewer_ari_2016","aaronbrewer","ari",2016,"ls",77,232,,2012,10,300
"aaronbrewer_ari_2017","aaronbrewer","ari",2017,"ls",77,232,,2012,10,300
"aaronbrewer_ari_2018","aaronbrewer","ari",2018,"ls",77,232,,2012,10,300
"aaronbrewer_ari_2019","aaronbrewer","ari",2019,"ls",77,232,,2012,10,300
"aaronbrooks_oak_2006","aaronbrooks","oak",2006,"qb",75,220,4.6,1999,4,131
"aaronbrooks_oak_2007","aaronbrooks","oak",2007,"qb",75,220,4.6,1999,4,131
"aaronbrown_det_2009","aaronbrown","det",2009,"hb",73,196,,2009,6,192
"aaronbrown_det_2010","aaronbrown","det",2010,"hb",73,196,,2009,6,192
"aaronbrown_det_2011","aaronbrown","det",2011,"hb",73,196,,2009,6,192
"aaronburbridge_sf_2016","aaronburbridge","sf",2016,"wr",73,208,4.56,2016,6,213
"aaronburbridge_sf_2017","aaronburbridge","sf",2017,"wr",73,208,4.56,2016,6,213
"aaroncolvin_jax_2014","aaroncolvin","jax",2014,"cb",72,191,,2014,4,114
"aaroncolvin_jax_2015","aaroncolvin","jax",2015,"cb",72,191,,2014,4,114
"aaroncolvin_jax_2016","aaroncolvin","jax",2016,"cb",72,191,,2014,4,114
"aaroncolvin_jax_2017","aaroncolvin","jax",2017,"cb",72,191,,2014,4,114
"aaroncolvin_hou_2018","aaroncolvin","hou",2018,"cb",72,191,,2014,4,114
"aaroncolvin_hou_2019","aaroncolvin","hou",2019,"cb",72,191,,2014,4,114
"aaroncolvin_was_2019","aaroncolvin","was",2019,"cb",72,191,,2014,4,114
"aaroncurry_sea_2009","aaroncurry","sea",2009,"lb",74,254,4.52,2009,1,4
"aaroncurry_sea_2010","aaroncurry","sea",2010,"lb",74,254,4.52,2009,1,4
"aaroncurry_oak_2011","aaroncurry","oak",2011,"lb",74,254,4.52,2009,1,4
"aaroncurry_sea_2011","aaroncurry","sea",2011,"lb",74,254,4.52,2009,1,4
"aaroncurry_oak_2012","aaroncurry","oak",2012,"lb",74,254,4.52,2009,1,4
"aarondobson_ne_2013","aarondobson","ne",2013,"wr",75,204,,2013,2,59
"aarondobson_ne_2014","aarondobson","ne",2014,"wr",75,204,,2013,2,59
"aarondobson_ne_2015","aarondobson","ne",2015,"wr",75,204,,2013,2,59
"aarondonald_lar_2014","aarondonald","lar",2014,"di",73,280,4.68,2014,1,13
"aarondonald_lar_2015","aarondonald","lar",2015,"di",73,280,4.68,2014,1,13
"aarondonald_lar_2016","aarondonald","lar",2016,"di",73,280,4.68,2014,1,13
"aarondonald_lar_2017","aarondonald","lar",2017,"di",73,280,4.68,2014,1,13
"aarondonald_lar_2018","aarondonald","lar",2018,"di",73,280,4.68,2014,1,13
"aarondonald_lar_2019","aarondonald","lar",2019,"di",73,280,4.68,2014,1,13
"aaronfrancisco_ari_2006","aaronfrancisco","ari",2006,"s",74,206,4.74,2005,10,300
"aaronfrancisco_ari_2007","aaronfrancisco","ari",2007,"s",74,206,4.74,2005,10,300
"aaronfrancisco_ari_2008","aaronfrancisco","ari",2008,"s",74,206,4.74,2005,10,300
"aaronfrancisco_ind_2009","aaronfrancisco","ind",2009,"s",74,206,4.74,2005,10,300
"aaronfrancisco_ind_2010","aaronfrancisco","ind",2010,"s",74,206,4.74,2005,10,300
"aaronglenn_dal_2006","aaronglenn","dal",2006,"cb",69,185,4.45,1994,1,12
"aaronglenn_jax_2007","aaronglenn","jax",2007,"cb",69,185,4.45,1994,1,12
"aaronglenn_no_2008","aaronglenn","no",2008,"cb",69,185,4.45,1994,1,12
"aarongreen_lar_2016","aarongreen","lar",2016,"hb",70,202,,2016,10,300
"aarongrymes_phi_2016","aarongrymes","phi",2016,"cb",71,183,,2016,10,300
"aaronhalterman_mia_2007","aaronhalterman","mia",2007,"te",77,256,4.9,2005,10,300
"aaronhernandez_ne_2010","aaronhernandez","ne",2010,"te",74,250,,2010,4,113
"aaronhernandez_ne_2011","aaronhernandez","ne",2011,"te",74,250,,2010,4,113
"aaronhernandez_ne_2012","aaronhernandez","ne",2012,"te",74,250,,2010,4,113
"aaronhernandez_ne_2013","aaronhernandez","ne",2013,"te",74,250,,2010,4,113
"aaronjones_gb_2017","aaronjones","gb",2017,"hb",69,208,4.56,2017,5,182
"aaronjones_gb_2018","aaronjones","gb",2018,"hb",69,208,4.56,2017,5,182
"aaronjones_gb_2019","aaronjones","gb",2019,"hb",69,208,4.56,2017,5,182
"aaronkampman_gb_2006","aaronkampman","gb",2006,"ed",76,284,4.96,2002,5,156
"aaronkampman_gb_2007","aaronkampman","gb",2007,"ed",76,284,4.96,2002,5,156
