"unique_id","player","team","year","position","height","wt","speed","draft_yr","round","selection"
"aaronburbridge_sf_2016","aaronburbridge","sf",2016,"wr",73,208,4.56,2016,6,213
"aaronburbridge_sf_2017","aaronburbridge","sf",2017,"wr",73,208,4.56,2016,6,213
"aaroncolvin_jax_2014","aaroncolvin","jax",2014,"cb",72,191,,2014,4,114
"aaroncolvin_jax_2015","aaroncolvin","jax",2015,"cb",72,191,,2014,4,114
"aaroncolvin_jax_2016","aaroncolvin","jax",2016,"cb",72,191,,2014,4,114
"aaroncolvin_jax_2017","aaroncolvin","jax",2017,"cb",72,191,,2014,4,114
"aaroncolvin_hou_2018","aaroncolvin","hou",2018,"cb",72,191,,2014,4,114
"aaroncolvin_hou_2019","aaroncolvin","hou",2019,"cb",72,191,,2014,4,114
"aaroncolvin_was_2019","aaroncolvin","was",2019,"cb",72,191,,2014,4,114
"aarondonald_lar_2014","aarondonald","lar",2014,"di",73,280,4.68,2014,1,13
"aarondonald_lar_2015","aarondonald","lar",2015,"di",73,280,4.68,2014,1,13
"aarondonald_lar_2016","aarondonald","lar",2016,"di",73,280,4.68,2014,1,13
"aarondonald_lar_2017","aarondonald","lar",2017,"di",73,280,4.68,2014,1,13
"aarondonald_lar_2018","aarondonald","lar",2018,"di",73,280,4.68,2014,1,13
"aarondonald_lar_2019","aarondonald","lar",2019,"di",73,280,4.68,2014,1,13
"aarongreen_lar_2016","aarongreen","lar",2016,"hb",70,202,,2016,10,300
"aarongrymes_phi_2016","aarongrymes","phi",2016,"cb",71,183,,2016,10,300
"aaronjones_gb_2017","aaronjones","gb",2017,"hb",69,208,4.56,2017,5,182
"aaronjones_gb_2018","aaronjones","gb",2018,"hb",69,208,4.56,2017,5,182
"aaronjones_gb_2019","aaronjones","gb",2019,"hb",69,208,4.56,2017,5,182
"aaronlynch_sf_2014","aaronlynch","sf",2014,"ed",78,270,,2014,5,150
"aaronlynch_sf_2015","aaronlynch","sf",2015,"ed",78,270,,2014,5,150
"aaronlynch_sf_2016","aaronlynch","sf",2016,"ed",78,270,,2014,5,150
"aaronlynch_sf_2017","aaronlynch","sf",2017,"ed",78,270,,2014,5,150
"aaronlynch_chi_2018","aaronlynch","chi",2018,"ed",78,270,,2014,5,150
"aaronlynch_chi_2019","aaronlynch","chi",2019,"ed",78,270,,2014,5,150
"aaronneary_lar_2017","aaronneary","lar",2017,"ol",76,299,,2016,10,300
"aaronneary_lar_2018","aaronneary","lar",2018,"ol",76,299,,2016,10,300
"aaronripkowski_gb_2015","aaronripkowski","gb",2015,"fb",73,246,,2015,6,206
"aaronripkowski_gb_2016","aaronripkowski","gb",2016,"fb",73,246,,2015,6,206
"aaronripkowski_gb_2017","aaronripkowski","gb",2017,"fb",73,246,,2015,6,206
"aaronripkowski_gb_2018","aaronripkowski","gb",2018,"fb",73,246,,2015,6,206
"aaronstinnie_ten_2018","aaronstinnie","ten",2018,"g",75,312,,2018,10,300
"aaronstinnie_tb_2019","aaronstinnie","tb",2019,"g",75,312,,2018,10,300
"aaronstinnie_ten_2019","aaronstinnie","ten",2019,"g",75,312,,2018,10,300
"aaronwallace_ten_2016","aaronwallace","ten",2016,"ed",74,242,,2016,7,222
"aaronwallace_ten_2017","aaronwallace","ten",2017,"ed",74,242,,2016,7,222
"aaronwallace_ten_2018","aaronwallace","ten",2018,"ed",74,242,,2016,7,222
"abdullahanderson_chi_2019","abdullahanderson","chi",2019,"di",76,295,,2018,10,300
"adairiusbarnes_det_2016","adairiusbarnes","det",2016,"cb",71,186,,2016,10,300
"adambighill_no_2017","adambighill","no",2017,"lb",70,230,,2017,10,300
"adambisnowaty_nyg_2017","adambisnowaty","nyg",2017,"t",78,305,5.23,2017,6,200
"adambisnowaty_nyg_2018","adambisnowaty","nyg",2018,"t",78,305,5.23,2017,6,200
"adambutler_ne_2017","adambutler","ne",2017,"di",76,300,,2017,10,300
"adambutler_ne_2018","adambutler","ne",2018,"di",76,300,,2017,10,300
"adambutler_ne_2019","adambutler","ne",2019,"di",76,300,,2017,10,300
"adamgotsis_den_2016","adamgotsis","den",2016,"di",76,287,,2016,2,63
"adamgotsis_den_2017","adamgotsis","den",2017,"di",76,287,,2016,2,63
"adamgotsis_den_2018","adamgotsis","den",2018,"di",76,287,,2016,2,63
"adamgotsis_den_2019","adamgotsis","den",2019,"di",76,287,,2016,2,63
"adamhumphries_tb_2015","adamhumphries","tb",2015,"wr",71,195,,2015,10,300
"adamhumphries_tb_2016","adamhumphries","tb",2016,"wr",71,195,,2015,10,300
"adamhumphries_tb_2017","adamhumphries","tb",2017,"wr",71,195,,2015,10,300
"adamhumphries_tb_2018","adamhumphries","tb",2018,"wr",71,195,,2015,10,300
"adamhumphries_tb_2019","adamhumphries","tb",2019,"wr",71,195,,2015,10,300
"adamhumphries_ten_2019","adamhumphries","ten",2019,"wr",71,195,,2015,10,300
"adampankey_gb_2017","adampankey","gb",2017,"g",77,313,,2017,10,300
"adampankey_gb_2018","adampankey","gb",2018,"g",77,313,,2017,10,300
"adampankey_mia_2019","adampankey","mia",2019,"t",77,313,,2017,10,300
"adamredmond_ind_2017","adamredmond","ind",2017,"g",78,300,,2016,10,300
"adamredmond_dal_2018","adamredmond","dal",2018,"g",78,300,,2016,10,300
"adamredmond_dal_2019","adamredmond","dal",2019,"g",78,300,,2016,10,300
"adamshaheen_chi_2017","adamshaheen","chi",2017,"te",77,270,4.79,2017,2,45
"adamshaheen_chi_2018","adamshaheen","chi",2018,"te",77,270,4.79,2017,2,45
"adamshaheen_chi_2019","adamshaheen","chi",2019,"te",77,270,4.79,2017,2,45
"adariustaylor_car_2014","adariustaylor","car",2014,"lb",72,230,,2014,10,300
"adariustaylor_tb_2015","adariustaylor","tb",2015,"lb",72,230,,2014,10,300
"adariustaylor_tb_2016","adariustaylor","tb",2016,"lb",72,230,,2014,10,300
"adariustaylor_tb_2017","adariustaylor","tb",2017,"lb",72,230,,2014,10,300
"adariustaylor_tb_2018","adariustaylor","tb",2018,"lb",72,230,,2014,10,300
"adariustaylor_cle_2019","adariustaylor","cle",2019,"lb",72,230,,2014,10,300
"adolphuswashington_buf_2016","adolphuswashington","buf",2016,"di",76,295,5.17,2016,3,80
"adolphuswashington_buf_2017","adolphuswashington","buf",2017,"di",76,295,5.17,2016,3,80
"adolphuswashington_buf_2018","adolphuswashington","buf",2018,"di",76,295,5.17,2016,3,80
"adolphuswashington_cin_2018","adolphuswashington","cin",2018,"di",76,295,5.17,2016,3,80
"adonisalexander_was_2018","adonisalexander","was",2018,"cb",75,207,,2018,6,300
"adoreejackson_ten_2017","adoreejackson","ten",2017,"cb",71,185,4.42,2017,1,18
