player_name,match_name,score
johnabraham_ari_2014,johnabraham_ari_2014,100
samacho_ari_2014,samacho_ari_2014,100
lorenzoalexander_ari_2014,lorenzoalexander_ari_2014,100
marcusbenard_ari_2014,marcusbenard_ari_2014,100
justinbethel_ari_2014,justinbethel_ari_2014,100
desmondbishop_ari_2014,,0
jaronbrown_ari_2014,jaronbrown_ari_2014,100
johnbrown_ari_2014,johnbrown_ari_2014,100
deonebucannon_ari_2014,deonebucannon_ari_2014,100
calaiscampbell_ari_2014,calaiscampbell_ari_2014,100
johncarlson_ari_2014,johncarlson_ari_2014,100
glenncarson_ari_2014,glenncarson_ari_2014,100
jonathancooper_ari_2014,jonathancooper_ari_2014,100
antoniocromartie_ari_2014,antoniocromartie_ari_2014,100
kennydemens_ari_2014,kennydemens_ari_2014,100
darnelldockett_ari_2014,,0
jonathandwyer_ari_2014,jonathandwyer_ari_2014,100
andreellington_ari_2014,andreellington_ari_2014,100
paulfanaika_ari_2014,paulfanaika_ari_2014,100
larryfitzgerald_ari_2014,larryfitzgerald_ari_2014,100
michaelfloyd_ari_2014,michaelfloyd_ari_2014,100
larryfoote_ari_2014,larryfoote_ari_2014,100
robhousler_ari_2014,robhousler_ari_2014,100
roberthughes_ari_2014,roberthughes_ari_2014,100
tonyjefferson_ari_2014,tonyjefferson_ari_2014,100
rashadjohnson_ari_2014,rashadjohnson_ari_2014,100
tedlarsen_ari_2014,tedlarsen_ari_2014,100
bobbymassie_ari_2014,bobbymassie_ari_2014,100
tyrannmathieu_ari_2014,tyrannmathieu_ari_2014,100
kevinminter_ari_2014,kevinminter_ari_2014,100
troyniklas_ari_2014,troyniklas_ari_2014,100
alexokafor_ari_2014,alexokafor_ari_2014,100
carsonpalmer_ari_2014,carsonpalmer_ari_2014,100
patrickpeterson_ari_2014,patrickpeterson_ari_2014,100
frosteerucker_ari_2014,frosteerucker_ari_2014,100
lylesendlein_ari_2014,lylesendlein_ari_2014,100
mattshaughnessy_ari_2014,mattshaughnessy_ari_2014,100
drewstanton_ari_2014,drewstanton_ari_2014,100
edstinson_ari_2014,edstinson_ari_2014,100
alamedataamu_ari_2014,alamedataamu_ari_2014,100
stepfantaylor_ari_2014,stepfantaylor_ari_2014,100
jaredveldheer_ari_2014,jaredveldheer_ari_2014,100
darylwashington_ari_2014,,0
eddiewhitley_ari_2014,,0
danwilliams_ari_2014,danwilliams_ari_2014,100
kerwynnwilliams_ari_2014,kerwynnwilliams_ari_2014,100
davezastudil_ari_2014,davezastudil_ari_2014,100
justinbethel_ari_2015,justinbethel_ari_2015,100
johnbrown_ari_2015,johnbrown_ari_2015,100
deonebucannon_ari_2015,deonebucannon_ari_2015,100
calaiscampbell_ari_2015,calaiscampbell_ari_2015,100
geraldchristian_ari_2015,,0
chrisclemons_ari_2015,chrisclemons_ari_2015,100
jonathancooper_ari_2015,jonathancooper_ari_2015,100
kennydemens_ari_2015,kennydemens_ari_2015,100
andreellington_ari_2015,andreellington_ari_2015,100
darrenfells_ari_2015,darrenfells_ari_2015,100
larryfitzgerald_ari_2015,larryfitzgerald_ari_2015,100
