home_matchup_id,away_matchup_id,team_id,schedule_season,schedule_week,team_home_abb,score_home,score_away,away_team_abb,team_favorite_id,spread_favorite,over_under_line,starting_spread,Total Score Open,fav_team_open,fav_team_cur,remain_fav,spread_movement,ou_movement,strong_movement,fav_team_stronger,fav_spread,team_notfav_id,fav_cover,over_under_result,precip,dome,temperature,wind_mph,team_abb,homeoraway,fav_homeoraway,ats_w,ats_l
arivslac_2014_1,lac@ari_2014_1,ari_2014_1,2014,1,ari,18.0,17.0,lac,ari,-3.0,45.5,-3.5,44.5,arizona cardinals,arizona cardinals,1,0.5,1.0,0,0,-3.0,lac,no cover,under,0,1,70,0,ari,1,0,0,1
arivssf_2014_3,sf@ari_2014_3,ari_2014_3,2014,3,ari,23.0,14.0,sf,sf,-3.0,41.0,-2.5,42.0,san francisco 49ers,san francisco 49ers,1,-0.5,-1.0,0,1,-3.0,ari,no cover,under,0,1,70,0,ari,1,1,1,0
arivswas_2014_6,was@ari_2014_6,ari_2014_6,2014,6,ari,30.0,20.0,was,ari,-5.0,47.0,-3.5,45.0,arizona cardinals,arizona cardinals,1,-1.5,2.0,0,1,-5.0,was,cover,over,0,1,70,0,ari,1,0,1,0
arivsphi_2014_8,phi@ari_2014_8,ari_2014_8,2014,8,ari,24.0,20.0,phi,ari,-1.0,49.0,-3.0,48.0,arizona cardinals,arizona cardinals,1,2.0,1.0,0,0,-1.0,phi,cover,under,0,1,70,0,ari,1,0,1,0
arivslar_2014_10,lar@ari_2014_10,ari_2014_10,2014,10,ari,31.0,14.0,lar,ari,-7.0,43.0,-7.0,43.0,arizona cardinals,arizona cardinals,1,0.0,0.0,0,0,-7.0,lar,cover,over,0,1,70,0,ari,1,0,1,0
arivsdet_2014_11,det@ari_2014_11,ari_2014_11,2014,11,ari,14.0,6.0,det,det,-1.0,41.5,-2.5,41.5,arizona cardinals,detroit lions,0,3.5,0.0,1,0,-1.0,ari,no cover,under,0,1,70,0,ari,1,1,1,0
arivskc_2014_14,kc@ari_2014_14,ari_2014_14,2014,14,ari,17.0,14.0,kc,kc,-2.5,41.5,0.0,41.5,kansas city chiefs,kansas city chiefs,1,-2.5,0.0,0,1,-2.5,ari,no cover,under,0,1,70,0,ari,1,1,1,0
arivssea_2014_16,sea@ari_2014_16,ari_2014_16,2014,16,ari,6.0,35.0,sea,sea,-9.5,36.5,-7.5,39.5,seattle seahawks,seattle seahawks,1,-2.0,-3.0,0,1,-9.5,ari,cover,over,0,1,70,0,ari,1,1,0,1
arivsno_2015_1,no@ari_2015_1,ari_2015_1,2015,1,ari,31.0,19.0,no,ari,-2.0,48.5,-2.5,47.0,arizona cardinals,arizona cardinals,1,0.5,1.5,0,0,-2.0,no,cover,over,0,1,70,0,ari,1,0,1,0
arivssf_2015_3,sf@ari_2015_3,ari_2015_3,2015,3,ari,47.0,7.0,sf,ari,-7.0,45.0,-6.0,44.0,arizona cardinals,arizona cardinals,1,-1.0,1.0,0,1,-7.0,sf,cover,over,0,1,70,0,ari,1,0,1,0
