team_id,year,team,week,opp,total_dvoa,off_dvoa,off_pass_dvoa,off_rush_dvoa,def_dvoa,def_pass_dvoa,def_rush_dvoa,special_teams_dvoa,unique_team_id,home_matchup_id,pf,pa,overall_performance,offense,pass,pass_blocking,receiving,rushing,run_blocking,defense,rush_defense,tackling,pass_rush,coverage,fav_homeoraway,team_favorite_id,fav_cover,spread_favorite,over_under_line,starting_spread,Total Score Open,spread_movement,precip,dome,temperature,wind_mph,ou_movement,strong_movement,fav_team_stronger,fav_spread,ats_w,ats_l
ari_2014_1,2014,ari,1,sd,,,,,,,,,ari_2014_1,arivslac_2014_1,,,,,,,,,,,,,,,0.0,ari,no cover,-3.0,45.5,-3.5,44.5,0.5,0.0,1.0,70.0,0.0,1.0,0,0,-3.0,0.0,1.0
ari_2014_2,2014,ari,2,nyg,0.59,0.53,0.53,0.51,0.61,0.59,0.61,0.35,ari_2014_2,nygvsari_2014_2,18.0,17.0,65.3,68.0,55.8,70.6,74.4,51.1,71.8,60.1,73.6,60.7,54.8,54.5,0.0,nyg,no cover,-1.0,41.5,-2.0,45.0,1.0,0.0,0.0,71.0,5.0,-3.5,0,0,-1.0,0.0,1.0
ari_2014_3,2014,ari,3,sf,0.625,0.505,0.45,0.5700000000000001,0.56,0.5700000000000001,0.55,0.61,ari_2014_3,arivssf_2014_3,21.5,15.5,64.4,65.75,58.599999999999994,68.85,67.35,56.1,68.1,59.900000000000006,77.4,67.5,57.2,50.25,1.0,sf,no cover,-3.0,41.0,-2.5,42.0,-0.5,0.0,1.0,70.0,0.0,-1.0,0,1,-3.0,1.0,0.0
ari_2014_5,2014,ari,5,den,0.6133333333333333,0.5499999999999999,0.5166666666666667,0.5499999999999999,0.49,0.53,0.49333333333333335,0.61,ari_2014_5,denvsari_2014_5,22.0,15.0,64.26666666666667,65.86666666666666,61.4,72.46666666666665,68.06666666666666,58.1,62.300000000000004,58.333333333333336,71.83333333333333,66.5,55.86666666666667,52.23333333333333,0.0,den,cover,-8.0,47.0,-8.0,49.0,0.0,0.0,0.0,72.0,8.0,-2.0,0,0,-8.0,1.0,0.0
ari_2014_6,2014,ari,6,was,0.56,0.5333333333333333,0.48666666666666664,0.56,0.4066666666666667,0.48333333333333334,0.4166666666666667,0.6366666666666666,ari_2014_6,arivswas_2014_6,22.666666666666668,23.0,59.73333333333333,58.0,58.73333333333333,70.26666666666667,58.06666666666666,57.46666666666667,54.73333333333334,60.23333333333334,72.2,68.10000000000001,53.333333333333336,56.4,0.0,ari,cover,-5.0,47.0,-3.5,45.0,-1.5,0.0,1.0,70.0,0.0,2.0,0,1,-5.0,1.0,0.0
ari_2014_7,2014,ari,7,oak,0.52,0.52,0.5066666666666667,0.5266666666666667,0.39999999999999997,0.49,0.3933333333333333,0.5533333333333333,ari_2014_7,oakvsari_2014_7,24.333333333333332,25.0,59.800000000000004,59.63333333333333,62.86666666666667,68.73333333333333,59.333333333333336,53.4,58.93333333333334,57.96666666666667,65.13333333333334,67.93333333333334,49.70000000000001,60.4,1.0,ari,cover,-3.5,46.0,-3.5,43.5,0.0,0.0,0.0,70.0,14.0,2.5,0,0,-3.5,0.0,1.0
ari_2014_8,2014,ari,8,phi,0.5133333333333333,0.5033333333333333,0.48,0.5633333333333334,0.42,0.5033333333333333,0.3933333333333333,0.5299999999999999,ari_2014_8,arivsphi_2014_8,24.666666666666668,24.666666666666668,62.800000000000004,60.666666666666664,61.03333333333333,68.3,59.666666666666664,49.666666666666664,65.46666666666667,63.833333333333336,70.63333333333334,72.93333333333334,51.1,64.83333333333333,0.0,ari,cover,-1.0,49.0,-3.0,48.0,2.0,0.0,1.0,70.0,0.0,1.0,0,0,-1.0,1.0,0.0
ari_2014_9,2014,ari,9,dal,0.5666666666666668,0.5333333333333333,0.5066666666666667,0.5833333333333334,0.4566666666666666,0.5366666666666667,0.39999999999999997,0.57,ari_2014_9,dalvsari_2014_9,26.0,17.666666666666668,68.06666666666666,68.66666666666667,71.0,71.86666666666667,65.93333333333332,49.26666666666666,71.46666666666667,63.23333333333333,60.46666666666666,72.56666666666666,54.833333333333336,68.10000000000001,0.0,dal,no cover,-1.5,45.0,-3.0,44.5,1.5,0.0,0.0,64.0,0.0,0.5,0,0,-1.5,0.0,1.0
ari_2014_10,2014,ari,10,stl,0.6333333333333333,0.5766666666666667,0.5333333333333333,0.6033333333333334,0.5466666666666666,0.6133333333333334,0.42333333333333334,0.53,ari_2014_10,arivslar_2014_10,25.333333333333332,16.666666666666668,72.76666666666667,70.63333333333334,71.89999999999999,71.93333333333334,66.2,58.73333333333333,67.83333333333333,70.5,66.0,73.56666666666666,56.833333333333336,74.60000000000001,0.0,ari,cover,-7.0,43.0,-7.0,43.0,0.0,0.0,1.0,70.0,0.0,0.0,0,0,-7.0,1.0,0.0
ari_2014_11,2014,ari,11,det,0.6633333333333334,0.5433333333333333,0.49333333333333335,0.5566666666666666,0.64,0.7033333333333335,0.4333333333333333,0.5333333333333333,ari_2014_11,arivsdet_2014_11,27.666666666666668,17.0,73.36666666666666,71.7,73.5,67.5,68.56666666666666,58.53333333333333,66.53333333333333,70.06666666666666,68.56666666666666,64.23333333333333,56.13333333333333,73.63333333333333,1.0,det,no cover,-1.0,41.5,-2.5,41.5,3.5,0.0,1.0,70.0,0.0,0.0,1,0,-1.0,1.0,0.0
