unique_team_id,team_id_impute,opponent_id,home_matchup_id,team_abb,team,opponent,date,time,wl,dateInt,Date,output,team_name,opponent_name,home_team,away_team,wl_int,year,week,home_or_away,team_num,game_id,pf,pa,overall_performance,offense,pass,pass_blocking,receiving,rushing,run_blocking,defense,rush_defense,tackling,pass_rush,coverage,special_teams
ari_2014_1,ari_2014,lac_2014_1,arivslac_2014_1,ari,arizonacardinals,LosAngelesChargers,09/08,9:20pm,W,2014/09/08,20140908,,ari,lac,ari,lac,1,,,,,,,,,,,,,,,,,,,,
ari_2014_2,ari_2014,nyg_2014_2,nygvsari_2014_2,ari,arizonacardinals,NewYorkGiants,09/14,1:00pm,W,2014/09/14,20140914,6.0,ari,nyg,nyg,ari,1,2014.0,1.0,0.0,1.0,3089.0,18.0,17.0,65.3,68.0,55.8,70.6,74.4,51.1,71.8,60.1,73.6,60.7,54.8,54.5,49.8
ari_2014_3,ari_2014,sf_2014_3,arivssf_2014_3,ari,arizonacardinals,SanFrancisco49ers,09/21,4:05pm,W,2014/09/21,20140921,7.0,ari,sf,ari,sf,1,2014.0,1.5,0.5,1.0,3092.5,21.5,15.5,64.4,65.75,58.599999999999994,68.85,67.35,56.1,68.1,59.900000000000006,77.4,67.5,57.2,50.25,49.3
ari_2014_5,ari_2014,den_2014_5,denvsari_2014_5,ari,arizonacardinals,DenverBroncos,10/05,4:05pm,L,2014/10/05,20141005,14.0,ari,den,den,ari,0,2014.0,2.0,0.3333333333333333,1.0,3100.6666666666665,22.0,15.0,64.26666666666667,65.86666666666666,61.4,72.46666666666665,68.06666666666666,58.1,62.300000000000004,58.333333333333336,71.83333333333333,66.5,55.86666666666667,52.23333333333333,59.0
ari_2014_6,ari_2014,was_2014_6,arivswas_2014_6,ari,arizonacardinals,WashingtonRedskins,10/12,4:25pm,W,2014/10/12,20141012,7.0,ari,was,ari,was,1,2014.0,3.3333333333333335,0.6666666666666666,1.0,3119.3333333333335,22.666666666666668,23.0,59.73333333333333,58.0,58.73333333333333,70.26666666666667,58.06666666666666,57.46666666666667,54.73333333333334,60.23333333333334,72.2,68.10000000000001,53.333333333333336,56.4,59.1
ari_2014_7,ari_2014,oak_2014_7,oakvsari_2014_7,ari,arizonacardinals,OaklandRaiders,10/19,4:25pm,W,2014/10/19,20141019,7.0,ari,oak,oak,ari,1,2014.0,4.666666666666667,0.3333333333333333,1.0,3141.0,24.333333333333332,25.0,59.800000000000004,59.63333333333333,62.86666666666667,68.73333333333333,59.333333333333336,53.4,58.93333333333334,57.96666666666667,65.13333333333334,67.93333333333334,49.70000000000001,60.4,63.23333333333333
ari_2014_8,ari_2014,phi_2014_8,arivsphi_2014_8,ari,arizonacardinals,PhiladelphiaEagles,10/26,4:05pm,W,2014/10/26,20141026,7.0,ari,phi,ari,phi,1,2014.0,6.0,0.6666666666666666,1.0,3161.0,24.666666666666668,24.666666666666668,62.800000000000004,60.666666666666664,61.03333333333333,68.3,59.666666666666664,49.666666666666664,65.46666666666667,63.833333333333336,70.63333333333334,72.93333333333334,51.1,64.83333333333333,58.300000000000004
ari_2014_9,ari_2014,dal_2014_9,dalvsari_2014_9,ari,arizonacardinals,DallasCowboys,11/02,1:00pm,W,2014/11/02,20141102,7.0,ari,dal,dal,ari,1,2014.0,7.0,0.3333333333333333,1.0,3176.0,26.0,17.666666666666668,68.06666666666666,68.66666666666667,71.0,71.86666666666667,65.93333333333332,49.26666666666666,71.46666666666667,63.23333333333333,60.46666666666666,72.56666666666666,54.833333333333336,68.10000000000001,60.333333333333336
ari_2014_10,ari_2014,lar_2014_10,arivslar_2014_10,ari,arizonacardinals,LosAngelesRams,11/09,4:25pm,W,2014/11/09,20141109,7.0,ari,lar,ari,lar,1,2014.0,8.0,0.6666666666666666,1.0,3188.3333333333335,25.333333333333332,16.666666666666668,72.76666666666667,70.63333333333334,71.89999999999999,71.93333333333334,66.2,58.73333333333333,67.83333333333333,70.5,66.0,73.56666666666666,56.833333333333336,74.60000000000001,59.46666666666667
ari_2014_11,ari_2014,det_2014_11,arivsdet_2014_11,ari,arizonacardinals,DetroitLions,11/16,4:25pm,W,2014/11/16,20141116,7.0,ari,det,ari,det,1,2014.0,9.0,0.3333333333333333,1.0,3201.6666666666665,27.666666666666668,17.0,73.36666666666666,71.7,73.5,67.5,68.56666666666666,58.53333333333333,66.53333333333333,70.06666666666666,68.56666666666666,64.23333333333333,56.13333333333333,73.63333333333333,58.699999999999996
ari_2014_12,ari_2014,sea_2014_12,seavsari_2014_12,ari,arizonacardinals,SeattleSeahawks,11/23,4:05pm,L,2014/11/23,20141123,7.0,ari,sea,sea,ari,0,2014.0,10.0,0.3333333333333333,1.0,3215.6666666666665,24.333333333333332,12.333333333333334,75.16666666666667,71.3,64.46666666666667,70.73333333333333,74.2,62.199999999999996,61.699999999999996,73.7,75.4,59.63333333333333,57.166666666666664,74.5,60.53333333333333
ari_2014_13,ari_2014,atl_2014_13,atlvsari_2014_13,ari,arizonacardinals,AtlantaFalcons,11/30,4:05pm,L,2014/11/30,20141130,7.0,ari,atl,atl,ari,0,2014.0,11.0,0.3333333333333333,1.0,3231.3333333333335,16.0,13.0,69.33333333333333,66.3,56.73333333333333,71.80000000000001,71.3,57.300000000000004,61.366666666666674,69.53333333333335,72.10000000000001,55.53333333333333,60.43333333333334,66.46666666666665,64.63333333333334
ari_2014_14,ari_2014,kc_2014_14,arivskc_2014_14,ari,arizonacardinals,KansasCityChiefs,12/07,4:05pm,W,2014/12/07,20141207,7.0,ari,kc,ari,kc,1,2014.0,12.0,0.6666666666666666,1.0,3246.3333333333335,11.666666666666666,18.0,65.03333333333333,63.93333333333334,52.0,76.06666666666666,67.99999999999999,57.166666666666664,62.866666666666674,65.80000000000001,64.73333333333333,59.0,60.43333333333334,63.900000000000006,58.29999999999999
ari_2014_15,ari_2014,lar_2014_15,larvsari_2014_15,ari,arizonacardinals,LosAngelesRams,12/11,8:25pm,W,2014/12/11,20141211,4.0,ari,lar,lar,ari,1,2014.0,13.0,0.6666666666666666,1.0,3261.0,12.666666666666666,20.666666666666668,60.26666666666667,62.93333333333334,47.23333333333333,74.16666666666667,62.23333333333333,60.13333333333335,71.2,58.53333333333333,58.23333333333333,60.0,60.86666666666667,55.199999999999996,60.06666666666666
