team_id,week,year,spread_favorite,over_under_line,fav_cover,starting_spread,Total Score Open,spread_movement,ou_movement,strong_movement,fav_team_stronger,total_dvoa,off_dvoa,off_pass_dvoa,off_rush_dvoa,def_dvoa,def_pass_dvoa,def_rush_dvoa,special_teams_dvoa,pa,pf,overall_performance,offense,pass,pass_blocking,receiving,rushing,run_blocking,defense,rush_defense,tackling,pass_rush,coverage,team_favorite_id,home_matchup_id,dawgfav_homeoraway,dawgprecip,dawgdome,dawgtemperature,dawgwind_mph,dawgtotal_dvoa,dawgoff_dvoa,dawgoff_pass_dvoa,dawgoff_rush_dvoa,dawgdef_dvoa,dawgdef_pass_dvoa,dawgdef_rush_dvoa,dawgspecial_teams_dvoa,dawgunique_team_id,dawgpf,dawgpa,dawgoverall_performance,dawgoffense,dawgpass,dawgpass_blocking,dawgreceiving,dawgrushing,dawgrun_blocking,dawgdefense,dawgrush_defense,dawgtackling,dawgpass_rush,dawgcoverage
ari_2014_6,6,2014.0,-5.0,47.0,cover,-3.5,45.0,-1.5,2.0,0,1,0.56,0.5333333333333333,0.48666666666666664,0.56,0.4066666666666667,0.48333333333333334,0.4166666666666667,0.6366666666666666,23.0,22.666666666666668,59.73333333333333,58.0,58.73333333333333,70.26666666666667,58.06666666666666,57.46666666666667,54.73333333333334,60.23333333333334,72.2,68.10000000000001,53.333333333333336,56.4,ari,arivswas_2014_6,0,0,1,70,0,0.4566666666666667,0.5633333333333334,0.5,0.5666666666666667,0.32666666666666666,0.3566666666666667,0.5333333333333333,0.4200000000000001,was_2014_6,21.666666666666668,36.333333333333336,52.93333333333334,65.13333333333333,62.1,73.7,67.0,50.63333333333333,61.1,44.300000000000004,56.43333333333334,57.76666666666667,61.0,36.0
ari_2014_8,8,2014.0,-1.0,49.0,cover,-3.0,48.0,2.0,1.0,0,0,0.5133333333333333,0.5033333333333333,0.48,0.5633333333333334,0.42,0.5033333333333333,0.3933333333333333,0.5299999999999999,24.666666666666668,24.666666666666668,62.800000000000004,60.666666666666664,61.03333333333333,68.3,59.666666666666664,49.666666666666664,65.46666666666667,63.833333333333336,70.63333333333334,72.93333333333334,51.1,64.83333333333333,ari,arivsphi_2014_8,0,0,1,70,0,0.6266666666666667,0.5433333333333333,0.45,0.6433333333333334,0.47333333333333333,0.5633333333333334,0.3833333333333333,0.6933333333333334,phi_2014_8,27.333333333333332,18.0,70.83333333333333,66.2,59.76666666666667,66.13333333333334,63.53333333333333,53.5,75.43333333333332,69.86666666666666,69.3,73.13333333333334,67.86666666666667,65.66666666666667
ari_2015_3,3,2015.0,-7.0,45.0,cover,-6.0,44.0,-1.0,1.0,0,1,0.86,0.7050000000000001,0.7350000000000001,0.6000000000000001,0.56,0.655,0.475,0.6599999999999999,21.0,39.5,72.55,76.55,79.69999999999999,65.9,76.25,58.900000000000006,65.65,64.65,62.3,42.400000000000006,56.2,69.3,ari,arivssf_2015_3,0,0,1,70,0,0.435,0.525,0.49,0.6599999999999999,0.26,0.39,0.31,0.43,sf_2015_3,19.0,23.0,67.25,71.05,68.5,70.9,65.2,61.900000000000006,66.6,59.95,68.35,66.4,53.95,57.2
ari_2015_7,7,2015.0,-10.0,49.5,no cover,-7.5,48.5,-2.5,1.0,0,1,0.68,0.6166666666666667,0.61,0.61,0.48,0.5266666666666667,0.49666666666666665,0.5033333333333333,22.0,25.666666666666668,74.16666666666667,79.7,81.23333333333333,69.93333333333334,73.73333333333333,56.23333333333333,75.83333333333334,65.93333333333332,63.46666666666666,61.833333333333336,60.63333333333333,71.73333333333333,ari,arivsbal_2015_7,0,0,1,70,0,0.52,0.4566666666666667,0.3766666666666667,0.64,0.36000000000000004,0.45999999999999996,0.4566666666666666,0.6333333333333333,bal_2015_7,24.333333333333332,26.0,70.3,71.93333333333332,60.36666666666665,85.60000000000001,65.39999999999999,64.5,70.53333333333333,62.43333333333334,65.06666666666666,56.76666666666667,59.06666666666666,60.6
ari_2015_11,11,2015.0,-4.0,48.0,no cover,-3.5,47.0,-0.5,1.0,0,1,0.5966666666666667,0.5466666666666667,0.62,0.5233333333333333,0.4366666666666667,0.59,0.34,0.49333333333333335,23.333333333333332,33.0,79.86666666666666,81.33333333333333,81.33333333333333,60.69999999999999,81.4,55.333333333333336,76.53333333333333,67.60000000000001,58.86666666666665,53.300000000000004,64.93333333333332,69.3,ari,arivscin_2015_11,0,0,1,70,0,0.5833333333333334,0.4666666666666666,0.5166666666666667,0.5633333333333334,0.48,0.57,0.4766666666666666,0.5599999999999999,cin_2015_11,17.666666666666668,10.0,69.46666666666667,67.86666666666667,63.099999999999994,75.89999999999999,64.2,64.3,68.13333333333334,66.93333333333334,61.53333333333334,67.8,62.73333333333333,67.7
ari_2015_14,14,2015.0,-10.0,46.5,no cover,-7.5,45.0,-2.5,1.5,0,1,0.64,0.5866666666666666,0.6833333333333332,0.5133333333333333,0.4633333333333334,0.57,0.4266666666666666,0.48,15.666666666666666,26.666666666666668,73.26666666666667,75.46666666666668,72.53333333333333,62.73333333333334,76.8,58.86666666666665,68.46666666666665,64.53333333333333,58.43333333333334,68.56666666666666,62.43333333333334,64.73333333333333,ari,arivsmin_2015_14,0,0,1,70,0,0.49666666666666676,0.45999999999999996,0.4533333333333334,0.5366666666666666,0.3833333333333333,0.4633333333333334,0.39999999999999997,0.5166666666666666,min_2015_14,13.333333333333334,26.0,64.26666666666667,65.1,60.96666666666667,62.699999999999996,63.76666666666667,64.69999999999999,64.43333333333334,60.866666666666674,72.2,61.43333333333334,64.36666666666666,49.800000000000004
ari_2015_16,16,2015.0,-6.0,50.0,cover,-4.5,49.5,-1.5,0.5,0,1,0.7200000000000001,0.69,0.6933333333333334,0.6333333333333333,0.48333333333333334,0.5466666666666666,0.5100000000000001,0.4466666666666666,13.333333333333334,30.0,80.89999999999999,85.10000000000001,79.93333333333332,56.5,76.8,71.39999999999999,81.93333333333334,66.33333333333333,63.93333333333334,68.63333333333334,68.5,60.43333333333334,ari,arivsgb_2015_16,0,0,1,70,0,0.5599999999999999,0.45,0.5033333333333333,0.4633333333333334,0.4666666666666666,0.6366666666666667,0.3,0.54,gb_2015_16,28.333333333333332,16.666666666666668,69.39999999999999,67.93333333333334,65.53333333333333,80.13333333333334,61.50000000000002,55.23333333333333,71.43333333333334,66.96666666666667,63.133333333333326,59.300000000000004,60.96666666666667,66.86666666666667
ari_2015_17,17,2015.0,-6.0,46.5,no cover,-3.5,47.5,-2.5,-1.0,0,1,0.7266666666666666,0.6200000000000001,0.6233333333333333,0.6033333333333334,0.5566666666666668,0.6233333333333334,0.52,0.48999999999999994,15.0,33.666666666666664,79.73333333333333,81.36666666666666,74.66666666666667,64.60000000000001,72.96666666666667,73.43333333333332,77.7,67.26666666666667,68.26666666666667,71.16666666666667,74.76666666666667,57.1,ari,arivssea_2015_17,0,0,1,70,0,0.6866666666666666,0.5866666666666666,0.7066666666666667,0.4833333333333334,0.49,0.5599999999999999,0.5233333333333333,0.5733333333333333,sea_2015_17,27.333333333333332,14.0,75.10000000000001,73.83333333333333,78.56666666666666,73.93333333333334,69.73333333333333,56.70000000000001,67.66666666666667,69.46666666666667,69.13333333333334,71.36666666666666,62.86666666666667,72.63333333333334
ari_2016_2,2,2016.0,-7.5,49.5,cover,-7.0,50.0,-0.5,-0.5,0,1,0.68,0.69,0.5,0.7,0.64,0.57,0.74,0.28,23.0,21.0,76.1,79.1,73.7,59.7,80.2,69.3,63.2,69.3,74.1,53.4,71.3,61.2,ari,arivstb_2016_2,0,0,1,70,0,0.8,0.71,0.7,0.39,0.67,0.58,0.91,0.53,tb_2016_2,31.0,24.0,75.3,81.3,88.6,64.0,73.9,65.2,75.1,60.8,65.6,68.9,61.7,54.7
ari_2016_4,4,2016.0,-10.0,43.5,no cover,-8.5,43.5,-1.5,0.0,0,1,0.5966666666666667,0.5433333333333333,0.44333333333333336,0.5333333333333333,0.6466666666666666,0.6433333333333333,0.58,0.3866666666666667,21.0,26.333333333333332,73.43333333333334,72.06666666666666,63.300000000000004,71.93333333333334,72.13333333333334,68.3,64.46666666666667,70.66666666666667,68.16666666666667,69.2,63.6,70.7,ari,arivslar_2016_4,0,0,1,70,0,0.4366666666666667,0.41333333333333333,0.3433333333333333,0.4266666666666667,0.48666666666666664,0.5,0.5466666666666667,0.5666666666666668,lar_2016_4,15.333333333333334,21.0,68.0,60.800000000000004,58.4,68.96666666666667,58.9,60.166666666666664,60.13333333333333,70.53333333333333,70.0,71.06666666666666,74.13333333333334,63.73333333333333
