home_matchup_id,home_team,away_team,year,week,wl_total,game_count,avg_pf,avg_pa,avg_point_diff,pff_ovr_total,pff_offense_total,pff_pass_total,pff_pass_blocking_total,pff_run_blocking_total,pff_receiving_total,pff_rushing_total,pff_defense_total,pff_rush_defense_total,pff_tackling_total,pff_pass_rush_total,pff_coverage_total,pff_special_teams_total,win_percentage,opp_wl_total,opp_game_count,opp_avg_pf,opp_avg_pa,opp_avg_point_diff,opp_pff_ovr_total,opp_pff_offense_total,opp_pff_pass_total,opp_pff_pass_blocking_total,opp_pff_run_blocking_total,opp_pff_receiving_total,opp_pff_rushing_total,opp_pff_defense_total,opp_pff_rush_defense_total,opp_pff_tackling_total,opp_pff_pass_rush_total,opp_pff_coverage_total,opp_pff_special_teams_total,opp_win_percentage,fav_homeoraway,team_favorite_id,fav_cover,spread_favorite,over_under_line,starting_spread,Total Score Open,spread_movement,precip,dome,temperature,wind_mph,ou_movement,strong_movement,fav_team_stronger,fav_spread,ats_w,ats_l,home_is_fav
arivssf_2014_3,ari,sf,2014,3,2.0,2.0,21.5,15.5,6.0,64.4,65.75,58.599999999999994,68.85,68.1,67.35,56.1,59.900000000000006,77.4,67.5,57.2,50.25,49.3,1.0,1.0,2.0,24.0,22.5,1.5,71.95000000000007,74.6,71.49999999999999,68.69999999999999,72.74999999999997,71.39999999999992,64.84999999999994,64.45000000000006,70.5,69.45000000000002,54.60000000000009,68.70000000000005,61.90000000000003,0.5,1,sf,no cover,-3.0,41.0,-2.5,42.0,0.5,0.0,1.0,70.0,0.0,-1.0,0.0,0.0,-3.0,1,0,0
denvsari_2014_5,den,ari,2014,5,3.0,3.0,22.0,15.0,7.0,64.26666666666667,65.86666666666666,61.4,72.46666666666665,62.300000000000004,68.06666666666666,58.1,58.333333333333336,71.83333333333333,66.5,55.86666666666667,52.23333333333333,59.0,1.0,2.0,3.0,25.0,22.333333333333332,2.6666666666666665,72.86666666666667,76.8,72.23333333333332,77.66666666666667,67.3,74.46666666666665,62.4,63.53333333333335,68.13333333333333,69.3,59.86666666666668,63.90000000000001,62.133333333333326,0.6666666666666666,0,den,cover,-8.0,47.5,-8.0,49.0,0.0,0.0,0.0,72.0,8.0,-2.0,0.0,0.0,-8.0,1,0,1
arivswas_2014_6,ari,was,2014,6,3.0,4.0,21.5,21.5,0.0,61.125,60.5,58.0,70.35,59.0,62.15,55.875,60.2,72.55,66.25,53.7,55.925,56.775,0.75,1.0,5.0,22.4,27.2,-4.8,61.10000000000002,68.46000000000001,68.28,73.49999999999999,62.139999999999986,69.23999999999997,53.81999999999997,52.98000000000002,62.86,58.72000000000001,63.42000000000003,46.32000000000002,43.86,0.2,0,ari,cover,-5.0,46.5,-3.5,45.0,-1.5,0.0,1.0,70.0,0.0,2.0,0.0,1.0,-5.0,1,0,1
oakvsari_2014_7,oak,ari,2014,7,4.0,5.0,23.2,21.2,2.0,61.64,62.08,61.15999999999999,68.78,62.6,62.54,54.48,58.739999999999995,70.03999999999999,67.76,52.7,56.339999999999996,57.660000000000004,0.8,0.0,5.0,15.8,26.8,-11.0,63.64000000000002,63.039999999999985,59.01999999999998,78.85999999999999,62.459999999999994,61.839999999999975,56.51999999999998,61.860000000000014,62.460000000000015,69.34,60.26000000000003,60.420000000000016,61.9,0.0,1,ari,cover,-3.5,46.5,-3.5,43.5,0.0,0.0,0.0,70.0,14.0,2.5,0.0,0.0,-3.5,0,1,0
arivsphi_2014_8,ari,phi,2014,8,5.0,6.0,23.333333333333332,19.833333333333332,3.5,63.53333333333333,63.26666666666667,61.21666666666666,70.38333333333334,63.88333333333333,63.86666666666667,53.88333333333333,61.083333333333336,71.23333333333333,69.71666666666667,53.48333333333333,58.53333333333333,58.65,0.8333333333333334,5.0,6.0,30.5,22.0,8.5,70.15000000000002,66.18333333333332,62.23333333333332,66.05,72.98333333333333,64.66666666666664,51.683333333333316,68.10000000000002,73.08333333333333,72.86666666666667,64.00000000000003,63.216666666666676,68.53333333333333,0.8333333333333334,0,ari,cover,-1.0,48.5,-3.0,48.0,2.0,0.0,1.0,70.0,0.0,1.0,0.0,0.0,-1.0,1,0,1
dalvsari_2014_9,dal,ari,2014,9,6.0,7.0,23.428571428571427,19.857142857142858,3.5714285714285716,64.1,64.0,63.57142857142857,71.0,64.34285714285714,63.771428571428565,53.042857142857144,61.5,67.37142857142858,68.95714285714286,54.18571428571429,61.142857142857146,58.300000000000004,0.8571428571428571,6.0,8.0,26.625,20.875,5.75,75.55,77.85,72.07499999999999,79.5125,72.52499999999999,72.02499999999999,67.925,65.0625,58.349999999999994,57.9,63.22500000000001,65.4,60.099999999999994,0.75,0,dal,no cover,-1.5,45.0,-3.0,44.5,1.5,0.0,0.0,64.0,0.0,0.5,0.0,0.0,-1.5,0,1,1
arivslar_2014_10,ari,lar,2014,10,7.0,8.0,24.0,19.5,4.5,65.8125,65.2875,65.1875,69.9625,64.5625,63.9125,56.075,63.15,68.525,69.9375,54.25,63.1875,58.3375,0.875,3.0,8.0,18.625,27.5,-8.875,66.60000000000001,67.6375,61.349999999999994,64.8625,68.875,67.98749999999998,59.224999999999994,59.962500000000006,63.7625,60.06249999999999,64.52500000000002,56.21250000000001,64.14999999999999,0.375,0,ari,cover,-7.0,43.5,-7.0,43.0,0.0,0.0,1.0,70.0,0.0,0.0,0.0,0.0,-7.0,1,0,1
arivsdet_2014_11,ari,det,2014,11,8.0,9.0,24.77777777777778,18.88888888888889,5.888888888888889,66.8111111111111,66.07777777777778,65.3111111111111,69.42222222222222,64.76666666666667,65.43333333333334,55.43333333333333,64.07777777777778,70.34444444444445,67.88888888888889,54.36666666666667,63.56666666666667,58.666666666666664,0.8888888888888888,7.0,9.0,20.22222222222222,15.777777777777779,4.444444444444445,71.25555555555556,68.80000000000001,63.68888888888888,73.47777777777779,62.8111111111111,67.4111111111111,64.1,71.14444444444445,75.12222222222222,58.43333333333333,68.67777777777778,65.03333333333335,55.46666666666667,0.7777777777777778,1,det,no cover,-1.0,41.5,-2.5,41.5,3.5,0.0,1.0,70.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
seavsari_2014_12,sea,ari,2014,12,9.0,10.0,23.7,17.6,6.1,67.42,66.19,63.839999999999996,70.92,63.55,66.9,55.79,65.16,69.78,66.16,55.08,65.15,58.970000000000006,0.9,6.0,10.0,26.0,21.5,4.5,70.42000000000002,70.27,64.55,66.03,69.16,65.76999999999998,69.33,65.27000000000001,67.03999999999999,61.21,64.89000000000001,64.21000000000001,56.13000000000001,0.6,0,sea,cover,-7.5,41.5,-7.0,43.0,-0.5,1.0,0.0,57.0,6.0,-1.0,0.0,1.0,-7.5,1,0,1
atlvsari_2014_13,atl,ari,2014,13,9.0,11.0,21.818181818181817,17.727272727272727,4.090909090909091,66.77272727272727,65.56363636363636,62.881818181818176,70.46363636363637,63.690909090909095,65.92727272727274,56.40909090909091,64.89090909090909,69.5,66.00909090909092,55.93636363636363,64.08181818181818,60.054545454545455,0.8181818181818182,4.0,11.0,23.818181818181817,25.545454545454547,-1.7272727272727273,69.34545454545454,70.23636363636363,71.39090909090909,72.66363636363636,63.13636363636363,67.17272727272727,62.07272727272727,62.445454545454545,69.41818181818182,67.03636363636365,59.34545454545455,56.64545454545455,59.04545454545455,0.36363636363636365,1,ari,no cover,-1.5,45.0,-1.0,44.5,2.5,0.0,1.0,70.0,0.0,1.0,0.0,0.0,-1.5,1,0,0
