,unique_id,name,team,year,position,height,wt,speed,draft_yr,round,selection
0,joeflacco_nyj_2021,joeflacco,nyj,2021,qb,78,245,4.84,2008,1,18
1,joeburrow_cin_2021,joeburrow,cin,2021,qb,76,215,,2020,1,1
2,mattryan_ind_2021,mattryan,ind,2021,qb,76,220,4.89,2008,1,3
3,trevorlawrence_jax_2021,trevorlawrence,jax,2021,qb,78,213,,2021,1,1
4,russellwilson_den_2021,russellwilson,den,2021,qb,71,215,4.55,2012,3,75
5,matthewstafford_lar_2021,matthewstafford,lar,2021,qb,75,220,4.81,2009,1,1
6,carsonwentz_was_2021,carsonwentz,was,2021,qb,77,237,4.77,2016,1,2
7,patrickmahomes_kc_2021,patrickmahomes,kc,2021,qb,74,225,4.8,2017,1,10
8,mitchelltrubisky_pit_2021,mitchelltrubisky,pit,2021,qb,75,222,4.67,2017,1,2
9,davismills_hou_2021,davismills,hou,2021,qb,76,225,,2021,3,67
10,derekcarr_lv_2021,derekcarr,lv,2021,qb,75,210,4.69,2014,2,36
11,jaredgoff_det_2021,jaredgoff,det,2021,qb,76,217,4.82,2016,1,1
12,kylermurray_ari_2021,kylermurray,ari,2021,qb,70,207,,2019,1,1
13,jacobybrissett_cle_2021,jacobybrissett,cle,2021,qb,76,235,4.94,2016,3,91
14,justinherbert_lac_2021,justinherbert,lac,2021,qb,78,236,,2020,1,6
15,jameiswinston_no_2021,jameiswinston,no,2021,qb,76,231,4.97,2015,1,1
16,aaronrodgers_gb_2021,aaronrodgers,gb,2021,qb,74,225,4.71,2005,1,24
17,tuatagovailoa_mia_2021,tuatagovailoa,mia,2021,qb,73,217,,2020,1,5
18,marcusmariota_atl_2021,marcusmariota,atl,2021,qb,76,222,4.52,2015,1,2
19,ryantannehill_ten_2021,ryantannehill,ten,2021,qb,76,217,,2012,1,8
20,jalenhurts_phi_2021,jalenhurts,phi,2021,qb,73,223,,2020,2,53
21,kirkcousins_min_2021,kirkcousins,min,2021,qb,75,205,4.93,2012,4,102
22,joshallen_buf_2021,joshallen,buf,2021,qb,77,237,4.75,2018,1,7
23,macjones_ne_2021,macjones,ne,2021,qb,75,217,,2021,1,15
24,lamarjackson_bal_2021,lamarjackson,bal,2021,qb,74,230,,2018,1,32
25,dakprescott_dal_2021,dakprescott,dal,2021,qb,74,238,4.79,2016,4,135
26,treylance_sf_2021,treylance,sf,2021,qb,76,224,,2021,1,3
27,genosmith_sea_2021,genosmith,sea,2021,qb,75,221,4.59,2013,2,39
28,bakermayfield_car_2021,bakermayfield,car,2021,qb,73,215,4.84,2018,1,1
29,tombrady_tb_2021,tombrady,tb,2021,qb,76,225,5.28,2000,6,199
30,danieljones_nyg_2021,danieljones,nyg,2021,qb,77,230,,2019,1,6
31,justinfields_chi_2021,justinfields,chi,2021,qb,75,228,,2021,1,11
32,cooperrush_dal_2021,cooperrush,dal,2021,qb,75,225,4.93,2017,10,300
33,jordanlove_gb_2021,jordanlove,gb,2021,qb,76,219,,2020,1,26
34,tracemcsorley_ari_2021,tracemcsorley,ari,2021,qb,72,202,,2019,6,197
35,jimmygaroppolo_sf_2021,jimmygaroppolo,sf,2021,qb,74,225,4.97,2014,2,62
36,malikwillis_ten_2021,malikwillis,ten,2021,qb,73,219,,2022,3,86
37,casekeenum_buf_2021,casekeenum,buf,2021,qb,73,215,4.82,2012,10,300
38,deejaydallas_sea_2021,deejaydallas,sea,2021,hb,70,215,,2020,4,144
39,bradenmann_nyj_2021,bradenmann,nyj,2021,p,71,198,,2020,6,191
40,teddybridgewater_mia_2021,teddybridgewater,mia,2021,qb,74,212,,2014,1,32
41,mackhollins_lv_2021,mackhollins,lv,2021,wr,76,221,4.53,2017,4,118
42,tommytownsend_kc_2021,tommytownsend,kc,2021,p,73,191,,2020,10,300
43,zachwilson_nyj_2021,zachwilson,nyj,2021,qb,74,214,,2021,1,2
44,andydalton_no_2021,andydalton,no,2021,qb,74,220,4.83,2011,2,35
45,baileyzappe_ne_2021,baileyzappe,ne,2021,qb,73,220,,2022,4,137
46,kennypickett_pit_2021,kennypickett,pit,2021,qb,75,220,,2022,1,20
47,brianhoyer_ne_2021,brianhoyer,ne,2021,qb,74,216,5.02,2009,10,300
48,tyrodtaylor_nyg_2021,tyrodtaylor,nyg,2021,qb,73,217,4.47,2011,6,180
49,jackfox_det_2021,jackfox,det,2021,p,74,215,,2019,10,300
50,tylerboyd_cin_2021,tylerboyd,cin,2021,wr,74,203,4.58,2016,2,55
51,ryanwright_min_2021,ryanwright,min,2021,p,75,245,,2022,10,300
52,braxtonberrios_nyj_2021,braxtonberrios,nyj,2021,wr,69,190,,2018,6,210
53,jonathantaylor_ind_2021,jonathantaylor,ind,2021,hb,70,226,,2020,2,41
54,joemixon_cin_2021,joemixon,cin,2021,hb,73,220,,2017,2,48
55,cordarrellepatterson_atl_2021,cordarrellepatterson,atl,2021,hb,74,220,4.42,2013,1,29
56,nickchubb_cle_2021,nickchubb,cle,2021,hb,71,227,4.52,2018,2,35
