p_id,player,player_team_id,unique_team_id,team_id_impute,numeric_id,position,team_name,year,week,rush_summary_player_game_count,rush_summary_attempts,rush_summary_avoided_tackles,rush_summary_breakaway_attempts,rush_summary_breakaway_percent,rush_summary_breakaway_yards,rush_summary_declined_penalties,rush_summary_designed_yards,rush_summary_drops,rush_summary_elu_recv_mtf,rush_summary_elu_rush_mtf,rush_summary_elu_yco,rush_summary_elusive_rating,rush_summary_explosive,rush_summary_first_downs,rush_summary_franchise_id,rush_summary_fumbles,rush_summary_gap_attempts,rush_summary_grades_hands_fumble,rush_summary_grades_offense,rush_summary_grades_offense_penalty,rush_summary_grades_pass,rush_summary_grades_pass_block,rush_summary_grades_pass_route,rush_summary_grades_run,rush_summary_grades_run_block,rush_summary_longest,rush_summary_penalties,rush_summary_rec_yards,rush_summary_receptions,rush_summary_routes,rush_summary_run_plays,rush_summary_scramble_yards,rush_summary_scrambles,rush_summary_targets,rush_summary_total_touches,rush_summary_touchdowns,rush_summary_yards,rush_summary_yards_after_contact,rush_summary_yco_attempt,rush_summary_ypa,rush_summary_yprr,rush_summary_zone_attempts,rush_summary_unique_team_id
aaronjones_gb_2017_4,aaronjones,aaronjones_gb_2017,gb_2017_4,gb_2017,11937,hb,gb,2017,4,1,13,2,0,0.0,0,0,49,0,0,2,26.0,30.8,1,3,12,0,6,74.7,60.6,75.1,60.309,79.9,52.6,61.4,60.0,11,0,0,0,11,14,0,0,0,13,1,49,26.0,2.0,3.8,0.0,7,
aaronjones_gb_2017_5,aaronjones,aaronjones_gb_2017,gb_2017_5,gb_2017,11937,hb,gb,2017,5,1,19,5,2,29.6,37,0,125,0,0,5,54.0,71.1,5,7,12,0,10,77.0,76.6,77.5,60.309,83.0,59.5,78.0,60.3950445259298,22,0,9,1,26,19,0,0,1,20,1,125,54.0,2.84,6.6,0.35,9,
aaronjones_gb_2017_6,aaronjones,aaronjones_gb_2017,gb_2017_6,gb_2017,11937,hb,gb,2017,6,1,13,1,0,0.0,0,0,41,0,0,1,24.0,13.2,0,1,12,0,2,74.9,58.0,76.1,60.309,25.7,52.2,62.4,60.3950445259298,9,0,1,1,27,13,0,0,2,14,0,41,24.0,1.85,3.2,0.04,11,
aaronjones_gb_2017_7,aaronjones,aaronjones_gb_2017,gb_2017_7,gb_2017,11937,hb,gb,2017,7,1,17,2,3,62.6,82,0,131,0,0,2,62.0,36.5,3,5,12,0,8,76.7,80.0,77.1,60.309,86.8,58.6,80.0,60.0,46,0,7,3,14,18,0,0,4,20,1,131,62.0,3.65,7.7,0.5,9,
aaronjones_gb_2017_9,aaronjones,aaronjones_gb_2017,gb_2017_9,gb_2017,11937,hb,gb,2017,9,1,5,0,0,0.0,0,0,12,0,0,0,11.0,0.0,0,1,12,0,1,70.9,56.1,72.4,60.309,17.0,60.8,58.9,60.0,4,0,-1,2,10,8,0,0,4,7,0,12,11.0,2.2,2.4,-0.1,4,
aaronjones_gb_2017_10,aaronjones,aaronjones_gb_2017,gb_2017_10,gb_2017,11937,hb,gb,2017,10,1,3,1,0,0.0,0,0,12,0,0,1,5.0,41.7,0,0,12,0,2,68.2,67.5,68.5,60.309,63.6519979079498,59.8,67.0,60.3950445259298,6,0,0,1,3,3,0,0,1,4,0,12,5.0,1.67,4.0,0.0,1,
aaronjones_gb_2017_13,aaronjones,aaronjones_gb_2017,gb_2017_13,gb_2017,11937,hb,gb,2017,13,1,1,0,1,100.0,20,0,20,0,0,0,0.0,0.0,1,1,12,0,1,61.9,92.7,66.4,60.309,63.6519979079498,59.9,81.2,60.3950445259298,20,0,0,0,1,1,0,0,0,1,1,20,0.0,0.0,20.0,0.0,0,
aaronjones_gb_2017_14,aaronjones,aaronjones_gb_2017,gb_2017_14,gb_2017,11937,hb,gb,2017,14,1,4,0,0,0.0,0,0,-2,0,0,0,5.0,0.0,0,0,12,0,1,68.6,47.6,70.2,60.309,18.0,59.7,54.4,60.0,1,0,0,0,1,5,0,0,0,4,0,-2,5.0,1.25,-0.5,0.0,3,
aaronjones_gb_2017_15,aaronjones,aaronjones_gb_2017,gb_2017_15,gb_2017,11937,hb,gb,2017,15,1,3,2,2,91.5,43,0,47,0,0,2,39.0,650.0,2,2,12,0,0,68.2,72.4,76.8,60.309,31.9,71.0,75.3,60.3950445259298,23,0,6,1,16,3,0,0,1,4,0,47,39.0,13.0,15.7,0.38,3,
aaronjones_gb_2017_16,aaronjones,aaronjones_gb_2017,gb_2017_16,gb_2017,11937,hb,gb,2017,16,1,3,0,0,0.0,0,0,13,0,0,0,7.0,0.0,0,0,12,0,1,67.2,70.0,66.3,60.309,25.3,61.47548293391431,69.5,60.3950445259298,6,0,0,0,0,3,0,0,0,3,0,13,7.0,2.33,4.3,1.2435787097713702,1,
