player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,week,year
Calais Campbell,4364,DI,BLT,1,0,0,,0,0,3,60.2,50.5,77.0,66.5,35.2,71.1,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,3,41,41,4,13,4,20,0,0,26,12,0,2,2,0,2,0,0,0,,1,2022
Tyson Alualu,5535,DI,PIT,1,0,0,,0,0,25,,64.8,76.1,56.3,68.9,68.6,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,33,33,4,26,0,3,0,0,24,9,0,1,1,0,0,0,0,0,,1,2022
Brandon Graham,5538,ED,PHI,1,0,0,,0,0,24,,65.4,78.7,63.9,60.1,69.6,0,3,0,,,0,0,0,0.0,0,1,0,0,0,29,29,0,0,27,2,0,0,19,10,0,1,0,0,4,0,0,0,,1,2022
Kareem Jackson,5545,S,DEN,1,2,0,100.0,0,0,10,45.8,43.5,0.0,,69.7,82.9,0,0,0,17.0,0.0,0,0,1,118.8,1,0,3,0,35,55,0,0,0,0,0,43,55,0,20,9,0,1,1,0,0,17,4,17.0,1,2022
Devin McCourty,5552,S,NE,1,0,0,,0,0,19,68.2,72.1,75.6,,65.4,84.1,0,0,0,,0.0,0,0,0,0.0,0,0,8,0,37,60,0,0,0,0,0,50,60,0,23,2,0,6,0,0,0,0,0,,1,2022
Jerry Hughes,5556,ED,HST,1,0,0,,0,1,13,68.2,93.6,81.5,86.6,68.0,73.0,0,2,1,,50.0,1,0,0,0.0,0,2,0,0,1,55,55,0,0,55,0,0,0,37,17,0,3,1,0,4,0,0,0,,1,2022
Carlos Dunlap,5579,ED,KC,1,0,0,100.0,0,0,16,57.5,47.9,78.2,55.9,67.6,73.8,0,0,0,8.0,0.0,0,0,0,100.0,1,1,0,0,1,26,26,1,0,24,1,0,0,19,6,0,3,3,1,1,0,8,0,8.0,1,2022
Al Woods,5646,DI,SEA,1,0,0,,0,0,29,,52.2,75.5,55.5,54.0,66.8,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,21,21,8,13,0,0,0,0,11,10,0,1,1,0,1,0,0,0,,1,2022
Von Miller,6154,ED,BUF,1,0,0,,0,0,4,75.7,89.8,76.4,77.9,70.7,74.9,1,1,0,,0.0,0,0,0,0.0,0,2,0,0,1,35,35,0,0,35,0,0,0,26,8,0,4,2,0,4,0,0,0,,1,2022
Patrick Peterson,6157,CB,MIN,1,1,0,66.7,0,0,18,50.5,55.8,77.4,,80.9,78.7,0,0,0,23.0,0.0,0,0,0,93.1,4,0,2,59,43,61,0,0,0,0,0,0,61,0,18,0,2,4,6,0,0,51,27,12.8,1,2022
