player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year
Ted Karras,10855,C,CIN,1,0,7,76.5,0,0,65,100.0,100.0,100.0,0,0,0,71,71,84.4,0,0,39,100.0,100.0,100.0,0,0,44,44,1,2022
Cordell Volson,30614,G,CIN,1,0,7,44.3,2,3,65,100.0,100.0,93.1,0,7,2,71,71,74.2,1,1,39,100.0,100.0,97.4,2,0,44,44,1,2022
Jonah Williams,41651,T,CIN,1,0,7,63.6,1,4,65,100.0,100.0,93.1,0,7,2,71,71,76.1,0,1,39,100.0,100.0,93.6,3,2,44,44,1,2022
Alex Cappa,66578,G,CIN,1,0,7,72.7,1,2,65,100.0,100.0,97.7,0,3,0,71,71,78.0,1,1,39,100.0,100.0,97.4,2,0,44,44,1,2022
La'el Collins,9719,T,CIN,1,0,7,57.7,0,1,65,100.0,100.0,99.2,0,1,0,71,71,49.3,0,1,39,100.0,100.0,98.7,1,0,44,44,1,2022
George Fant,11282,T,NYJ,1,0,22,56.0,1,2,62,100.0,100.0,96.0,0,4,1,66,66,71.4,0,2,29,100.0,100.0,96.6,2,0,33,33,1,2022
Max Mitchell,81707,T,NYJ,1,0,22,50.1,0,2,62,100.0,100.0,96.8,0,3,1,66,66,55.1,0,2,29,100.0,100.0,96.6,2,0,33,33,1,2022
Connor McGovern,10778,C,NYJ,1,0,22,59.8,1,1,62,100.0,100.0,98.4,0,2,0,66,66,44.3,1,1,29,100.0,100.0,96.6,2,0,33,33,1,2022
Alijah Vera-Tucker,57107,G,NYJ,1,0,22,45.0,0,3,62,100.0,100.0,97.6,0,3,0,66,66,61.9,0,2,29,100.0,100.0,96.6,2,0,33,33,1,2022
Laken Tomlinson,9461,G,NYJ,1,0,22,39.5,0,8,62,100.0,100.0,93.5,0,8,0,66,66,29.0,0,7,29,100.0,100.0,87.9,7,0,33,33,1,2022
