player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play,week,year
Joel Bitonio,8670,G,CLV,1,0,8,59.7,100.0,17,45.9,17,58.7,0,100.0,37,37,58.2,100.0,16,43.2,16,1,2022
James Hudson,59854,T,CLV,1,0,8,66.8,100.0,17,45.9,17,80.9,0,100.0,37,37,87.8,100.0,16,43.2,16,1,2022
Wyatt Teller,46131,G,CLV,1,0,8,67.1,100.0,17,45.9,17,80.4,1,100.0,37,37,80.0,100.0,16,43.2,16,1,2022
Jedrick Wills Jr.,58467,T,CLV,1,0,8,52.6,100.0,17,45.9,17,42.9,0,100.0,37,37,48.9,100.0,16,43.2,16,1,2022
Ethan Pocic,11813,C,CLV,1,0,8,44.4,100.0,17,45.9,17,53.5,0,100.0,37,37,57.5,100.0,16,43.2,16,1,2022
Quenton Nelson,12954,G,IND,1,0,14,82.5,100.0,10,27.8,10,83.6,0,100.0,36,36,71.4,100.0,23,63.9,23,1,2022
Danny Pinter,47339,G,IND,1,0,14,54.3,100.0,10,27.8,10,59.2,0,100.0,36,36,62.9,100.0,23,63.9,23,1,2022
Jacoby Brissett,10725,QB,CLV,1,0,8,60.0,100.0,17,47.2,17,60.0,0,97.3,36,37,60.0,100.0,16,44.4,16,1,2022
Jake Matthews,8641,T,ATL,1,0,2,55.2,100.0,19,52.8,19,58.7,1,100.0,36,36,63.2,100.0,15,41.7,15,1,2022
Drew Dalman,52270,C,ATL,1,0,2,53.0,100.0,19,52.8,19,66.0,0,100.0,36,36,76.8,100.0,15,41.7,15,1,2022
Elijah Wilkinson,46238,G,ATL,1,0,2,52.1,100.0,19,52.8,19,56.2,0,100.0,36,36,71.9,100.0,15,41.7,15,1,2022
Kaleb McGary,46912,T,ATL,1,0,2,59.8,100.0,19,52.8,19,68.4,1,100.0,36,36,66.8,100.0,15,41.7,15,1,2022
Braden Smith,46794,T,IND,1,0,14,68.3,100.0,10,27.8,10,70.0,0,100.0,36,36,68.0,100.0,23,63.9,23,1,2022
Chris Lindstrom,46692,G,ATL,1,0,2,65.1,100.0,19,52.8,19,77.5,0,100.0,36,36,82.4,100.0,15,41.7,15,1,2022
Ryan Kelly,10652,C,IND,1,0,14,52.0,100.0,10,27.8,10,62.0,0,100.0,36,36,62.0,100.0,23,63.9,23,1,2022
Michael Pittman Jr.,29049,WR,IND,1,0,14,59.3,100.0,10,28.6,10,70.8,0,100.0,35,35,78.2,100.0,23,65.7,23,1,2022
Sam Mustipher,13026,C,CHI,1,0,6,58.8,100.0,10,29.4,10,57.0,0,100.0,34,34,63.5,100.0,21,61.8,21,1,2022
Matt Ryan,4317,QB,IND,1,0,14,60.0,100.0,10,29.4,10,60.3,0,94.4,34,36,60.0,95.7,22,64.7,23,1,2022
Braxton Jones,60092,T,CHI,1,0,6,58.0,100.0,10,29.4,10,54.0,0,100.0,34,34,53.4,100.0,21,61.8,21,1,2022
Larry Borom,59879,T,CHI,1,0,6,75.4,100.0,10,29.4,10,74.3,0,100.0,34,34,67.8,100.0,21,61.8,21,1,2022
Cody Whitehair,10690,G,CHI,1,0,6,64.0,100.0,10,29.4,10,59.4,0,100.0,34,34,64.6,100.0,21,61.8,21,1,2022
Luke Goedeke,77548,G,TB,1,0,30,67.1,100.0,18,54.5,18,61.1,0,100.0,33,33,52.1,100.0,9,27.3,9,1,2022
Robert Hainsey,59980,C,TB,1,0,30,68.1,100.0,18,54.5,18,72.6,0,100.0,33,33,63.0,100.0,9,27.3,9,1,2022
Tristan Wirfs,64818,T,TB,1,0,30,84.1,100.0,18,54.5,18,81.8,0,100.0,33,33,67.7,100.0,9,27.3,9,1,2022
David Njoku,11784,TE,CLV,1,0,8,61.1,100.0,14,42.4,14,64.7,0,100.0,33,33,74.0,100.0,15,45.5,15,1,2022
Shaq Mason,9564,G,TB,1,0,30,57.6,100.0,18,54.5,18,51.4,0,100.0,33,33,58.7,100.0,9,27.3,9,1,2022
Spencer Burford,81920,G,SF,1,0,28,51.9,100.0,16,50.0,16,63.4,0,100.0,32,32,73.1,100.0,8,25.0,8,1,2022
Jake Brendel,11117,C,SF,1,0,28,52.9,100.0,16,50.0,16,57.2,0,100.0,32,32,69.0,100.0,8,25.0,8,1,2022
Trent Williams,5529,T,SF,1,0,28,64.1,100.0,16,50.0,16,73.3,0,100.0,32,32,71.2,100.0,8,25.0,8,1,2022
Aaron Banks,59983,G,SF,1,0,28,53.0,100.0,16,50.0,16,61.1,0,100.0,32,32,67.7,100.0,8,25.0,8,1,2022
Mike McGlinchey,46275,T,SF,1,0,28,71.1,100.0,16,50.0,16,71.3,0,100.0,32,32,55.2,100.0,8,25.0,8,1,2022
Zion Johnson,99681,G,LAC,1,0,27,55.7,100.0,8,25.8,8,50.0,0,100.0,31,31,51.4,100.0,15,48.4,15,1,2022
Lane Johnson,7786,T,PHI,1,0,24,55.2,100.0,8,25.8,8,61.2,0,100.0,31,31,64.2,100.0,19,61.3,19,1,2022
Corey Linsley,8796,C,LAC,1,0,27,51.7,100.0,8,25.8,8,57.2,0,100.0,31,31,66.1,100.0,15,48.4,15,1,2022
Trey Pipkins,91462,T,LAC,1,0,27,66.2,100.0,8,25.8,8,48.3,0,100.0,31,31,32.8,100.0,15,48.4,15,1,2022
Isaac Seumalo,10713,G,PHI,1,0,24,44.5,100.0,8,25.8,8,55.8,0,100.0,31,31,59.4,100.0,19,61.3,19,1,2022
Rashawn Slater,59971,T,LAC,1,0,27,68.8,100.0,8,25.8,8,81.0,0,100.0,31,31,83.5,100.0,15,48.4,15,1,2022
Jason Kelce,6343,C,PHI,1,0,24,59.7,100.0,8,25.8,8,71.2,0,100.0,31,31,70.4,100.0,19,61.3,19,1,2022
Tom Brady,698,QB,TB,1,0,30,60.0,100.0,18,58.1,18,60.0,0,93.9,31,33,60.0,100.0,9,29.0,9,1,2022
Matt Feiler,9289,G,LAC,1,0,27,59.7,100.0,8,25.8,8,64.4,0,100.0,31,31,59.0,100.0,15,48.4,15,1,2022
Jordan Mailata,66916,T,PHI,1,0,24,54.8,100.0,8,25.8,8,56.8,0,100.0,31,31,59.2,100.0,19,61.3,19,1,2022
Landon Dickerson,41712,G,PHI,1,0,24,72.3,100.0,8,25.8,8,54.1,0,100.0,31,31,61.4,100.0,19,61.3,19,1,2022
Mark Glowinski,9567,G,NYG,1,0,21,47.2,100.0,18,60.0,18,53.2,0,100.0,30,30,65.6,100.0,9,30.0,9,1,2022
Brandon Aiyuk,84109,WR,SF,1,0,28,55.7,100.0,16,53.3,16,37.9,0,96.8,30,31,54.3,100.0,7,23.3,7,1,2022
Cole Kmet,60995,TE,CHI,1,0,6,51.7,100.0,9,30.0,9,64.3,0,100.0,30,30,71.9,100.0,18,60.0,18,1,2022
Andrew Thomas,59701,T,NYG,1,0,21,77.5,100.0,18,60.0,18,75.4,0,100.0,30,30,55.8,100.0,9,30.0,9,1,2022
Evan Neal,99063,T,NYG,1,0,21,29.8,100.0,18,60.0,18,29.8,0,100.0,30,30,57.2,100.0,9,30.0,9,1,2022
DeVonta Smith,61100,WR,PHI,1,0,24,61.0,100.0,7,24.1,7,58.1,0,100.0,29,29,56.8,100.0,18,62.1,18,1,2022
Jon Feliciano,9561,C,NYG,1,0,21,45.2,100.0,18,62.1,18,44.7,0,100.0,29,29,52.7,100.0,9,31.0,9,1,2022
Matt Pryor,46647,T,IND,1,0,14,64.0,100.0,9,31.0,9,65.0,0,100.0,29,29,64.0,100.0,18,62.1,18,1,2022
Jonah Williams,41651,T,CIN,1,0,7,73.2,100.0,12,41.4,12,56.5,0,100.0,29,29,43.1,100.0,14,48.3,14,1,2022
Ja'Marr Chase,84270,WR,CIN,1,0,7,54.3,100.0,12,41.4,12,55.2,0,100.0,29,29,58.0,100.0,14,48.3,14,1,2022
Cordell Volson,30614,G,CIN,1,0,7,47.3,100.0,12,41.4,12,64.7,0,100.0,29,29,77.8,100.0,14,48.3,14,1,2022
La'el Collins,9719,T,CIN,1,0,7,76.6,100.0,12,41.4,12,55.7,0,100.0,29,29,39.5,100.0,14,48.3,14,1,2022
Mike Williams,11762,WR,LAC,1,0,27,62.1,100.0,8,27.6,8,42.3,0,100.0,29,29,61.2,100.0,13,44.8,13,1,2022
Darnell Mooney,48236,WR,CHI,1,0,6,60.4,100.0,9,31.0,9,62.1,0,100.0,29,29,62.2,100.0,20,69.0,20,1,2022
Alex Cappa,66578,G,CIN,1,0,7,60.9,100.0,12,41.4,12,64.2,0,100.0,29,29,59.3,100.0,14,48.3,14,1,2022
Ted Karras,10855,C,CIN,1,0,7,65.0,100.0,12,41.4,12,63.0,0,100.0,29,29,65.8,100.0,14,48.3,14,1,2022
Penei Sewell,81788,T,DET,1,0,11,81.6,100.0,22,78.6,22,84.5,0,100.0,28,28,72.8,100.0,5,17.9,5,1,2022
Taylor Decker,10650,T,DET,1,0,11,54.9,100.0,22,78.6,22,53.6,0,100.0,28,28,55.0,100.0,5,17.9,5,1,2022
Logan Stenberg,37181,G,DET,1,0,11,60.0,100.0,22,78.6,22,53.5,0,100.0,28,28,45.9,100.0,5,17.9,5,1,2022
Jonah Jackson,37070,G,DET,1,0,11,64.4,100.0,22,78.6,22,65.9,0,100.0,28,28,64.3,100.0,5,17.9,5,1,2022
Joe Burrow,28022,QB,CIN,1,0,7,60.0,100.0,12,42.9,12,60.0,0,96.6,28,29,60.0,100.0,14,50.0,14,1,2022
Ezra Cleveland,41973,G,MIN,1,0,18,61.8,100.0,11,39.3,11,69.3,0,100.0,28,28,71.3,100.0,16,57.1,16,1,2022
Garrett Bradbury,46013,C,MIN,1,0,18,58.6,100.0,11,39.3,11,67.0,0,100.0,28,28,69.9,100.0,16,57.1,16,1,2022
Kirk Cousins,7102,QB,MIN,1,0,18,60.0,100.0,11,39.3,11,60.0,0,100.0,28,28,60.0,100.0,16,57.1,16,1,2022
Kyle Pitts,83964,TE,ATL,1,0,2,57.0,100.0,15,53.6,15,59.3,0,100.0,28,28,63.3,100.0,12,42.9,12,1,2022
Brian O'Neill,46854,T,MIN,1,0,18,74.3,100.0,11,39.3,11,90.0,0,100.0,28,28,82.2,100.0,16,57.1,16,1,2022
Dallas Goedert,47272,TE,PHI,1,0,24,52.8,100.0,8,28.6,8,56.4,0,100.0,28,28,60.9,100.0,17,60.7,17,1,2022
Marcus Mariota,9435,QB,ATL,1,0,2,60.0,78.9,15,53.6,19,60.0,0,77.8,28,36,60.0,86.7,13,46.4,15,1,2022
Frank Ragnow,39137,C,DET,1,0,11,56.6,100.0,22,78.6,22,55.5,0,100.0,28,28,56.8,100.0,5,17.9,5,1,2022
Ed Ingram,59819,G,MIN,1,0,18,62.1,100.0,11,39.3,11,87.4,0,100.0,28,28,89.5,100.0,16,57.1,16,1,2022
Amari Cooper,9437,WR,CLV,1,0,8,60.3,100.0,12,44.4,12,58.3,0,100.0,27,27,58.1,100.0,12,44.4,12,1,2022
Justin Fields,82118,QB,CHI,1,0,6,60.0,100.0,10,37.0,10,60.0,0,79.4,27,34,60.0,81.0,17,63.0,21,1,2022
A.J. Cann,9500,G,HST,1,0,13,65.1,100.0,17,63.0,17,66.2,0,100.0,27,27,64.0,100.0,8,29.6,8,1,2022
Donovan Peoples-Jones,61439,WR,CLV,1,0,8,52.2,100.0,13,48.1,13,50.8,0,100.0,27,27,54.8,100.0,11,40.7,11,1,2022
Laremy Tunsil,10647,T,HST,1,0,13,84.1,100.0,17,63.0,17,77.5,0,100.0,27,27,57.7,100.0,8,29.6,8,1,2022
Jared Goff,10635,QB,DET,1,0,11,60.0,100.0,22,81.5,22,60.0,0,96.4,27,28,60.0,100.0,5,18.5,5,1,2022
Justin Herbert,28237,QB,LAC,1,0,27,60.0,100.0,8,29.6,8,60.0,0,87.1,27,31,60.0,100.0,15,55.6,15,1,2022
Tytus Howard,25472,T,HST,1,0,13,68.3,100.0,17,63.0,17,64.1,0,100.0,27,27,55.5,100.0,8,29.6,8,1,2022
Christian Darrisaw,77373,T,MIN,1,0,18,44.4,100.0,11,40.7,11,53.5,0,100.0,27,27,74.1,100.0,15,55.6,15,1,2022
Justin Britt,8699,C,HST,1,0,13,50.2,100.0,17,63.0,17,48.5,0,100.0,27,27,53.4,100.0,8,29.6,8,1,2022
Creed Humphrey,59996,C,KC,1,0,16,61.0,100.0,5,19.2,5,77.1,0,100.0,26,26,78.2,100.0,20,76.9,20,1,2022
Joe Thuney,10712,G,KC,1,0,16,53.6,100.0,5,19.2,5,72.7,0,100.0,26,26,78.2,100.0,20,76.9,20,1,2022
Nate Davis,46808,G,TEN,1,0,31,68.5,100.0,13,50.0,13,77.7,0,100.0,26,26,78.6,100.0,11,42.3,11,1,2022
Ben Jones,7099,C,TEN,1,0,31,60.7,100.0,13,50.0,13,57.7,0,100.0,26,26,56.1,100.0,11,42.3,11,1,2022
Aaron Brewer,46014,G,TEN,1,0,31,70.4,100.0,13,50.0,13,69.7,2,100.0,26,26,64.3,100.0,11,42.3,11,1,2022
Nicholas Petit-Frere,82003,T,TEN,1,0,31,69.6,100.0,13,50.0,13,73.5,0,100.0,26,26,71.2,100.0,11,42.3,11,1,2022
Cade Otton,61071,TE,TB,1,0,30,63.8,100.0,13,52.0,13,67.0,0,100.0,25,25,61.7,100.0,7,28.0,7,1,2022
Parris Campbell,47940,WR,IND,1,0,14,77.4,100.0,9,36.0,9,68.0,0,100.0,25,25,56.9,100.0,14,56.0,14,1,2022
Charles Leno Jr.,8880,T,WAS,1,0,32,58.7,100.0,4,16.0,4,55.3,0,100.0,25,25,55.3,100.0,16,64.0,16,1,2022
Samuel Cosmi,60114,T,WAS,1,0,32,42.1,100.0,4,16.0,4,78.9,0,100.0,25,25,90.8,100.0,16,64.0,16,1,2022
Chase Roullier,11954,C,WAS,1,0,32,58.6,100.0,4,16.0,4,52.0,0,100.0,25,25,51.1,100.0,16,64.0,16,1,2022
Adam Thielen,8288,WR,MIN,1,0,18,54.4,100.0,9,36.0,9,55.8,0,100.0,25,25,59.0,100.0,15,60.0,15,1,2022
Daniel Jones,39395,QB,NYG,1,0,21,60.0,88.9,16,64.0,18,60.0,0,86.2,25,29,60.0,77.8,7,28.0,9,1,2022
T.J. Hockenson,40912,TE,DET,1,0,11,56.5,100.0,20,80.0,20,51.7,1,100.0,25,25,48.4,100.0,4,16.0,4,1,2022
Ryan Tannehill,7014,QB,TEN,1,0,31,60.0,100.0,13,52.0,13,60.3,0,96.2,25,26,60.0,100.0,11,44.0,11,1,2022
Geoff Swaim,9679,TE,TEN,1,0,31,51.0,100.0,13,52.0,13,57.0,0,100.0,25,25,65.4,100.0,10,40.0,10,1,2022
Equanimeous St. Brown,47967,WR,CHI,1,0,6,50.8,100.0,9,36.0,9,68.0,0,100.0,25,25,60.7,100.0,16,64.0,16,1,2022
Kenny Golladay,11851,WR,NYG,1,0,21,64.6,100.0,15,62.5,15,40.9,0,100.0,24,24,60.9,100.0,8,33.3,8,1,2022
Parker Hesse,48369,TE,ATL,1,0,2,50.3,100.0,12,50.0,12,62.7,0,100.0,24,24,74.8,100.0,10,41.7,10,1,2022
Andrew Norwell,9126,G,WAS,1,0,32,55.7,100.0,4,16.7,4,52.4,0,100.0,24,24,53.1,100.0,15,62.5,15,1,2022
Davis Mills,52269,QB,HST,1,0,13,60.0,100.0,17,70.8,17,60.0,0,92.3,24,26,60.0,100.0,7,29.2,7,1,2022
