player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,week,year
Davante Adams,8688,WR,LV,1,11.8,1,66.7,50.0,1,2,0,0.0,0,8,23,0,78.0,71.6,88.3,,86.8,0.0,0,1,41,0.0,0,44,0,10,93.2,41,27.3,12,91.3,15,1,72.7,32,141,61,6.1,14.1,3.44,1,2022
Ja'Marr Chase,84270,WR,CIN,1,9.1,2,66.7,0.0,0,1,0,9.1,1,10,7,0,58.5,71.1,74.5,,75.8,0.0,0,0,24,0.0,0,71,1,10,91.5,65,23.9,17,115.7,15,1,74.6,53,129,48,4.8,12.9,1.98,1,2022
Cooper Kupp,11824,WR,LA,1,7.1,2,86.7,100.0,1,1,0,0.0,0,6,26,0,80.0,72.3,83.3,,84.1,0.0,0,1,28,0.0,0,51,0,13,98.0,50,51.0,26,96.7,15,1,49.0,25,128,57,4.4,9.8,2.56,1,2022
Michael Pittman Jr.,29049,WR,IND,1,8.8,0,69.2,0.0,0,2,0,0.0,0,7,14,0,77.3,70.6,77.5,,75.8,0.0,0,0,28,0.0,0,55,0,9,96.4,53,16.4,9,124.2,13,1,83.6,46,121,44,4.9,13.4,2.28,1,2022
Brandin Cooks,8655,WR,HST,1,10.9,1,58.3,66.7,2,3,0,12.5,1,4,13,0,52.1,69.5,68.1,,67.7,0.0,0,0,42,0.0,0,40,0,7,95.0,38,27.5,11,79.2,12,0,72.5,29,82,8,1.1,11.7,2.16,1,2022
Tyreek Hill,10799,WR,MIA,1,9.5,0,66.7,100.0,1,1,0,11.1,1,5,17,1,54.9,19.5,73.2,,71.0,0.0,0,0,26,0.0,0,31,0,8,100.0,31,35.5,11,90.3,12,0,64.5,20,94,42,5.3,11.8,3.03,1,2022
Amon-Ra St. Brown,84470,WR,DET,1,5.0,2,66.7,,0,0,0,20.0,2,3,11,0,35.3,70.1,59.2,,57.9,0.0,0,0,29,0.0,0,38,0,8,94.7,36,78.9,30,107.6,12,1,21.1,8,64,32,4.0,8.0,1.78,1,2022
Javonte Williams,77803,HB,DEN,1,-0.5,5,91.7,0.0,0,1,0,0.0,0,3,10,0,78.7,24.0,65.7,17.1,87.0,0.0,0,0,13,6.5,2,31,0,11,90.3,28,3.2,1,89.2,12,0,3.2,1,65,86,7.8,5.9,2.32,1,2022
Donovan Peoples-Jones,61439,WR,CLV,1,8.5,0,54.5,100.0,3,3,0,14.3,1,3,8,0,49.2,68.8,68.0,,68.9,0.0,0,0,15,0.0,0,39,0,6,89.7,35,30.8,12,70.3,11,0,69.2,27,60,2,0.3,10.0,1.71,1,2022
A.J. Brown,48327,WR,PHI,1,8.6,2,90.9,50.0,1,2,0,0.0,0,7,24,0,78.0,71.1,88.8,,87.7,0.0,0,0,54,0.0,0,42,0,10,95.2,40,28.6,12,118.8,11,0,71.4,30,155,66,6.6,15.5,3.88,1,2022
CeeDee Lamb,61570,WR,DAL,1,10.8,0,20.0,33.3,1,3,0,33.3,1,2,9,0,36.2,65.8,51.2,,51.0,0.0,0,0,16,0.0,0,49,1,2,91.8,45,63.3,31,39.6,10,0,36.7,18,29,8,4.0,14.5,0.64,1,2022
Christian Kirk,47546,WR,JAX,1,12.9,1,60.0,,0,0,0,0.0,0,3,15,0,74.6,68.8,79.1,,78.6,0.0,0,1,49,0.0,0,46,0,6,89.1,41,84.8,39,61.2,10,0,13.0,6,117,50,8.3,19.5,2.85,1,2022
