player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr,week,year
Davante Adams,8688,WR,LV,1,15,0,23,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,12.7,1,83.3,100.0,1,1,0.0,0,4,0,84.5,91.9,1,41,0.0,0,12,5,100.0,12,79.2,6,40.0,0,79,44,8.8,15.8,6.58,1,2022
Ja'Marr Chase,84270,WR,CIN,1,15,0,7,0,,0,,,0,0,,0,0,0,,47.0,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,5.8,0,75.0,,0,0,0.0,0,3,0,69.6,79.0,0,11,0.0,0,17,3,94.1,16,90.6,4,26.7,0,25,11,3.7,8.3,1.56,1,2022
Cooper Kupp,11824,WR,LA,1,15,0,26,0,-2.0,0,100.0,,0,0,0.0,0,1,0,84.5,58.1,0,3,0.0,0,5,2,100.0,5,79.2,2,13.3,0,2,6,3.0,1.0,0.4,5.3,0,100.0,100.0,1,1,0.0,0,2,0,86.5,91.3,0,23,0.0,0,26,7,96.2,25,102.4,7,46.7,0,60,23,3.3,8.6,2.4,1,2022
Michael Pittman Jr.,29049,WR,IND,1,13,0,14,0,,0,,,0,0,,0,0,0,,46.3,0,0,0.0,0,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,6.0,0,100.0,,0,0,0.0,0,1,0,81.1,75.0,0,8,0.0,0,9,1,100.0,9,100.0,1,7.7,0,8,2,2.0,8.0,0.89,1,2022
Brandin Cooks,8655,WR,HST,1,12,0,13,0,-3.0,0,100.0,,0,0,0.0,0,0,0,78.7,55.4,0,2,0.0,0,4,1,100.0,4,79.2,1,8.3,0,2,5,5.0,2.0,0.5,20.0,0,66.7,,0,0,0.0,0,1,0,29.5,58.7,0,42,0.0,0,11,2,100.0,11,109.7,3,25.0,0,44,8,4.0,22.0,4.0,1,2022
Tyreek Hill,10799,WR,MIA,1,12,0,17,0,0.0,0,100.0,,0,0,0.0,0,1,0,78.7,96.3,0,18,0.0,0,1,1,100.0,1,118.8,1,8.3,0,18,18,18.0,18.0,18.0,10.7,0,66.7,100.0,1,1,20.0,1,2,1,57.0,70.6,0,26,0.0,0,11,4,100.0,11,93.8,6,50.0,0,52,15,3.8,13.0,4.73,1,2022
Amon-Ra St. Brown,84470,WR,DET,1,12,0,11,0,-2.0,0,100.0,,0,0,0.0,0,0,0,78.7,57.4,0,-2,0.0,0,3,1,100.0,3,79.2,1,8.3,0,-2,0,0.0,-2.0,-0.67,5.4,1,66.7,,0,0,25.0,2,1,0,28.9,48.1,0,29,0.0,0,30,6,93.3,28,79.4,9,75.0,0,47,22,3.7,7.8,1.68,1,2022
Javonte Williams,77803,HB,DEN,1,12,0,10,0,-2.8,2,100.0,,0,0,0.0,0,1,0,90.6,96.7,0,13,0.0,0,5,5,100.0,5,90.8,5,41.7,0,29,43,8.6,5.8,5.8,,0,,,0,0,,0,0,0,82.2,90.4,0,0,0.0,0,1,0,0.0,0,0.0,0,0.0,0,0,0,,,,1,2022
Donovan Peoples-Jones,61439,WR,CLV,1,11,0,8,0,,0,,,0,0,,0,0,0,,50.5,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,13.5,0,100.0,100.0,2,2,0.0,0,2,0,38.4,70.7,0,15,0.0,0,12,2,100.0,12,118.8,2,18.2,0,28,1,0.5,14.0,2.33,1,2022
A.J. Brown,48327,WR,PHI,1,11,0,24,0,-1.3,1,100.0,,0,0,0.0,0,0,0,88.7,79.9,0,10,0.0,0,7,3,100.0,7,87.5,3,27.3,0,15,19,6.3,5.0,2.14,-1.0,1,100.0,,0,0,0.0,0,0,0,82.2,91.7,0,10,0.0,0,12,1,100.0,12,108.3,1,9.1,0,10,11,11.0,10.0,0.83,1,2022
