player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week,year
Jonathan Taylor,57488,HB,IND,1,31,10,1,10.6,17,0,161,0,0,10,115.0,106.0,5,9,14,0,9,80.2,69.3,77.7,,3.9,62.6,72.9,60.0,17,0,14,4,34,33,0,0,6,35,1,161,115,3.71,5.2,0.41,20,1,2022
Joe Mixon,11803,HB,CIN,1,27,3,1,37.8,31,0,82,0,1,3,48.0,20.9,1,2,7,0,12,79.7,63.6,79.6,,44.8,76.2,58.8,60.0,31,0,63,7,38,28,0,0,8,34,0,82,48,1.78,3.0,1.66,14,1,2022
Cordarrelle Patterson,7810,HB,ATL,1,22,3,1,12.5,15,0,120,0,0,3,58.0,31.6,4,10,2,0,11,78.6,70.7,76.6,,,64.5,70.1,60.0,15,0,16,3,19,28,0,0,5,25,1,120,58,2.64,5.5,0.84,11,1,2022
Nick Chubb,45783,HB,CLV,1,22,11,3,43.3,61,0,141,0,0,11,88.0,191.3,4,6,8,0,10,78.1,79.3,75.5,,39.1,56.6,79.8,60.0,25,0,2,1,10,24,0,0,1,23,0,141,88,4.0,6.4,0.2,12,1,2022
Derrick Henry,10679,HB,TEN,1,21,3,1,22.5,18,0,80,1,0,3,69.0,46.9,1,1,31,1,10,77.4,67.2,75.0,,82.0,33.0,72.7,60.0,18,0,0,0,14,23,0,0,1,21,0,80,69,3.29,3.8,0.0,11,1,2022
Leonard Fournette,11759,HB,TB,1,21,2,2,26.8,34,0,127,0,0,2,59.0,24.4,6,6,30,0,14,77.7,63.0,76.4,,18.5,59.0,65.2,60.0,17,0,10,2,22,23,0,0,2,23,0,127,59,2.81,6.0,0.45,7,1,2022
Dalvin Cook,11796,HB,MIN,1,20,6,1,17.8,16,0,90,0,0,6,72.0,93.9,2,5,18,0,9,77.6,75.0,78.3,,80.3,67.7,73.2,,16,0,18,3,23,20,0,0,3,23,0,90,72,3.6,4.5,0.78,10,1,2022
Saquon Barkley,45791,HB,NYG,1,18,4,3,70.7,116,0,164,0,0,4,123.0,113.9,4,6,21,1,12,27.1,74.8,76.1,,52.5,76.5,73.4,59.7,68,0,30,6,21,24,0,0,7,24,1,164,123,6.83,9.1,1.43,6,1,2022
David Montgomery,45719,HB,CHI,1,17,2,0,0.0,0,0,26,0,3,2,24.0,35.3,0,0,6,0,7,77.0,45.5,77.3,,80.4,74.6,40.5,60.0,6,0,24,3,14,19,0,0,4,20,0,26,24,1.41,1.5,1.71,10,1,2022
Jalen Hurts,40291,QB,PHI,1,8,6,0,0.0,0,0,26,0,0,1,10.0,15.6,4,6,24,0,2,81.0,76.8,0.0,80.8,,,65.9,60.0,16,2,0,0,0,31,64,9,0,8,1,90,81,4.76,5.3,,2,1,2022
D'Andre Swift,57212,HB,DET,1,15,6,3,58.3,84,0,144,0,2,6,98.0,290.4,5,5,11,0,12,76.4,82.3,79.5,,30.5,64.9,87.9,,50,0,31,3,25,16,0,0,3,18,1,144,98,6.53,9.6,1.24,3,1,2022
Antonio Gibson,78050,HB,WAS,1,14,4,0,0.0,0,0,58,0,2,4,48.0,98.0,2,5,32,0,3,76.5,76.6,79.5,,78.3,85.6,71.0,60.0,13,0,72,7,23,19,0,0,8,21,0,58,48,3.43,4.1,3.13,11,1,2022
Rex Burkhead,7971,HB,HST,1,14,2,0,0.0,0,0,40,1,0,2,38.0,28.6,0,1,13,0,10,76.1,51.0,76.9,,42.3,49.8,54.6,60.0,8,0,30,5,25,16,0,0,7,19,0,40,38,2.71,2.9,1.2,4,1,2022
Austin Ekeler,12164,HB,LAC,1,14,3,0,0.0,0,0,36,0,1,3,36.0,57.1,0,0,27,0,4,76.0,64.1,75.2,,26.3,85.2,59.7,60.0,8,0,36,4,14,17,0,0,4,18,0,36,36,2.57,2.6,2.57,9,1,2022
Miles Sanders,40555,HB,PHI,1,13,3,2,50.0,48,0,96,0,0,3,78.0,120.0,3,4,24,0,4,75.5,73.6,79.9,,,56.7,77.0,56.1,24,0,9,2,18,19,0,0,2,15,1,96,78,6.0,7.4,0.5,9,1,2022
Trey Lance,91399,QB,SF,1,9,3,0,0.0,0,0,39,0,0,2,15.0,37.0,1,6,28,1,3,29.9,53.7,79.3,52.2,,,59.2,60.0,13,0,0,0,0,32,15,4,0,9,0,54,28,2.15,4.2,,0,1,2022
Darrell Henderson,41193,HB,LA,1,13,2,1,38.3,18,0,47,0,1,2,36.0,46.2,1,2,26,0,2,75.8,54.8,82.6,,74.6,58.1,52.4,60.0,18,0,26,5,39,14,0,0,5,18,0,47,36,2.77,3.6,0.67,11,1,2022
Melvin Gordon III,9448,HB,DEN,1,12,1,0,0.0,0,0,58,0,0,1,32.0,19.0,1,2,10,1,4,22.8,61.7,74.0,,78.4,59.2,61.2,,13,0,14,2,13,12,0,0,2,14,0,58,32,2.67,4.8,1.08,8,1,2022
Chase Edmonds,45851,HB,MIA,1,12,0,0,0.0,0,0,25,0,2,0,15.0,15.6,0,0,17,0,1,75.2,63.8,74.3,,57.5,72.7,59.3,60.0,7,0,40,4,21,13,0,0,4,16,0,25,15,1.25,2.1,1.9,11,1,2022
Isiah Pacheco,83747,HB,KC,1,12,1,2,66.1,41,0,62,0,0,1,46.0,31.9,3,4,16,1,3,22.5,53.4,72.2,,,55.7,55.2,,22,0,0,0,4,12,0,0,0,12,1,62,46,3.83,5.2,0.0,9,1,2022
Rashaad Penny,27414,HB,SEA,1,12,5,1,43.3,26,0,60,0,1,5,56.0,200.0,2,1,29,1,1,23.3,55.8,76.5,,73.0,60.0,54.5,59.3,26,0,7,2,19,16,0,0,3,14,0,60,56,4.67,5.0,0.37,10,1,2022
Marcus Mariota,9435,QB,ATL,1,8,1,0,0.0,0,0,34,0,0,1,12.0,18.8,2,3,2,2,4,22.9,58.9,79.6,59.8,,,56.2,60.0,16,0,0,0,0,36,38,4,0,8,1,72,14,1.17,6.0,,2,1,2022
Jamaal Williams,11889,HB,DET,1,11,1,0,0.0,0,0,28,1,0,1,18.0,13.6,0,3,11,0,9,74.1,56.6,72.8,,69.4,29.6,63.6,60.0,7,0,2,1,10,12,0,0,2,12,2,28,18,1.64,2.5,0.2,2,1,2022
Kenyan Drake,10707,HB,BLT,1,11,0,0,0.0,0,0,31,0,1,0,20.0,15.2,0,1,3,0,10,74.5,56.7,75.0,,77.9,61.4,55.7,60.0,8,0,15,1,15,16,0,0,1,12,0,31,20,1.82,2.8,1.0,1,1,2022
Justin Fields,82118,QB,CHI,1,7,2,0,0.0,0,1,0,0,0,1,5.0,10.2,1,3,6,0,0,77.9,44.2,78.6,34.6,,,65.9,60.0,12,1,0,0,0,34,28,4,0,7,0,28,26,2.36,2.5,,4,1,2022
Dameon Pierce,83659,HB,HST,1,11,2,0,0.0,0,0,33,0,0,2,33.0,50.0,0,2,13,0,7,74.1,60.8,73.0,,58.8,56.3,61.6,,8,0,6,1,5,11,0,0,1,12,0,33,33,3.0,3.0,1.2,4,1,2022
James Robinson,22425,HB,JAX,1,11,3,1,33.3,22,0,66,0,0,3,46.0,104.5,2,3,15,0,3,74.5,74.8,75.8,,58.5,63.3,75.8,60.0,22,0,3,1,15,13,0,0,2,12,1,66,46,4.18,6.0,0.2,8,1,2022
Kareem Hunt,11841,HB,CLV,1,11,4,1,52.2,24,0,46,0,1,4,51.0,154.5,1,3,8,0,7,74.9,67.5,80.2,,67.1,64.1,67.9,58.5,24,0,24,4,22,14,0,0,4,15,1,46,51,4.64,4.2,1.09,3,1,2022
Josh Jacobs,45953,HB,LV,1,10,7,1,31.6,18,0,57,0,1,7,46.0,334.5,1,1,23,0,7,73.6,62.3,75.9,,17.6,55.3,71.7,,18,0,16,1,17,10,0,0,1,11,0,57,46,4.6,5.7,0.94,2,1,2022
A.J. Dillon,57165,HB,GB,1,10,1,0,0.0,0,0,45,1,1,1,32.0,42.7,2,4,12,0,4,74.7,76.7,76.7,,80.7,79.0,70.5,60.0,14,0,46,5,16,12,0,0,6,15,1,45,32,3.2,4.5,2.88,6,1,2022
James Conner,11860,HB,ARZ,1,10,2,0,0.0,0,0,30,0,1,2,21.0,42.0,0,3,1,1,3,23.1,55.4,79.3,,63.3,61.2,51.9,59.2,8,0,29,5,27,13,0,0,5,15,1,30,21,2.1,3.0,1.07,6,1,2022
Christian McCaffrey,11763,HB,CAR,1,10,2,0,0.0,0,0,33,0,1,2,36.0,77.1,0,3,5,0,6,74.7,79.5,76.7,,78.1,76.5,77.1,61.4,9,0,24,4,24,15,0,0,4,14,1,33,36,3.6,3.3,1.0,4,1,2022
Michael Carter,57337,HB,NYJ,1,10,3,2,68.3,41,0,60,1,1,3,33.0,77.6,2,2,22,0,4,75.5,67.3,78.3,,50.8,62.8,70.5,60.0,22,0,40,7,26,12,0,0,8,17,0,60,33,3.3,6.0,1.54,6,1,2022
Ezekiel Elliott,10638,HB,DAL,1,10,0,0,0.0,0,0,52,1,0,0,34.0,0.0,0,3,9,0,4,73.6,66.1,78.0,,35.9,30.9,78.6,60.0,7,0,-3,1,18,13,0,0,2,11,0,52,34,3.4,5.2,-0.17,6,1,2022
