player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year
Andy Lee,1906,P,ARZ,1,5,5,4.28,42.2,51.0,8.8,0,0,0,0,1,62.8,1,57,0,0,100.0,44,5,5,21.39,211,0,255,1,2022
Kevin Huber,5066,P,CIN,1,3,3,4.48,39.33,52.67,20.0,0,0,0,1,7,63.0,1,58,0,0,33.3,20,1,3,13.44,118,1,158,1,2022
Thomas Morstead,5088,P,MIA,1,4,4,4.51,42.75,45.75,6.0,0,0,1,1,17,66.2,3,58,0,0,50.0,12,2,4,18.04,171,0,183,1,2022
Bryan Anger,7072,P,DAL,1,5,5,4.58,45.2,50.8,9.3,0,0,1,1,9,69.4,2,58,0,0,60.0,28,3,5,22.88,226,0,254,1,2022
Johnny Hekker,7252,P,CAR,1,5,5,4.07,43.8,49.6,5.8,0,0,0,0,5,58.1,0,61,0,0,100.0,29,5,5,20.36,219,0,248,1,2022
Tress Way,8358,P,WAS,1,3,3,4.26,41.67,49.0,2.0,0,0,0,1,32,56.7,1,57,0,0,33.3,2,1,3,12.78,125,1,147,1,2022
Pat O'Donnell,8826,P,GB,1,4,4,4.23,43.0,44.75,7.0,0,0,0,2,12,59.6,3,53,1,0,25.0,7,1,4,16.91,172,0,179,1,2022
Bradley Pinion,9598,P,ATL,1,4,4,4.83,42.0,45.0,12.0,0,0,0,3,2,72.6,2,51,0,0,25.0,12,1,4,19.3,168,0,180,1,2022
Riley Dixon,10862,P,LA,1,4,4,4.43,40.0,45.25,21.0,0,0,0,3,26,66.2,2,58,0,0,25.0,21,1,4,17.71,160,0,181,1,2022
Matt Haack,12212,P,IND,1,4,4,4.75,44.75,44.75,,0,0,1,1,14,66.0,3,70,2,0,0.0,0,0,4,18.98,179,0,179,1,2022
Cameron Johnston,12255,P,HST,1,7,7,4.3,41.0,45.43,6.2,0,0,0,2,13,60.8,4,52,0,0,71.4,31,5,7,30.13,287,0,318,1,2022
