,date,week,time,away_team,home_team,OU,spread
0,"Thursday, Sep. 8",1,8:20,BUF,LAR,52.5,LAR +1
1,"Sunday, Sep. 11",1,1:00,NO,ATL,41.5,ATL +5.5
2,"Sunday, Sep. 11",1,1:00,SF,CHI,42,CHI +6.5
3,"Sunday, Sep. 11",1,1:00,PIT,CIN,44.5,CIN -6.5
4,"Sunday, Sep. 11",1,1:00,PHI,DET,46,DET +4.5
5,"Sunday, Sep. 11",1,1:00,NE,MIA,44.5,MIA -2.5
6,"Sunday, Sep. 11",1,1:00,BAL,NYJ,45,NYJ +6
7,"Sunday, Sep. 11",1,1:00,JAC,WAS,44.5,WAS -4
8,"Sunday, Sep. 11",1,1:00,CLE,CAR,42.5,CAR +1
9,"Sunday, Sep. 11",1,1:00,IND,HOU,44,HOU +8
10,"Sunday, Sep. 11",1,4:25,NYG,TEN,43.5,TEN -6.5
11,"Sunday, Sep. 11",1,4:25,GB,MIN,48.5,MIN +2
12,"Sunday, Sep. 11",1,4:25,KC,ARI,52.5,ARI +3
13,"Sunday, Sep. 11",1,4:25,LV,LAC,51.5,LAC -4
14,"Sunday, Sep. 11",1,8:20,TB,DAL,52,DAL +2.5
15,"Monday, Sep. 12",1,8:15,DEN,SEA,42.5,SEA +5.5
0,"Thursday, Sep. 15",2,8:15,LAC,KC,52.5,KC -3
1,"Sunday, Sep. 18",2,1:00,MIA,BAL,45.5,BAL -4
2,"Sunday, Sep. 18",2,1:00,NYJ,CLE,"        Off
","ATS:        Off
"
3,"Sunday, Sep. 18",2,1:00,WAS,DET,45.5,DET +1
4,"Sunday, Sep. 18",2,1:00,IND,JAC,45.5,JAC +4.5
5,"Sunday, Sep. 18",2,1:00,TB,NO,47,NO +4
6,"Sunday, Sep. 18",2,1:00,CAR,NYG,42.5,NYG -1
7,"Sunday, Sep. 18",2,1:00,NE,PIT,43,PIT +1.5
8,"Sunday, Sep. 18",2,4:05,ATL,LAR,49,LAR -13
9,"Sunday, Sep. 18",2,4:05,SEA,SF,43.5,SF -7.5
10,"Sunday, Sep. 18",2,4:25,CIN,DAL,50.5,DAL -2.5
11,"Sunday, Sep. 18",2,4:25,HOU,DEN,43,DEN -10.5
12,"Sunday, Sep. 18",2,4:25,ARI,LV,51,LV -2
13,"Sunday, Sep. 18",2,8:20,CHI,GB,45,GB -8.5
14,"Monday, Sep. 19",2,7:15,TEN,BUF,51,BUF -7
15,"Monday, Sep. 19",2,8:30,MIN,PHI,47.5,PHI -2
0,"Thursday, Sep. 22",3,8:15,PIT,CLE,"        Off
","ATS:        Off
"
1,"Sunday, Sep. 25",3,1:00,NO,CAR,"        Off
","ATS:        Off
"
2,"Sunday, Sep. 25",3,1:00,HOU,CHI,"        Off
","ATS:        Off
"
3,"Sunday, Sep. 25",3,1:00,KC,IND,"        Off
","ATS:        Off
"
4,"Sunday, Sep. 25",3,1:00,BUF,MIA,"        Off
","ATS:        Off
"
5,"Sunday, Sep. 25",3,1:00,DET,MIN,"        Off
","ATS:        Off
"
6,"Sunday, Sep. 25",3,1:00,BAL,NE,"        Off
","ATS:        Off
"
7,"Sunday, Sep. 25",3,1:00,CIN,NYJ,"        Off
","ATS:        Off
"
8,"Sunday, Sep. 25",3,1:00,LV,TEN,"        Off
","ATS:        Off
"
9,"Sunday, Sep. 25",3,1:00,PHI,WAS,"        Off
","ATS:        Off
"
10,"Sunday, Sep. 25",3,4:05,JAC,LAC,"        Off
","ATS:        Off
"
11,"Sunday, Sep. 25",3,4:25,LAR,ARI,"        Off
","ATS:        Off
"
12,"Sunday, Sep. 25",3,4:25,ATL,SEA,"        Off
","ATS:        Off
"
13,"Sunday, Sep. 25",3,4:25,GB,TB,"        Off
","ATS:        Off
"
14,"Sunday, Sep. 25",3,8:20,SF,DEN,"        Off
","ATS:        Off
"
15,"Monday, Sep. 26",3,8:15,DAL,NYG,"        Off
","ATS:        Off
"
0,"Thursday, Sep. 29",4,8:15,MIA,CIN,"        Off
","ATS:        Off
"
1,"Sunday, Oct. 2",4,9:30 AM                    ET,MIN,NO,46.5,NO -1
2,"Sunday, Oct. 2",4,1:00,CLE,ATL,"        Off
","ATS:        Off
"
3,"Sunday, Oct. 2",4,1:00,BUF,BAL,"        Off
","ATS:        Off
"
4,"Sunday, Oct. 2",4,1:00,WAS,DAL,"        Off
","ATS:        Off
"
5,"Sunday, Oct. 2",4,1:00,SEA,DET,"        Off
","ATS:        Off
"
6,"Sunday, Oct. 2",4,1:00,LAC,HOU,"        Off
","ATS:        Off
"
7,"Sunday, Oct. 2",4,1:00,TEN,IND,"        Off
","ATS:        Off
"
8,"Sunday, Oct. 2",4,1:00,CHI,NYG,"        Off
","ATS:        Off
"
9,"Sunday, Oct. 2",4,1:00,JAC,PHI,"        Off
","ATS:        Off
"
10,"Sunday, Oct. 2",4,1:00,NYJ,PIT,"        Off
","ATS:        Off
"
11,"Sunday, Oct. 2",4,4:05,ARI,CAR,"        Off
","ATS:        Off
"
12,"Sunday, Oct. 2",4,4:25,NE,GB,"        Off
","ATS:        Off
"
13,"Sunday, Oct. 2",4,4:25,DEN,LV,"        Off
","ATS:        Off
"
14,"Sunday, Oct. 2",4,8:20,KC,TB,"        Off
","ATS:        Off
"
15,"Monday, Oct. 3",4,8:15,LAR,SF,"        Off
","ATS:        Off
"
0,"Thursday, Oct. 6",5,8:15,IND,DEN,"        Off
","ATS:        Off
"
1,"Sunday, Oct. 9",5,9:30 AM                    ET,NYG,GB,46.5,GB -6.5
2,"Sunday, Oct. 9",5,1:00,PIT,BUF,"        Off
","ATS:        Off
"
3,"Sunday, Oct. 9",5,1:00,LAC,CLE,"        Off
","ATS:        Off
"
4,"Sunday, Oct. 9",5,1:00,HOU,JAC,"        Off
","ATS:        Off
"
5,"Sunday, Oct. 9",5,1:00,CHI,MIN,"        Off
","ATS:        Off
"
6,"Sunday, Oct. 9",5,1:00,DET,NE,"        Off
","ATS:        Off
"
7,"Sunday, Oct. 9",5,1:00,SEA,NO,"        Off
","ATS:        Off
"
8,"Sunday, Oct. 9",5,1:00,MIA,NYJ,"        Off
","ATS:        Off
"
9,"Sunday, Oct. 9",5,1:00,ATL,TB,"        Off
","ATS:        Off
"
10,"Sunday, Oct. 9",5,1:00,TEN,WAS,"        Off
","ATS:        Off
"
11,"Sunday, Oct. 9",5,4:05,SF,CAR,"        Off
","ATS:        Off
"
12,"Sunday, Oct. 9",5,4:25,PHI,ARI,"        Off
","ATS:        Off
"
13,"Sunday, Oct. 9",5,4:25,DAL,LAR,"        Off
","ATS:        Off
"
14,"Sunday, Oct. 9",5,8:20,CIN,BAL,"        Off
","ATS:        Off
"
